time,r2i1p1f2,r5i1p1f2,r4i1p1f2,r9i1p1f2,r1i1p1f2,r6i1p1f2,r8i1p1f2,r7i1p1f2,r10i1p1f2,r3i1p1f2
1979-01-16 12:00:00,15083323000000.0,14912940000000.0,14808131000000.0,15199022000000.0,15187519000000.0,15237912000000.0,16012731000000.0,15667148000000.0,15398155000000.0,15406466000000.0
1979-02-15 00:00:00,15805804000000.0,15395756000000.0,15385598000000.0,15876084000000.0,15580290000000.0,15877528000000.0,16644635000000.0,16409405000000.0,15995648000000.0,15756830000000.0
1979-03-16 12:00:00,16065818000000.0,15642200000000.0,15655067000000.0,16263678000000.0,15942283000000.0,15977980000000.0,16737132000000.0,16419187000000.0,15902133000000.0,15963733000000.0
1979-04-16 00:00:00,15707188000000.0,15409067000000.0,15524133000000.0,16145348000000.0,15854852000000.0,15817370000000.0,16336751000000.0,15998508000000.0,15776540000000.0,15890257000000.0
1979-05-16 12:00:00,14708166000000.0,14180162000000.0,14471338000000.0,15169103000000.0,14851143000000.0,14944894000000.0,15084491000000.0,14936875000000.0,14674823000000.0,14956622000000.0
1979-06-16 00:00:00,12613820000000.0,12071696000000.0,12450698000000.0,12740549000000.0,12869940000000.0,13017544000000.0,13021303000000.0,12946015000000.0,12532822000000.0,12705230000000.0
1979-07-16 12:00:00,9870584000000.0,9661521000000.0,10288152000000.0,9978418000000.0,10216899000000.0,10883843000000.0,10541145000000.0,11035239000000.0,10275686000000.0,10418130000000.0
1979-08-16 12:00:00,8148030000000.0,7681741000000.0,8008374000000.0,8096911000000.0,7724074500000.0,8027113500000.0,7995465400000.0,8082192000000.0,7445032700000.0,8000458700000.0
1979-09-16 00:00:00,7346956300000.0,6847051300000.0,7388776000000.0,7315701000000.0,6902892700000.0,7218313300000.0,7291354000000.0,7508382000000.0,6485663000000.0,7169742000000.0
1979-10-16 12:00:00,8945061000000.0,8544048000000.0,8896229000000.0,8702195000000.0,8585979000000.0,8893080000000.0,8446945500000.0,9156869000000.0,8427374400000.0,9038939000000.0
1979-11-16 00:00:00,11035795000000.0,10818343000000.0,11350911000000.0,11191154000000.0,10907004000000.0,11573577000000.0,11260951000000.0,11557390000000.0,10898524000000.0,11347120000000.0
1979-12-16 12:00:00,13791047000000.0,13463150000000.0,13930875000000.0,13897906000000.0,14041712000000.0,14137055000000.0,14054231000000.0,14387580000000.0,13705268000000.0,14091765000000.0
1980-01-16 12:00:00,15171860000000.0,14584096000000.0,15145644000000.0,15401151000000.0,15076142000000.0,15295312000000.0,15357520000000.0,15663257000000.0,15340718000000.0,15419235000000.0
1980-02-15 12:00:00,15902315000000.0,15189689000000.0,15810454000000.0,16085202000000.0,15617048000000.0,15879276000000.0,16189816000000.0,16080972000000.0,15728925000000.0,15878414000000.0
1980-03-16 12:00:00,16287089000000.0,15382723000000.0,15974602000000.0,16369330000000.0,15797594000000.0,16280090000000.0,16467913000000.0,16384168000000.0,15972298000000.0,15766746000000.0
1980-04-16 00:00:00,16189697000000.0,15174648000000.0,15695320000000.0,16278285000000.0,15673890000000.0,16081962000000.0,16179138000000.0,16189196000000.0,15703181000000.0,15656995000000.0
1980-05-16 12:00:00,15146584000000.0,13894622000000.0,14762876000000.0,15253555000000.0,14311161000000.0,15311518000000.0,14823725000000.0,15001457000000.0,14604620000000.0,14654390000000.0
1980-06-16 00:00:00,13114108000000.0,12156502000000.0,12478142000000.0,12923013000000.0,12218342000000.0,12898436000000.0,13039244000000.0,12946583000000.0,12472820000000.0,12716327000000.0
1980-07-16 12:00:00,10419100000000.0,9327334000000.0,9810046000000.0,9821260000000.0,9194751000000.0,11021161000000.0,10765759000000.0,10497522000000.0,10030153000000.0,9852854000000.0
1980-08-16 12:00:00,7525121000000.0,6695467000000.0,8019158000000.0,7631992000000.0,6566994500000.0,7942643400000.0,8271187400000.0,7776437300000.0,6772070300000.0,7201038500000.0
1980-09-16 00:00:00,6607005500000.0,5545204000000.0,7072251400000.0,7202267000000.0,5677338000000.0,7393801000000.0,7931399500000.0,6987447000000.0,6101395000000.0,6103799000000.0
1980-10-16 12:00:00,8347876000000.0,7000464000000.0,8603483000000.0,8138439000000.0,6785824000000.0,8521120000000.0,9221836000000.0,8416276000000.0,7547131000000.0,8361683700000.0
1980-11-16 00:00:00,11241842000000.0,10296095000000.0,11177055000000.0,11163125000000.0,10023370000000.0,11063033000000.0,11639397000000.0,10876275000000.0,11248870000000.0,10737494000000.0
1980-12-16 12:00:00,13946261000000.0,13295574000000.0,13512007000000.0,13971044000000.0,12832517000000.0,14404557000000.0,14108412000000.0,13897542000000.0,13843140000000.0,13054708000000.0
1981-01-16 12:00:00,15126498000000.0,14620000000000.0,14821506000000.0,15204179000000.0,14529918000000.0,15465408000000.0,15410462000000.0,15332774000000.0,14964570000000.0,14544372000000.0
1981-02-15 00:00:00,15805390000000.0,15345440000000.0,15327658000000.0,15835976000000.0,15326350000000.0,15750622000000.0,15927620000000.0,15851113000000.0,15367311000000.0,15133531000000.0
1981-03-16 12:00:00,16008861000000.0,15511424000000.0,15495169000000.0,16167635000000.0,15491699000000.0,15896890000000.0,16288424000000.0,16222224000000.0,15866006000000.0,15445248000000.0
1981-04-16 00:00:00,16010721000000.0,15303283000000.0,15443800000000.0,16046394000000.0,15282744000000.0,15875492000000.0,16163261000000.0,15956856000000.0,15624338000000.0,15192968000000.0
1981-05-16 12:00:00,15224484000000.0,14540176000000.0,14163067000000.0,15126207000000.0,13826416000000.0,14589228000000.0,14939609000000.0,15099534000000.0,14572488000000.0,14027519000000.0
1981-06-16 00:00:00,12879544000000.0,12634490000000.0,12169184000000.0,12953718000000.0,11523747000000.0,12313520000000.0,13094024000000.0,12455099000000.0,12345017000000.0,12693793000000.0
1981-07-16 12:00:00,10152784000000.0,10466520000000.0,10026276000000.0,9893732000000.0,9029470000000.0,9937604000000.0,10321176000000.0,10163014000000.0,10058876000000.0,9700513000000.0
1981-08-16 12:00:00,7908538400000.0,7786516700000.0,7814668400000.0,7695425000000.0,5881982400000.0,7776685000000.0,7973302000000.0,7941870600000.0,8034846000000.0,7455030000000.0
1981-09-16 00:00:00,7359398000000.0,7077925000000.0,7277668500000.0,7146930000000.0,4190190000000.0,6621474000000.0,7341711000000.0,7384465400000.0,7321169000000.0,6514700500000.0
1981-10-16 12:00:00,8853598000000.0,8521754000000.0,8824394000000.0,8480589000000.0,6531516000000.0,8448469000000.0,9408788000000.0,8859335000000.0,8482359600000.0,8332651300000.0
1981-11-16 00:00:00,11545233000000.0,10790382000000.0,10831504000000.0,11508185000000.0,9422871000000.0,11263594000000.0,11683160000000.0,11200794000000.0,10896187000000.0,11127895000000.0
1981-12-16 12:00:00,14020380000000.0,13750802000000.0,13604885000000.0,14121632000000.0,12673673000000.0,13679436000000.0,14099233000000.0,13964783000000.0,13732621000000.0,13776087000000.0
1982-01-16 12:00:00,15368118000000.0,14747799000000.0,14778936000000.0,15294432000000.0,14332090000000.0,14911671000000.0,15362835000000.0,15587037000000.0,14955070000000.0,15003835000000.0
1982-02-15 00:00:00,15667533000000.0,15201669000000.0,15287063000000.0,15769817000000.0,14918266000000.0,15424880000000.0,15940179000000.0,16809625000000.0,15543592000000.0,15656422000000.0
1982-03-16 12:00:00,15987865000000.0,15211000000000.0,15464908000000.0,16309392000000.0,15307209000000.0,15586870000000.0,16479091000000.0,17323186000000.0,15914951000000.0,15901540000000.0
1982-04-16 00:00:00,15849209000000.0,14983811000000.0,15328768000000.0,15983856000000.0,15175650000000.0,15375260000000.0,16192046000000.0,17058808000000.0,15862354000000.0,15630425000000.0
1982-05-16 12:00:00,14770876000000.0,14148384000000.0,14375969000000.0,14703327000000.0,14305417000000.0,14561827000000.0,14960537000000.0,15574786000000.0,14702759000000.0,14459425000000.0
1982-06-16 00:00:00,13084655000000.0,12162806000000.0,12422977000000.0,12753698000000.0,11800233000000.0,12540035000000.0,13239449000000.0,13192266000000.0,12243381000000.0,12728038000000.0
1982-07-16 12:00:00,10389870000000.0,9792022000000.0,9524855000000.0,9670916000000.0,8504278000000.0,10321679000000.0,10772942000000.0,10380854000000.0,9508816000000.0,10048242000000.0
1982-08-16 12:00:00,7714211600000.0,7648936000000.0,7494535000000.0,8501185000000.0,6540370600000.0,6975325000000.0,8356265700000.0,7409068700000.0,7094379000000.0,7333644000000.0
1982-09-16 00:00:00,7084651300000.0,7361031300000.0,6560609700000.0,7714274000000.0,5527763400000.0,6247665000000.0,7570349600000.0,6362216500000.0,6463706600000.0,6200109000000.0
1982-10-16 12:00:00,8641656700000.0,8551681500000.0,8411712300000.0,8880294000000.0,7056899700000.0,7444123600000.0,8777471000000.0,8243012000000.0,8071796500000.0,7808625000000.0
