time,r25i1p1f1,r21i1p1f1,r7i1p1f1,r4i1p2f1,r25i1p2f1,r13i1p1f1,r7i1p2f1,r6i1p2f1,r5i1p1f1,r18i1p1f1,r4i1p1f1,r20i1p1f1,r2i1p2f1,r10i1p2f1,r12i1p1f1,r9i1p1f1,r6i1p1f1,r1i1p1f1,r19i1p1f1,r24i1p1f1,r3i1p2f1,r3i1p1f1,r2i1p1f1,r5i1p2f1,r1i1p2f1
1979-01-16 12:00:00,16692383000000.0,16056284000000.0,16755253000000.0,16257467000000.0,17517983000000.0,16295437000000.0,16662427000000.0,16562030000000.0,16275214000000.0,16351454000000.0,16546576000000.0,16734019000000.0,16656212000000.0,16372245000000.0,16192033000000.0,16745295000000.0,15612743000000.0,15973324000000.0,16228888000000.0,16186762000000.0,15966022000000.0,16685149000000.0,15455265000000.0,17491848000000.0,16629616000000.0
1979-02-15 00:00:00,17731657000000.0,16916534000000.0,17689976000000.0,17071348000000.0,18099837000000.0,16978601000000.0,17337426000000.0,17171356000000.0,16832609000000.0,17000747000000.0,16984396000000.0,17413233000000.0,17586557000000.0,17607730000000.0,17132961000000.0,17310251000000.0,16021744000000.0,16905023000000.0,16670886000000.0,16979590000000.0,16929784000000.0,17222951000000.0,16339147000000.0,18475322000000.0,17373008000000.0
1979-03-16 12:00:00,17955218000000.0,17182981000000.0,17823418000000.0,17372043000000.0,18066044000000.0,17049911000000.0,17641637000000.0,17318745000000.0,17287300000000.0,17119488000000.0,17386898000000.0,17942200000000.0,17903303000000.0,18049055000000.0,17533290000000.0,17400564000000.0,16303314000000.0,17357597000000.0,17193797000000.0,17215269000000.0,17009403000000.0,17657361000000.0,16477743000000.0,18594031000000.0,18040857000000.0
1979-04-16 00:00:00,17546193000000.0,16621614000000.0,17283328000000.0,17286321000000.0,17636763000000.0,16524616000000.0,17248856000000.0,17071750000000.0,16780576000000.0,16661969000000.0,16845168000000.0,17072520000000.0,17475719000000.0,17332079000000.0,17232693000000.0,17242182000000.0,15891870000000.0,17095837000000.0,16600630000000.0,17143371000000.0,16717098000000.0,17174801000000.0,16348577000000.0,18276818000000.0,17475398000000.0
1979-05-16 12:00:00,16311391000000.0,15056437000000.0,15910030000000.0,15947371000000.0,16685428000000.0,15050947000000.0,16313521000000.0,15947912000000.0,15830012000000.0,15594962000000.0,15389877000000.0,15859087000000.0,16303430000000.0,15793219000000.0,15799382000000.0,16233214000000.0,14840258000000.0,15820159000000.0,15525520000000.0,15586953000000.0,15459760000000.0,16138862000000.0,15122094000000.0,16664938000000.0,15873113000000.0
1979-06-16 00:00:00,14476085000000.0,12837148000000.0,13114588000000.0,13396574000000.0,14194422000000.0,13028150000000.0,14038052000000.0,14073458000000.0,12880389000000.0,13249411000000.0,13476209000000.0,13540611000000.0,14347955000000.0,14094367000000.0,13902544000000.0,13495914000000.0,12843867000000.0,13036728000000.0,13658579000000.0,13186261000000.0,13181246000000.0,13469370000000.0,12489272000000.0,14338853000000.0,13434341000000.0
1979-07-16 12:00:00,11744464000000.0,10135959000000.0,10542550000000.0,10259327000000.0,11483478000000.0,10610238000000.0,11629446000000.0,11293111000000.0,10396329000000.0,11100853000000.0,10640983000000.0,11312283000000.0,12014395000000.0,11883893000000.0,10947043000000.0,11404230000000.0,10920214000000.0,11187924000000.0,11636650000000.0,10174406000000.0,10447386000000.0,10055969000000.0,10255645000000.0,11686555000000.0,11142513000000.0
1979-08-16 12:00:00,10047575000000.0,7641471400000.0,9231084000000.0,8760786000000.0,10212400000000.0,8874107000000.0,9692537000000.0,9543531000000.0,8911161000000.0,8826532000000.0,8557064400000.0,9929286000000.0,10051380000000.0,9284461000000.0,8900586000000.0,9695105000000.0,8800692000000.0,9046237000000.0,9451891000000.0,7890862600000.0,9124580000000.0,8423131300000.0,9083764000000.0,9946463000000.0,9218187000000.0
1979-09-16 00:00:00,9350905000000.0,7306720000000.0,8685455700000.0,9028676000000.0,9668835000000.0,8510984000000.0,9301721000000.0,9109920000000.0,8175095400000.0,8246035000000.0,8095245300000.0,9075589000000.0,9421907000000.0,8701313300000.0,8278873500000.0,9018066000000.0,8464221000000.0,8763704600000.0,8915188000000.0,7450403000000.0,9016768000000.0,8191038500000.0,8652906000000.0,9438050000000.0,8968414000000.0
1979-10-16 12:00:00,11148596000000.0,9052518000000.0,10114658000000.0,10113994000000.0,10914187000000.0,9853475000000.0,10607408000000.0,10397306000000.0,9815568000000.0,10316530000000.0,9798649000000.0,10354713000000.0,10776218000000.0,10346083000000.0,10115671000000.0,10520667000000.0,10010424000000.0,10274328000000.0,10519691000000.0,9699265000000.0,9970380000000.0,9644458000000.0,10180159000000.0,11196296000000.0,10300341000000.0
