time,r7i1p1f1,r1i1p1f1,r3i1p1f1,r4i1p1f1,r2i1p1f1,r6i1p1f1
1979-01-16 12:00:00,16089730000000.0,17623362000000.0,14678870000000.0,14965660000000.0,14891085000000.0,16960700000000.0
1979-02-15 00:00:00,16776148000000.0,17911730000000.0,15030769000000.0,15496766000000.0,15373357000000.0,17037214000000.0
1979-03-16 12:00:00,16970486000000.0,17938020000000.0,15165989000000.0,15686705000000.0,15455871000000.0,16951864000000.0
1979-04-16 00:00:00,16677377000000.0,17905358000000.0,14847729000000.0,15302658000000.0,15178760000000.0,16965304000000.0
1979-05-16 12:00:00,15517023000000.0,16912361000000.0,13954594000000.0,14346256000000.0,14132867000000.0,15430459000000.0
1979-06-16 00:00:00,13478872000000.0,14980152000000.0,12272999000000.0,12610336000000.0,12288213000000.0,14163076000000.0
1979-07-16 12:00:00,10752675000000.0,12581633000000.0,8386475000000.0,9826411000000.0,9620964000000.0,11078373000000.0
1979-08-16 12:00:00,8855489000000.0,9498194000000.0,6923219000000.0,7266925300000.0,7875942400000.0,9950261000000.0
1979-09-16 00:00:00,8567451000000.0,9996871000000.0,7328362000000.0,7261210000000.0,7909058000000.0,10147926000000.0
1979-10-16 12:00:00,10902712000000.0,12012522000000.0,9025297000000.0,9710681000000.0,9344106000000.0,11643419000000.0
1979-11-16 00:00:00,13162713000000.0,14410481000000.0,11601756000000.0,11500537000000.0,11467915000000.0,13399795000000.0
1979-12-16 12:00:00,15269244000000.0,16102542000000.0,13367217000000.0,13770085000000.0,13625137000000.0,15618922000000.0
1980-01-16 12:00:00,16181803000000.0,17270681000000.0,14744667000000.0,14821532000000.0,14364914000000.0,17052562000000.0
1980-02-15 12:00:00,16499966000000.0,17886643000000.0,15648304000000.0,15497949000000.0,14867354000000.0,17411384000000.0
1980-03-16 12:00:00,16517944000000.0,18069242000000.0,15974286000000.0,15511070000000.0,15049570000000.0,17696945000000.0
1980-04-16 00:00:00,16231681000000.0,17621085000000.0,15534257000000.0,15315816000000.0,14570369000000.0,17467354000000.0
1980-05-16 12:00:00,14784408000000.0,16591317000000.0,14348482000000.0,13692795000000.0,13410512000000.0,16619787000000.0
1980-06-16 00:00:00,13267580000000.0,14270037000000.0,12350334000000.0,11893169000000.0,11645674000000.0,14352153000000.0
1980-07-16 12:00:00,10507298000000.0,11903101000000.0,9386242000000.0,9530474000000.0,9056704000000.0,10889047000000.0
1980-08-16 12:00:00,7931723500000.0,9626827000000.0,6438547000000.0,7558931700000.0,7385944400000.0,9633080000000.0
1980-09-16 00:00:00,8418897000000.0,9928993000000.0,6957092600000.0,7215790400000.0,7532970000000.0,9708121000000.0
1980-10-16 12:00:00,10668498000000.0,11962933000000.0,9575021000000.0,9570658000000.0,9794080000000.0,11047010000000.0
1980-11-16 00:00:00,13078382000000.0,14275173000000.0,12000042000000.0,11457029000000.0,11500750000000.0,13213731000000.0
1980-12-16 12:00:00,15189314000000.0,16400189000000.0,14219343000000.0,13898373000000.0,13595021000000.0,15762798000000.0
1981-01-16 12:00:00,16196269000000.0,17186927000000.0,15186077000000.0,15013878000000.0,14863951000000.0,17059961000000.0
1981-02-15 00:00:00,16551379000000.0,17611908000000.0,15655306000000.0,15608089000000.0,15422928000000.0,17621920000000.0
1981-03-16 12:00:00,16699988000000.0,17708003000000.0,15646720000000.0,15954611000000.0,15509827000000.0,17844023000000.0
1981-04-16 00:00:00,16586600000000.0,17215887000000.0,15258443000000.0,15826971000000.0,15039678000000.0,17483647000000.0
1981-05-16 12:00:00,15567933000000.0,15790120000000.0,14283283000000.0,14411320000000.0,13880305000000.0,16104343000000.0
1981-06-16 00:00:00,13856434000000.0,13991669000000.0,12514283000000.0,12875750000000.0,11511567000000.0,14113676000000.0
1981-07-16 12:00:00,11946546000000.0,10912793000000.0,10125930000000.0,10126106000000.0,9190459000000.0,10932424000000.0
