time,r2i1p1f1,r3i1p1f1,r1i1p1f1
1979-01-16 12:00:00,16013737000000.0,15449793000000.0,15119137000000.0
1979-02-15 00:00:00,16918257000000.0,16378119000000.0,15876035000000.0
1979-03-16 12:00:00,17181051000000.0,16610337000000.0,16302878000000.0
1979-04-16 00:00:00,17193031000000.0,16666681000000.0,16205348000000.0
1979-05-16 12:00:00,16375471000000.0,16119008000000.0,15530207000000.0
1979-06-16 00:00:00,14040049000000.0,13766905000000.0,13281213000000.0
1979-07-16 12:00:00,11028174000000.0,10534308000000.0,10729105000000.0
1979-08-16 12:00:00,9214335000000.0,8011644000000.0,7883352700000.0
1979-09-16 00:00:00,8634889000000.0,7751712400000.0,6876939400000.0
1979-10-16 12:00:00,9968214000000.0,9581355000000.0,9000377000000.0
1979-11-16 00:00:00,11544664000000.0,11160077000000.0,10967808000000.0
1979-12-16 12:00:00,13801575000000.0,13575517000000.0,13559280000000.0
1980-01-16 12:00:00,15797024000000.0,15095312000000.0,14926337000000.0
1980-02-15 12:00:00,16970417000000.0,16151222000000.0,16122409000000.0
1980-03-16 12:00:00,17262056000000.0,16495447000000.0,16397397000000.0
1980-04-16 00:00:00,17057239000000.0,16270893000000.0,16270625000000.0
1980-05-16 12:00:00,16260419000000.0,15516828000000.0,15594892000000.0
1980-06-16 00:00:00,13819795000000.0,13092200000000.0,14372630000000.0
1980-07-16 12:00:00,11224872000000.0,9786072000000.0,11048709000000.0
1980-08-16 12:00:00,9154510000000.0,8333500000000.0,8330434600000.0
1980-09-16 00:00:00,8708612400000.0,7890159000000.0,7902881400000.0
1980-10-16 12:00:00,10043739000000.0,9242512000000.0,9842859000000.0
1980-11-16 00:00:00,11510911000000.0,11306148000000.0,11530600000000.0
1980-12-16 12:00:00,13782229000000.0,13665752000000.0,13813418000000.0
1981-01-16 12:00:00,15352094000000.0,15125621000000.0,15187469000000.0
1981-02-15 00:00:00,16333589000000.0,16048611000000.0,16195485000000.0
1981-03-16 12:00:00,16848815000000.0,16179824000000.0,16456134000000.0
1981-04-16 00:00:00,16910626000000.0,16145090000000.0,16491689000000.0
1981-05-16 12:00:00,16607594000000.0,15505757000000.0,15733826000000.0
1981-06-16 00:00:00,14276662000000.0,12937595000000.0,13454512000000.0
1981-07-16 12:00:00,11677098000000.0,10576764000000.0,10698648000000.0
1981-08-16 12:00:00,9063243000000.0,7759930000000.0,7804907000000.0
1981-09-16 00:00:00,8048701600000.0,7412351000000.0,7200642000000.0
1981-10-16 12:00:00,10090494000000.0,9100808000000.0,9145902000000.0
1981-11-16 00:00:00,12228615000000.0,10833189000000.0,11769024000000.0
1981-12-16 12:00:00,14008923000000.0,13148420000000.0,14037627000000.0
1982-01-16 12:00:00,15692059000000.0,15030833000000.0,15214088000000.0
1982-02-15 00:00:00,16798026000000.0,15808675000000.0,15937422000000.0
1982-03-16 12:00:00,17053011000000.0,15983574000000.0,16051056000000.0
1982-04-16 00:00:00,17192108000000.0,15802590000000.0,16045400000000.0
1982-05-16 12:00:00,16424510000000.0,15121686000000.0,15312410000000.0
1982-06-16 00:00:00,14515734000000.0,12986552000000.0,13214158000000.0
1982-07-16 12:00:00,11568316000000.0,10163776000000.0,11699934000000.0
1982-08-16 12:00:00,9189223000000.0,7850958000000.0,8315049000000.0
1982-09-16 00:00:00,8303133000000.0,7104879400000.0,7243857700000.0
1982-10-16 12:00:00,9936656000000.0,8997212000000.0,9841813000000.0
1982-11-16 00:00:00,11775689000000.0,10842244000000.0,11978350000000.0
1982-12-16 12:00:00,14038658000000.0,13016500000000.0,13792032000000.0
1983-01-16 12:00:00,15608665000000.0,14373888000000.0,15104919000000.0
1983-02-15 00:00:00,16459346000000.0,15277881000000.0,15835599000000.0
1983-03-16 12:00:00,16729626000000.0,15595997000000.0,16239129000000.0
1983-04-16 00:00:00,16940474000000.0,15578301000000.0,16366123000000.0
1983-05-16 12:00:00,16394687000000.0,14827561000000.0,15750077000000.0
1983-06-16 00:00:00,14206324000000.0,12907335000000.0,13509316000000.0
1983-07-16 12:00:00,11339666000000.0,10625764000000.0,11315693000000.0
1983-08-16 12:00:00,8632267700000.0,8601502000000.0,9218067000000.0
1983-09-16 00:00:00,8045307000000.0,7772527700000.0,8344321000000.0
1983-10-16 12:00:00,9985737000000.0,9909243000000.0,10077024000000.0
