time,r1i1p1f1,r4i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r5i1p1f1
1979-01-16 12:00:00,14016992000000.0,14869328000000.0,14490236000000.0,14663476000000.0,13587149000000.0,15247165000000.0
1979-02-15 00:00:00,14810300000000.0,15928973000000.0,15315691000000.0,15679265000000.0,14100839000000.0,16101329000000.0
1979-03-16 12:00:00,15124365000000.0,16273546000000.0,15819998000000.0,16113870000000.0,14391846000000.0,16386546000000.0
1979-04-16 00:00:00,15062079000000.0,16210308000000.0,15894754000000.0,16125276000000.0,14600641000000.0,16159884000000.0
1979-05-16 12:00:00,14364281000000.0,15405161000000.0,15066056000000.0,15318776000000.0,13529193000000.0,15520686000000.0
1979-06-16 00:00:00,12889980000000.0,13344130000000.0,12640498000000.0,13046747000000.0,11731168000000.0,13753127000000.0
1979-07-16 12:00:00,10325257000000.0,10560246000000.0,10638145000000.0,10420115000000.0,9401417000000.0,10029185000000.0
1979-08-16 12:00:00,7887716400000.0,7793552000000.0,7721989400000.0,8269106000000.0,7542400400000.0,7203487000000.0
1979-09-16 00:00:00,6714225000000.0,6777224600000.0,6031341500000.0,7416650400000.0,6472238000000.0,6763415000000.0
1979-10-16 12:00:00,7427386000000.0,7610142000000.0,7238562300000.0,7941618400000.0,6994683500000.0,7105765400000.0
1979-11-16 00:00:00,9925685000000.0,9999492000000.0,9501317000000.0,10312097000000.0,9203402000000.0,10142560000000.0
1979-12-16 12:00:00,11944027000000.0,12426084000000.0,12251998000000.0,12845858000000.0,11553967000000.0,12692172000000.0
1980-01-16 12:00:00,13981255000000.0,14412951000000.0,14313278000000.0,14895930000000.0,13647993000000.0,14730499000000.0
1980-02-15 12:00:00,15148496000000.0,15008577000000.0,14931076000000.0,15620096000000.0,14215340000000.0,16009270000000.0
1980-03-16 12:00:00,15490374000000.0,15521515000000.0,15336254000000.0,15951643000000.0,14397512000000.0,16374907000000.0
1980-04-16 00:00:00,15560778000000.0,15318557000000.0,15234986000000.0,16122054000000.0,14344809000000.0,16159018000000.0
1980-05-16 12:00:00,14943603000000.0,14547737000000.0,14518598000000.0,15238261000000.0,13737080000000.0,15306663000000.0
