time,r5i1p1f1,r13i1p1f1,r19i1p1f1,r9i1p1f1,r3i1p1f1,r12i1p1f1,r1i1p1f1,r4i1p1f1,r11i1p1f1,r14i1p1f1,r29i1p1f1,r6i1p1f1,r26i1p1f1,r2i1p1f1,r7i1p1f1
1979-01-16 12:00:00,14116891000000.0,14545926000000.0,14525723000000.0,14577424000000.0,14806019000000.0,14943447000000.0,14330681000000.0,15318028000000.0,15730514000000.0,14545758000000.0,15860273000000.0,15179896000000.0,14138410000000.0,14821660000000.0,14365745000000.0
1979-02-15 00:00:00,14744679000000.0,15410759000000.0,15250910000000.0,15359548000000.0,15840053000000.0,15477721000000.0,14866113000000.0,16127847000000.0,16581513000000.0,15342092000000.0,16673783000000.0,15721910000000.0,14660984000000.0,15198163000000.0,14910410000000.0
1979-03-16 12:00:00,15062164000000.0,15770933000000.0,15302833000000.0,15523388000000.0,15930323000000.0,15227684000000.0,15043677000000.0,16425992000000.0,16743769000000.0,15591359000000.0,16839111000000.0,15704256000000.0,15053152000000.0,15384703000000.0,15090418000000.0
1979-04-16 00:00:00,14814952000000.0,15245231000000.0,15051543000000.0,15056471000000.0,15522960000000.0,14933095000000.0,14577227000000.0,15817281000000.0,16077347000000.0,15152594000000.0,16599610000000.0,15524476000000.0,14764431000000.0,14953280000000.0,14802130000000.0
1979-05-16 12:00:00,13471159000000.0,13749027000000.0,13853573000000.0,13569365000000.0,13989338000000.0,13490811000000.0,13221918000000.0,14407330000000.0,14416411000000.0,13480824000000.0,14989981000000.0,14536767000000.0,13156036000000.0,13102501000000.0,13057034000000.0
1979-06-16 00:00:00,11856572000000.0,11470130000000.0,11606336000000.0,11791975000000.0,11284886000000.0,11398724000000.0,10867134000000.0,12123403000000.0,12659250000000.0,11665139000000.0,11984871000000.0,12035882000000.0,11099072000000.0,10501883000000.0,11135896000000.0
1979-07-16 12:00:00,9995763000000.0,9308967000000.0,9390363000000.0,9169014000000.0,8668413000000.0,8702344000000.0,8433540500000.0,10064409000000.0,10147842000000.0,9055014000000.0,9395637000000.0,10415984000000.0,8949065000000.0,8000039000000.0,8538391000000.0
1979-08-16 12:00:00,7942099000000.0,7375361000000.0,6725081500000.0,6959122000000.0,6954448600000.0,6035710400000.0,6637705000000.0,7137421000000.0,8120938000000.0,7323590300000.0,7360888000000.0,8554456000000.0,7061217000000.0,5380221400000.0,7494526600000.0
1979-09-16 00:00:00,6410100300000.0,7206227400000.0,6477883400000.0,7010649000000.0,6157515600000.0,5665892300000.0,6466889000000.0,6232028500000.0,7722187600000.0,7261069000000.0,6454452000000.0,8185396000000.0,6386823000000.0,4924496700000.0,7487884400000.0
1979-10-16 12:00:00,9237682000000.0,9140822000000.0,8215403700000.0,8684094600000.0,7449934300000.0,6856080600000.0,8231798700000.0,8397522000000.0,8786213300000.0,8479146000000.0,7847124000000.0,10009377000000.0,7967647000000.0,6366589600000.0,8568941000000.0
