time,r4i1p1f1,r8i1p1f1,r9i1p1f1,r2i1p1f1,r5i1p1f1,r6i1p1f1,r3i1p1f1,r1i1p1f1,r10i1p1f1,r7i1p1f1
1979-01-16 12:00:00,12105093000000.0,12123999000000.0,12353742000000.0,12091277000000.0,12146651000000.0,12298205000000.0,12636203000000.0,11919132000000.0,12605935000000.0,12396768000000.0
1979-02-15 00:00:00,12766485000000.0,12499255000000.0,12785323000000.0,12613767000000.0,12571295000000.0,12576644000000.0,13084686000000.0,12570648000000.0,13042803000000.0,12777681000000.0
1979-03-16 12:00:00,13079287000000.0,12725291000000.0,12994345000000.0,12742751000000.0,12797304000000.0,12789108000000.0,13262634000000.0,12804402000000.0,13094559000000.0,12951259000000.0
1979-04-16 00:00:00,12887436000000.0,12657569000000.0,12694741000000.0,12412117000000.0,12595336000000.0,12747477000000.0,13034656000000.0,12701587000000.0,12796633000000.0,12732026000000.0
1979-05-16 12:00:00,11860908000000.0,11765145000000.0,11843964000000.0,11694767000000.0,11774586000000.0,12055288000000.0,12267555000000.0,11954651000000.0,12178873000000.0,11894421000000.0
1979-06-16 00:00:00,10265445000000.0,10760082000000.0,10712783000000.0,10740428000000.0,10719325000000.0,10940926000000.0,11100263000000.0,10688997000000.0,11291130000000.0,10886070000000.0
1979-07-16 12:00:00,8251904000000.0,8829245000000.0,8553147400000.0,8786367000000.0,8770856000000.0,8663043000000.0,9231202000000.0,8689954000000.0,9033110000000.0,8645175700000.0
1979-08-16 12:00:00,6885065400000.0,7066036000000.0,7056973000000.0,7677486000000.0,7731261500000.0,7480076000000.0,7916096600000.0,7264587000000.0,8085092000000.0,6954742000000.0
1979-09-16 00:00:00,6822761600000.0,6709115000000.0,6849201000000.0,7524287000000.0,7629943300000.0,7280464500000.0,7691071700000.0,6926244500000.0,7917598000000.0,6625256500000.0
1979-10-16 12:00:00,8397219000000.0,8350014000000.0,8682805000000.0,8752978700000.0,8692945600000.0,8485099500000.0,8878020000000.0,8503000300000.0,8739816000000.0,8406048000000.0
1979-11-16 00:00:00,9551677000000.0,9685061000000.0,9607156000000.0,9825214000000.0,9652362000000.0,9676228000000.0,9916892000000.0,9655446000000.0,10149337000000.0,9803767000000.0
1979-12-16 12:00:00,10528260000000.0,10997547000000.0,11354942000000.0,11231771000000.0,10786316000000.0,11342838000000.0,11361387000000.0,10762815000000.0,11345181000000.0,11673738000000.0
1980-01-16 12:00:00,12143807000000.0,12026986000000.0,12314437000000.0,12225782000000.0,11920266000000.0,12114848000000.0,12646047000000.0,12141033000000.0,12711564000000.0,12475252000000.0
1980-02-15 12:00:00,12476080000000.0,12597347000000.0,12701122000000.0,12811732000000.0,12518232000000.0,12647836000000.0,13270723000000.0,12622569000000.0,13150970000000.0,12902629000000.0
1980-03-16 12:00:00,12684192000000.0,12722882000000.0,12785991000000.0,13106418000000.0,12591812000000.0,12827202000000.0,13647077000000.0,12778560000000.0,13325859000000.0,13076533000000.0
1980-04-16 00:00:00,12524838000000.0,12409266000000.0,12686898000000.0,12787342000000.0,12596313000000.0,12679742000000.0,13392033000000.0,12502595000000.0,13140136000000.0,12754396000000.0
1980-05-16 12:00:00,11655214000000.0,11646102000000.0,11930026000000.0,11842510000000.0,11947716000000.0,12049797000000.0,12693093000000.0,11797196000000.0,12294159000000.0,11905093000000.0
1980-06-16 00:00:00,10468805000000.0,10494858000000.0,10819856000000.0,10946206000000.0,10462986000000.0,10874069000000.0,11429168000000.0,10811415000000.0,10985849000000.0,10631934000000.0
1980-07-16 12:00:00,8807302000000.0,8337185000000.0,8955393000000.0,8813395000000.0,8977590000000.0,8670540700000.0,9253493000000.0,8604867400000.0,8777303000000.0,8322709000000.0
1980-08-16 12:00:00,7654075300000.0,6900658000000.0,7209091600000.0,7310984000000.0,7807460000000.0,7317592000000.0,7942154000000.0,7174081000000.0,7768986600000.0,6967009000000.0
1980-09-16 00:00:00,7389689400000.0,6514740000000.0,7053864000000.0,7163184000000.0,7678142000000.0,7206458000000.0,7630639600000.0,6939911700000.0,7552161500000.0,6564511500000.0
1980-10-16 12:00:00,8659851500000.0,8443111400000.0,8492582700000.0,8759779000000.0,8835568000000.0,8846689000000.0,9325258000000.0,8515742600000.0,8810110000000.0,8196330600000.0
1980-11-16 00:00:00,9501366000000.0,9481736000000.0,9413100000000.0,9724651000000.0,9687049000000.0,9677323000000.0,10193914000000.0,9586380000000.0,10207556000000.0,9541900000000.0
1980-12-16 12:00:00,10784152000000.0,10720792000000.0,10793295000000.0,10926322000000.0,10820912000000.0,10782456000000.0,11759829000000.0,10848695000000.0,11589981000000.0,10900347000000.0
1981-01-16 12:00:00,12176460000000.0,11827517000000.0,11862760000000.0,12556612000000.0,12033485000000.0,12112009000000.0,12887591000000.0,12310746000000.0,12668818000000.0,12179125000000.0
1981-02-15 00:00:00,12660200000000.0,12367675000000.0,12400494000000.0,13059528000000.0,12486816000000.0,12567890000000.0,13073526000000.0,12669910000000.0,13031733000000.0,12713170000000.0
1981-03-16 12:00:00,12844435000000.0,12670556000000.0,12485080000000.0,13345160000000.0,12633496000000.0,12640007000000.0,13099555000000.0,12886210000000.0,13124645000000.0,12781808000000.0
1981-04-16 00:00:00,12695365000000.0,12450459000000.0,12376175000000.0,13080524000000.0,12445404000000.0,12469676000000.0,13054604000000.0,12706440000000.0,13034110000000.0,12399815000000.0
1981-05-16 12:00:00,12127245000000.0,11833282000000.0,11699229000000.0,12253412000000.0,11743735000000.0,11772405000000.0,12370172000000.0,12133914000000.0,12288740000000.0,11826321000000.0
1981-06-16 00:00:00,10263373000000.0,10669666000000.0,10671071000000.0,11113800000000.0,10572980000000.0,10720740000000.0,11227724000000.0,10758687000000.0,11062182000000.0,10421085000000.0
1981-07-16 12:00:00,8753632500000.0,8376135000000.0,8416874500000.0,8532333000000.0,8709306000000.0,8765613000000.0,8988981000000.0,8618823400000.0,8848021000000.0,8554194000000.0
1981-08-16 12:00:00,7903978700000.0,7147830000000.0,6899854500000.0,7021009000000.0,7189072000000.0,7307988600000.0,7780744000000.0,7338684600000.0,7777920500000.0,7312785000000.0
1981-09-16 00:00:00,7706639300000.0,7117678000000.0,6963952400000.0,6698390500000.0,7132566000000.0,7302045000000.0,7603616000000.0,7202517500000.0,7714017600000.0,7298300000000.0
1981-10-16 12:00:00,8982326000000.0,8481976000000.0,8329944400000.0,8813976000000.0,8648625500000.0,8697932700000.0,8954933000000.0,8854573000000.0,8864839000000.0,8386503000000.0
1981-11-16 00:00:00,9778583000000.0,9614407000000.0,9881169000000.0,9991048000000.0,9638007000000.0,9859712000000.0,10146123000000.0,9755881000000.0,10028814000000.0,9578077000000.0
1981-12-16 12:00:00,10943335000000.0,10600913000000.0,11182331000000.0,11421368000000.0,10887418000000.0,11308508000000.0,11754671000000.0,11097592000000.0,11324601000000.0,10962470000000.0
1982-01-16 12:00:00,12125353000000.0,12130160000000.0,11868414000000.0,12862491000000.0,12201214000000.0,12037445000000.0,12507398000000.0,12222751000000.0,12351040000000.0,12216091000000.0
1982-02-15 00:00:00,12634155000000.0,12567611000000.0,12513980000000.0,13490234000000.0,12587849000000.0,12414976000000.0,12990076000000.0,12778682000000.0,12947417000000.0,12677921000000.0
1982-03-16 12:00:00,12908312000000.0,12874096000000.0,12660748000000.0,13788146000000.0,12849448000000.0,12703570000000.0,13103126000000.0,13075369000000.0,13292105000000.0,12908380000000.0
1982-04-16 00:00:00,12705245000000.0,12750423000000.0,12608399000000.0,13574977000000.0,12616674000000.0,12496740000000.0,12954607000000.0,12879890000000.0,12924861000000.0,12597204000000.0
1982-05-16 12:00:00,12012352000000.0,12001193000000.0,11888778000000.0,12631630000000.0,11872433000000.0,11860277000000.0,12113696000000.0,12199260000000.0,12117046000000.0,12046828000000.0
1982-06-16 00:00:00,10732315000000.0,11021566000000.0,10809600000000.0,11038805000000.0,10714538000000.0,10825721000000.0,10789776000000.0,10907959000000.0,10967069000000.0,10652501000000.0
1982-07-16 12:00:00,9003734000000.0,8851486000000.0,8869689000000.0,8252662000000.0,8579146000000.0,8747978000000.0,8765940700000.0,8632169000000.0,8770243500000.0,8592163300000.0
1982-08-16 12:00:00,7941181700000.0,7414253400000.0,7221155500000.0,7025678400000.0,7540929000000.0,7570008000000.0,7626013000000.0,7414242300000.0,7819525400000.0,7408545400000.0
1982-09-16 00:00:00,7586848000000.0,7400028400000.0,7033880300000.0,6680771300000.0,7428251300000.0,7258412000000.0,7386381000000.0,7116235500000.0,7879881400000.0,7144049000000.0
1982-10-16 12:00:00,8839305000000.0,8724479500000.0,8665962600000.0,8332199000000.0,8641980700000.0,8585948000000.0,8610457300000.0,8596258600000.0,9076644000000.0,8578543000000.0
1982-11-16 00:00:00,9690600000000.0,9706293000000.0,9820845000000.0,9840472000000.0,9563414000000.0,9607389000000.0,9720409000000.0,9672814000000.0,10113534000000.0,9673982000000.0
1982-12-16 12:00:00,11061051000000.0,10778456000000.0,11468660000000.0,11020537000000.0,10986610000000.0,10867507000000.0,11252772000000.0,10843171000000.0,11184256000000.0,11551240000000.0
1983-01-16 12:00:00,12224521000000.0,12041812000000.0,12052091000000.0,12399880000000.0,11880593000000.0,11956718000000.0,12148502000000.0,11884871000000.0,12497948000000.0,12446780000000.0
1983-02-15 00:00:00,12878305000000.0,12476494000000.0,12672121000000.0,12842275000000.0,12497042000000.0,12566089000000.0,12665795000000.0,12587442000000.0,12929402000000.0,12754229000000.0
1983-03-16 12:00:00,12992320000000.0,12676118000000.0,12870570000000.0,13217904000000.0,12701234000000.0,12818354000000.0,12993545000000.0,12947489000000.0,13245958000000.0,12649784000000.0
1983-04-16 00:00:00,12552723000000.0,12482993000000.0,12571996000000.0,13164862000000.0,12229630000000.0,12615042000000.0,12805341000000.0,12759875000000.0,13101550000000.0,12433693000000.0
1983-05-16 12:00:00,11784373000000.0,11806127000000.0,11867331000000.0,12327575000000.0,11540808000000.0,11653674000000.0,12030170000000.0,11963136000000.0,12280905000000.0,11848354000000.0
1983-06-16 00:00:00,10569415000000.0,10837548000000.0,10776384000000.0,10470940000000.0,10542250000000.0,10594900000000.0,10985111000000.0,10832104000000.0,11238557000000.0,11013759000000.0
