time,r4i1p1f1,r8i1p1f1,r7i1p1f1,r9i1p1f1,r3i1p1f1,r5i1p1f1,r6i1p1f1,r1i1p1f1,r2i1p1f1
1979-01-16 12:00:00,14813836000000.0,14761344000000.0,15013461000000.0,14198783000000.0,14156274000000.0,14448456000000.0,15037040000000.0,14520385000000.0,13721954000000.0
1979-02-15 00:00:00,15563004000000.0,15701101000000.0,15722010000000.0,14819930000000.0,15178282000000.0,15020370000000.0,15524017000000.0,15557664000000.0,14573555000000.0
1979-03-16 12:00:00,15754548000000.0,16137488000000.0,16192316000000.0,15298685000000.0,15473515000000.0,15492702000000.0,16023182000000.0,15997476000000.0,15195614000000.0
1979-04-16 00:00:00,15487670000000.0,16067662000000.0,16173758000000.0,14940278000000.0,15276962000000.0,15490693000000.0,15742015000000.0,15572666000000.0,14743822000000.0
1979-05-16 12:00:00,14952836000000.0,15083595000000.0,15381393000000.0,13887956000000.0,14490024000000.0,14316048000000.0,15016975000000.0,14787220000000.0,13766039000000.0
1979-06-16 00:00:00,12952625000000.0,13164539000000.0,12689561000000.0,12160257000000.0,13165326000000.0,11446364000000.0,12779920000000.0,12858001000000.0,12409421000000.0
1979-07-16 12:00:00,9571169000000.0,9703058000000.0,10462725000000.0,8409173700000.0,9682456000000.0,8922080000000.0,9095797000000.0,9120505000000.0,9290409000000.0
1979-08-16 12:00:00,7798928000000.0,7463969500000.0,7971267000000.0,6239917000000.0,7388817000000.0,7120462300000.0,7287436000000.0,6586715600000.0,7608839700000.0
1979-09-16 00:00:00,7555233300000.0,7121339000000.0,7554283300000.0,6224039400000.0,7136670600000.0,6923821000000.0,6921243000000.0,6119305500000.0,7267230000000.0
1979-10-16 12:00:00,9041657000000.0,8507656000000.0,8738460000000.0,7678865700000.0,8655923600000.0,8112467000000.0,8351757400000.0,7380636000000.0,8862427000000.0
1979-11-16 00:00:00,10941329000000.0,10441404000000.0,11280725000000.0,10435545000000.0,10873484000000.0,10430332000000.0,10623674000000.0,10991403000000.0,10519028000000.0
1979-12-16 12:00:00,12771416000000.0,12915416000000.0,13619080000000.0,13147748000000.0,13228969000000.0,12601263000000.0,13063237000000.0,12809783000000.0,12892225000000.0
1980-01-16 12:00:00,14733270000000.0,14388553000000.0,14713613000000.0,14386253000000.0,14386402000000.0,14022845000000.0,15149084000000.0,14681869000000.0,14192776000000.0
1980-02-15 12:00:00,15657393000000.0,15329183000000.0,15468467000000.0,15170707000000.0,14933186000000.0,14694028000000.0,15848150000000.0,15839911000000.0,15082315000000.0
1980-03-16 12:00:00,16028715000000.0,15700601000000.0,15844227000000.0,15675061000000.0,15556040000000.0,15177119000000.0,16125495000000.0,16395336000000.0,15310141000000.0
