time,r4i1p1f1,r1i1p1f1,r5i1p1f1,r6i1p1f1,r2i1p1f1,r3i1p1f1
1979-01-16 12:00:00,0.067724295,0.07837092,0.0692109,0.06942266,0.06192437,0.06848949
1979-02-15 00:00:00,0.07011602,0.050705202,0.06517838,0.076469734,0.058677662,0.059888523
1979-03-16 12:00:00,0.05553111,0.04573265,0.07165194,0.05482276,0.061490867,0.045070373
1979-04-16 00:00:00,0.052865256,0.04934251,0.04629493,0.0516655,0.05534707,0.043131344
1979-05-16 12:00:00,0.039793737,0.048980564,0.04762432,0.0540347,0.055682287,0.048472583
1979-06-16 00:00:00,0.046637498,0.037808005,0.055177044,0.056950565,0.043050267,0.06493316
1979-07-16 12:00:00,0.02745803,0.032349166,0.046100587,0.045792203,0.030946635,0.031189185
1979-08-16 12:00:00,0.036560845,0.03968539,0.043875553,0.035016675,0.053196654,0.03857577
1979-09-16 00:00:00,0.039713547,0.052859157,0.04640546,0.052624818,0.053469334,0.04698719
1979-10-16 12:00:00,0.04511177,0.06401989,0.053789414,0.0651113,0.05558238,0.047967065
1979-11-16 00:00:00,0.061841507,0.058776937,0.04404625,0.05474611,0.051694956,0.054518264
1979-12-16 12:00:00,0.07246754,0.0626039,0.06314299,0.05901785,0.05370109,0.08239318
1980-01-16 12:00:00,0.06585636,0.083419144,0.087174594,0.06284531,0.06556698,0.07967648
1980-02-15 12:00:00,0.066707514,0.08934376,0.064538285,0.07002332,0.07046971,0.06760713
1980-03-16 12:00:00,0.061785296,0.0694777,0.05805243,0.09851486,0.06546152,0.075205095
1980-04-16 00:00:00,0.0604738,0.05829269,0.056827936,0.05802511,0.050674327,0.053236075
1980-05-16 12:00:00,0.040337265,0.048416343,0.03799337,0.069662355,0.04593199,0.02516079
1980-06-16 00:00:00,0.05688673,0.04341639,0.05620465,0.04179455,0.03323872,0.03894976
1980-07-16 12:00:00,0.03405723,0.04040915,0.02737671,0.03621141,0.025590623,0.03405453
1980-08-16 12:00:00,0.027078819,0.03601885,0.051044933,0.032467604,0.027979782,0.072501495
1980-09-16 00:00:00,0.051695712,0.052311033,0.036188193,0.041946378,0.033493426,0.038048413
1980-10-16 12:00:00,0.037307113,0.055501845,0.060847543,0.08456863,0.06281822,0.054850675
1980-11-16 00:00:00,0.049711432,0.047812004,0.05036084,0.07295358,0.07729271,0.05311449
1980-12-16 12:00:00,0.06360923,0.045204412,0.063474745,0.05463876,0.052249875,0.063563354
1981-01-16 12:00:00,0.07083194,0.05704721,0.069579944,0.084690206,0.06446869,0.0638069
1981-02-15 00:00:00,0.09471346,0.057262365,0.06556912,0.058210395,0.047663465,0.07276544
1981-03-16 12:00:00,0.06568837,0.06917367,0.056872126,0.054760605,0.059192836,0.06685992
1981-04-16 00:00:00,0.041224245,0.055140838,0.050705906,0.040044345,0.053863134,0.04901803
1981-05-16 12:00:00,0.060739443,0.043557994,0.03968789,0.037221193,0.040449325,0.04514653
1981-06-16 00:00:00,0.06258459,0.050752383,0.034118243,0.039847087,0.03459609,0.049615547
1981-07-16 12:00:00,0.04798916,0.028634166,0.04000637,0.035944927,0.03241392,0.045059305
1981-08-16 12:00:00,0.03296696,0.030764904,0.024128757,0.04969864,0.033770118,0.034210887
1981-09-16 00:00:00,0.064551,0.040852066,0.055350997,0.04172096,0.049812723,0.04595628
1981-10-16 12:00:00,0.049529903,0.06785286,0.051491696,0.06339299,0.046576288,0.047640108
1981-11-16 00:00:00,0.056866392,0.054145627,0.06473639,0.054189723,0.04322542,0.042303175
1981-12-16 12:00:00,0.042288274,0.04801465,0.06968847,0.04997318,0.056129657,0.06240797
1982-01-16 12:00:00,0.07800482,0.061078195,0.0596886,0.06739018,0.056297984,0.07410221
1982-02-15 00:00:00,0.054463867,0.058727566,0.053281818,0.06433817,0.07535651,0.09883746
1982-03-16 12:00:00,0.04966202,0.048469543,0.06129758,0.074529566,0.057333883,0.057190288
1982-04-16 00:00:00,0.051908877,0.040381625,0.050056197,0.05182212,0.048867367,0.04735488
1982-05-16 12:00:00,0.037693806,0.045429356,0.05103356,0.049560484,0.047241703,0.044639647
1982-06-16 00:00:00,0.060695563,0.050916858,0.043046948,0.035805073,0.060781274,0.031219417
1982-07-16 12:00:00,0.04198396,0.05825019,0.028380869,0.038328066,0.042136595,0.033115324
1982-08-16 12:00:00,0.06515512,0.033967752,0.033223506,0.03748367,0.02771705,0.029349146
1982-09-16 00:00:00,0.046687048,0.045052525,0.03737666,0.0334241,0.036247607,0.03443922
1982-10-16 12:00:00,0.07299944,0.058551967,0.04156006,0.06298846,0.049730457,0.04894251
1982-11-16 00:00:00,0.06876198,0.047668524,0.062490676,0.053598393,0.053265408,0.050470605
1982-12-16 12:00:00,0.060216457,0.046514474,0.045207478,0.05413335,0.04899526,0.050817925
1983-01-16 12:00:00,0.064826064,0.05072052,0.06984736,0.061620537,0.109645054,0.06353556
1983-02-15 00:00:00,0.05176224,0.058439188,0.05736139,0.06900795,0.06668811,0.06652472
1983-03-16 12:00:00,0.06367191,0.0603349,0.049680866,0.048617925,0.06334363,0.058457073
1983-04-16 00:00:00,0.05209373,0.04015901,0.049421523,0.04621234,0.066064626,0.045266047
1983-05-16 12:00:00,0.04925473,0.047228947,0.040432155,0.03996403,0.045795064,0.042295564
1983-06-16 00:00:00,0.050929464,0.047664367,0.03874816,0.039993,0.03614916,0.033044282
1983-07-16 12:00:00,0.034692213,0.058697063,0.030608062,0.028654894,0.03506392,0.036489807
1983-08-16 12:00:00,0.07117409,0.03405678,0.04577647,0.05900536,0.025652962,0.028004626
1983-09-16 00:00:00,0.059720505,0.04643098,0.037896328,0.05501235,0.04345631,0.03402621
1983-10-16 12:00:00,0.060486104,0.05747449,0.054764017,0.07187093,0.04290963,0.05079609
1983-11-16 00:00:00,0.054846663,0.04502369,0.049290046,0.054292563,0.056112368,0.07400272
1983-12-16 12:00:00,0.049841348,0.053459235,0.060828924,0.06743596,0.08452127,0.04854548
1984-01-16 12:00:00,0.06355667,0.06383855,0.073610865,0.08048443,0.08488783,0.06529269
1984-02-15 12:00:00,0.077136256,0.068396755,0.053975847,0.07863077,0.06272751,0.06723877
1984-03-16 12:00:00,0.050854895,0.05355339,0.058334783,0.07189835,0.05385994,0.058937892
1984-04-16 00:00:00,0.05101863,0.06309567,0.048097294,0.0559271,0.06436118,0.054767232
1984-05-16 12:00:00,0.050241675,0.049177766,0.051104978,0.029059507,0.044975787,0.050993666
1984-06-16 00:00:00,0.050223373,0.041874584,0.06160313,0.0481954,0.04558594,0.046104446
1984-07-16 12:00:00,0.034136336,0.035466693,0.051352374,0.050326746,0.057641722,0.036953446
1984-08-16 12:00:00,0.0308111,0.031109545,0.04179562,0.036027327,0.028138446,0.029667422
1984-09-16 00:00:00,0.040248748,0.048262276,0.033334807,0.0443243,0.03821356,0.040664222
1984-10-16 12:00:00,0.059123993,0.050531134,0.05844936,0.050762307,0.03559693,0.04411896
1984-11-16 00:00:00,0.09269044,0.053326346,0.052403502,0.03749193,0.05301845,0.050492637
1984-12-16 12:00:00,0.07092682,0.06005584,0.06310271,0.0648792,0.06706339,0.0641728
1985-01-16 12:00:00,0.06433251,0.071040146,0.06540942,0.06586401,0.062136155,0.060115546
1985-02-15 00:00:00,0.07032217,0.063822396,0.053956673,0.06902459,0.07076615,0.054629657
1985-03-16 12:00:00,0.05463366,0.061658368,0.058662377,0.06042213,0.07879366,0.043651838
1985-04-16 00:00:00,0.05434228,0.05108515,0.045863062,0.0551105,0.05975195,0.04776715
1985-05-16 12:00:00,0.04408476,0.04959932,0.050122954,0.03712556,0.037858356,0.029978069
1985-06-16 00:00:00,0.06374084,0.030681498,0.042921003,0.06032807,0.03626667,0.045951698
1985-07-16 12:00:00,0.07096458,0.038480368,0.031098539,0.03744694,0.029931387,0.052579936
1985-08-16 12:00:00,0.0640919,0.034844704,0.041020717,0.03015252,0.048609115,0.030803796
