time,r2i1p1f1,r8i1p1f1,r7i1p1f1,r6i1p1f1,r10i1p1f1,r5i1p1f1,r1i1p1f1,r3i1p1f1,r4i1p1f1,r9i1p1f1
1979-01-15 12:00:00,0.10779817,0.115079716,0.10940073,0.123639256,0.10261054,0.112385266,0.10897217,0.09859198,0.09298931,0.11253132
1979-02-14 00:00:00,0.114226215,0.09306225,0.11060669,0.10153473,0.10014076,0.093663275,0.10106363,0.11244355,0.11511367,0.10394126
1979-03-15 12:00:00,0.1036511,0.07940636,0.10782835,0.10236573,0.09323248,0.09548935,0.10654628,0.09877445,0.079957105,0.10119083
1979-04-15 00:00:00,0.10284276,0.09474486,0.116823986,0.08444228,0.09443871,0.09864554,0.09066196,0.093145564,0.086053275,0.11582156
1979-05-15 12:00:00,0.08995247,0.08318114,0.099427566,0.093667194,0.09870648,0.08406959,0.08839172,0.09634518,0.09517823,0.0970732
1979-06-15 00:00:00,0.094872735,0.07677862,0.09230558,0.090076566,0.086131506,0.075771555,0.09046773,0.08580789,0.086116076,0.088827625
1979-07-15 12:00:00,0.09892782,0.080416694,0.083464004,0.08030241,0.089073986,0.087176025,0.09475605,0.08968772,0.09049363,0.0959256
1979-08-15 12:00:00,0.08979612,0.10477644,0.10500393,0.10701541,0.09455195,0.07862067,0.09489195,0.10370357,0.08883535,0.10301167
1979-09-15 00:00:00,0.092167884,0.10426162,0.096880674,0.09713905,0.096713066,0.107266046,0.1155211,0.09748827,0.09774469,0.10828514
1979-10-15 12:00:00,0.11822114,0.109792285,0.12413605,0.10864881,0.10062817,0.10950552,0.1407762,0.1205238,0.13000895,0.10598716
1979-11-15 00:00:00,0.11907748,0.100917265,0.123891726,0.1343224,0.11573596,0.09558138,0.11150665,0.11750516,0.116135664,0.117818356
1979-12-15 12:00:00,0.120178655,0.11602781,0.10067528,0.11902469,0.09862213,0.11111475,0.11956252,0.110372335,0.10289121,0.11216366
1980-01-15 12:00:00,0.107002184,0.10982226,0.1052436,0.1217028,0.1066325,0.106275044,0.10925784,0.09479561,0.10664035,0.11096567
1980-02-14 00:00:00,0.100493066,0.103759065,0.0966817,0.09768182,0.091892414,0.09733526,0.10934016,0.09069165,0.101691596,0.09884878
1980-03-15 12:00:00,0.11057434,0.092595816,0.09363298,0.10388109,0.09655654,0.09435575,0.110609405,0.10134646,0.09069436,0.10214421
1980-04-15 00:00:00,0.10120637,0.10409429,0.091975175,0.0962203,0.10702452,0.10563408,0.105798304,0.08844324,0.09685901,0.09808928
1980-05-15 12:00:00,0.086294144,0.09388899,0.091069855,0.086171746,0.092143305,0.091808885,0.0946313,0.079162054,0.088397555,0.09606011
1980-06-15 00:00:00,0.086603634,0.08536283,0.08695612,0.08218919,0.09582687,0.089046076,0.09399741,0.07781069,0.0895699,0.083637886
1980-07-15 12:00:00,0.08942814,0.09580517,0.08522103,0.09144388,0.088516854,0.0778205,0.089371346,0.10027817,0.09294089,0.08667346
1980-08-15 12:00:00,0.09897871,0.10239965,0.09086509,0.10001477,0.09084794,0.103595465,0.084981464,0.10167447,0.0942103,0.0968065
1980-09-15 00:00:00,0.11653183,0.10056993,0.10208727,0.11251578,0.112148724,0.10762272,0.093314186,0.10585314,0.1070625,0.10067568
1980-10-15 12:00:00,0.1159182,0.117922686,0.11278822,0.11402163,0.12036411,0.12482089,0.11688281,0.11096788,0.12751298,0.10146245
1980-11-15 00:00:00,0.12623139,0.110498145,0.11604019,0.11767014,0.12403201,0.108691834,0.10689662,0.11073304,0.1193376,0.102259785
1980-12-15 12:00:00,0.118775785,0.10754587,0.10206222,0.12127936,0.11574306,0.115100384,0.10323491,0.11886729,0.115596846,0.11095543
1981-01-15 12:00:00,0.120222844,0.10233703,0.10747624,0.09922262,0.12195749,0.102419436,0.093211025,0.095445015,0.10426694,0.0985956
1981-02-14 00:00:00,0.110379025,0.09733467,0.10947443,0.10848519,0.10304595,0.10664725,0.10995012,0.09722232,0.09990454,0.10154737
1981-03-15 12:00:00,0.09894167,0.09885019,0.09247427,0.102990665,0.09035771,0.092584014,0.10401529,0.10293111,0.11306985,0.101354085
1981-04-15 00:00:00,0.104883514,0.098737724,0.09849578,0.10302573,0.0974798,0.10286283,0.10637287,0.10631319,0.10580012,0.09994262
1981-05-15 12:00:00,0.096591674,0.0811393,0.0946717,0.098661125,0.086659305,0.07861172,0.10242223,0.08920162,0.10155854,0.08197257
1981-06-15 00:00:00,0.08781491,0.08831026,0.08726169,0.1008363,0.08905088,0.07922671,0.091224715,0.08348466,0.093394995,0.08172562
1981-07-15 12:00:00,0.08356072,0.09089815,0.08593301,0.07622391,0.09336491,0.08183063,0.08625061,0.08525903,0.07968036,0.080770604
1981-08-15 12:00:00,0.09872897,0.10001844,0.10889992,0.09770608,0.094233505,0.09526608,0.10659187,0.10209324,0.11359791,0.09270302
1981-09-15 00:00:00,0.09626589,0.114129305,0.09674196,0.103631675,0.10009836,0.10364905,0.113300495,0.094936036,0.11611697,0.103965834
1981-10-15 12:00:00,0.122862786,0.11629124,0.14058115,0.12372124,0.111895666,0.10752581,0.11263178,0.11188465,0.11870021,0.111111075
1981-11-15 00:00:00,0.12666945,0.11298484,0.12188253,0.1322737,0.108003534,0.105645515,0.11406964,0.11731559,0.13316458,0.11606287
1981-12-15 12:00:00,0.10805639,0.10773581,0.10664174,0.10584819,0.09888122,0.10416939,0.10693658,0.12747148,0.1112311,0.10057092
1982-01-15 12:00:00,0.12806189,0.111117154,0.113036215,0.1076831,0.11109707,0.11373631,0.115400925,0.11104471,0.1126572,0.105682604
1982-02-14 00:00:00,0.11686802,0.09586103,0.10273564,0.109582394,0.102675065,0.11903779,0.10416831,0.102316834,0.10624975,0.09787659
1982-03-15 12:00:00,0.10884053,0.10470656,0.11218242,0.11817428,0.09922782,0.11584746,0.10079591,0.10013418,0.10970365,0.094371915
1982-04-15 00:00:00,0.09454375,0.08609548,0.10472571,0.092079125,0.10050702,0.09785741,0.09538784,0.10451964,0.109317616,0.09032666
1982-05-15 12:00:00,0.0908911,0.08709124,0.100904524,0.09796791,0.09622194,0.08903013,0.09443162,0.09580071,0.09711446,0.08451823
1982-06-15 00:00:00,0.08097725,0.07398909,0.10685121,0.09847317,0.08562209,0.09386575,0.08187825,0.08853712,0.099051684,0.08828985
1982-07-15 12:00:00,0.09779995,0.08159113,0.09062645,0.08547962,0.09013017,0.08753966,0.0778971,0.08057487,0.10372136,0.090155564
1982-08-15 12:00:00,0.10652878,0.10857039,0.09768511,0.09436591,0.08291595,0.102240786,0.10688957,0.09925331,0.088720046,0.09640113
1982-09-15 00:00:00,0.11807463,0.10335342,0.09165786,0.10210436,0.09415163,0.11080006,0.1157077,0.099215545,0.09441207,0.106863886
1982-10-15 12:00:00,0.12406525,0.113409944,0.11658426,0.10814798,0.12593418,0.11784797,0.109788746,0.11250652,0.108009495,0.10447283
1982-11-15 00:00:00,0.10290912,0.1034359,0.099813655,0.111160494,0.108303,0.11073037,0.12039849,0.11633161,0.11022383,0.12438748
1982-12-15 12:00:00,0.10212389,0.10700385,0.11033316,0.09572869,0.10293343,0.10553898,0.11324192,0.118705764,0.101069614,0.1065585
1983-01-15 12:00:00,0.117606044,0.1077535,0.103291295,0.11782282,0.107484736,0.108968526,0.09977537,0.11334554,0.120367795,0.10510799
1983-02-14 00:00:00,0.105322585,0.10973174,0.09845031,0.10558736,0.10895138,0.11438047,0.09519693,0.112815365,0.10515535,0.09092437
1983-03-15 12:00:00,0.11819874,0.10972237,0.10779846,0.11149242,0.102680564,0.10412602,0.087014504,0.097113565,0.10902365,0.09880725
1983-04-15 00:00:00,0.10477654,0.102010526,0.09256344,0.09175183,0.0994396,0.099577315,0.09242808,0.097115815,0.09772895,0.09583612
1983-05-15 12:00:00,0.10183059,0.09796594,0.08938532,0.08916557,0.09346261,0.08976328,0.099132426,0.0934561,0.10011058,0.08573919
1983-06-15 00:00:00,0.093851835,0.092465796,0.077870496,0.0867776,0.082662016,0.090721235,0.0852879,0.0857278,0.092419684,0.08180094
1983-07-15 12:00:00,0.08978419,0.09212,0.08749486,0.08885321,0.08152207,0.08555754,0.08431343,0.090914354,0.07846673,0.09096332
1983-08-15 12:00:00,0.10782793,0.10405422,0.10128679,0.11341575,0.09200852,0.093380205,0.0987722,0.100290336,0.10484602,0.08158992
1983-09-15 00:00:00,0.13154453,0.10982788,0.11237624,0.110726126,0.09641565,0.11558147,0.1063229,0.12036749,0.101599656,0.10242251
1983-10-15 12:00:00,0.12423369,0.12062849,0.113925025,0.10956241,0.120494224,0.10786838,0.116363876,0.1270905,0.11912274,0.12896986
1983-11-15 00:00:00,0.11333121,0.105308734,0.10997975,0.1270054,0.1163079,0.13098419,0.11370219,0.11499184,0.124468826,0.105662316
1983-12-15 12:00:00,0.11499262,0.106869936,0.099351734,0.12567993,0.119945236,0.11253198,0.11037726,0.113289066,0.121882774,0.10201004
1984-01-15 12:00:00,0.110724576,0.09903395,0.1100268,0.11190271,0.11646592,0.11638941,0.10141988,0.0998317,0.10851783,0.09746281
1984-02-14 00:00:00,0.1013768,0.09769095,0.095265985,0.11425456,0.11465365,0.11133073,0.10368043,0.122147694,0.10662866,0.08976497
1984-03-15 12:00:00,0.0934121,0.10194889,0.11130772,0.10910293,0.10284856,0.11985928,0.10012981,0.09937134,0.10498768,0.082291625
1984-04-15 00:00:00,0.09676665,0.09601088,0.1076566,0.10265683,0.09923912,0.10023521,0.1051657,0.09733459,0.10840172,0.07960135
1984-05-15 12:00:00,0.086495906,0.09337186,0.09924116,0.09339541,0.08843127,0.103726976,0.09773369,0.094621226,0.09186797,0.08111972
1984-06-15 00:00:00,0.0861155,0.089843504,0.07219919,0.08392652,0.08457521,0.0806862,0.08746368,0.08599904,0.093934834,0.08518734
1984-07-15 12:00:00,0.0889548,0.08449682,0.082114235,0.09666079,0.086279824,0.08599488,0.0833518,0.09671853,0.09347724,0.089931674
