time,r2i1p1f2,r5i1p1f2,r4i1p1f2,r9i1p1f2,r1i1p1f2,r6i1p1f2,r8i1p1f2,r7i1p1f2,r10i1p1f2,r3i1p1f2
1979-01-16 12:00:00,0.11043666,0.09323015,0.10619867,0.10126016,0.10418318,0.0937941,0.0978648,0.09996248,0.118678264,0.10384437
1979-02-15 00:00:00,0.09781701,0.09808488,0.09601107,0.09859981,0.09704014,0.093366794,0.094172426,0.08982209,0.10353712,0.10638567
1979-03-16 12:00:00,0.10074498,0.096516386,0.09801209,0.093561806,0.08458923,0.08488943,0.09517467,0.09583622,0.09200579,0.09290443
1979-04-16 00:00:00,0.08297938,0.09112324,0.08660605,0.08939744,0.08449889,0.08063571,0.09748346,0.08289949,0.08124025,0.103025086
1979-05-16 12:00:00,0.09278263,0.09198752,0.09768537,0.08372705,0.09749666,0.09622391,0.09824668,0.092023306,0.090507254,0.09321174
1979-06-16 00:00:00,0.10051346,0.09121895,0.096639834,0.094080865,0.095931806,0.10447377,0.102183364,0.095344745,0.1000386,0.10552446
1979-07-16 12:00:00,0.10707218,0.09935542,0.10822162,0.107039,0.103517465,0.10657045,0.1053585,0.11067465,0.10734575,0.10770322
1979-08-16 12:00:00,0.12884316,0.11468229,0.11472414,0.12626283,0.11084626,0.10289941,0.11160511,0.117008455,0.11749942,0.11060348
1979-09-16 00:00:00,0.118587315,0.12180288,0.108073235,0.10391399,0.10721803,0.10364143,0.1021961,0.121668786,0.11899577,0.1183323
1979-10-16 12:00:00,0.122171886,0.10424095,0.1000301,0.10050546,0.10718689,0.11169305,0.108221255,0.095229805,0.10790877,0.10520085
1979-11-16 00:00:00,0.10454451,0.10904224,0.10722806,0.091657065,0.09882493,0.102622725,0.09459146,0.103549175,0.102295734,0.110258825
1979-12-16 12:00:00,0.096001975,0.09423705,0.1101745,0.09706821,0.099385515,0.10465951,0.101858094,0.09118629,0.099424414,0.096668236
1980-01-16 12:00:00,0.10635801,0.106808506,0.100263104,0.10220492,0.1028616,0.09251421,0.10458072,0.09987682,0.10367152,0.10646788
1980-02-15 12:00:00,0.109284624,0.10318626,0.09150165,0.0925723,0.112481974,0.096356556,0.10398282,0.09873247,0.104719006,0.09343221
1980-03-16 12:00:00,0.088600494,0.11315628,0.08027657,0.090500996,0.10574181,0.087029226,0.09368226,0.08780691,0.09525341,0.092927374
1980-04-16 00:00:00,0.08830426,0.108029805,0.07769006,0.0777507,0.09957694,0.08533838,0.09082025,0.09460948,0.09440904,0.08855913
1980-05-16 12:00:00,0.09834424,0.10960892,0.10272183,0.0944031,0.10454134,0.0987286,0.0847898,0.09388498,0.09139949,0.09383007
1980-06-16 00:00:00,0.1040483,0.110927776,0.11272852,0.10052163,0.10130996,0.09794763,0.09250483,0.09801837,0.107961826,0.107562706
1980-07-16 12:00:00,0.10112813,0.10547921,0.107576355,0.11153776,0.10944934,0.108556926,0.10374435,0.10080787,0.10409502,0.11147277
1980-08-16 12:00:00,0.109594114,0.11760623,0.109067105,0.10056182,0.106076494,0.11036146,0.111167,0.10696015,0.1039211,0.12028449
1980-09-16 00:00:00,0.106171,0.11675073,0.11318826,0.09924678,0.11056378,0.11759536,0.11163063,0.12000241,0.10979268,0.13115753
1980-10-16 12:00:00,0.091265865,0.105566025,0.09866075,0.09571367,0.09685076,0.100717485,0.09936334,0.097554736,0.10142438,0.114463165
1980-11-16 00:00:00,0.10381554,0.10303135,0.10519624,0.1114223,0.097018905,0.099728465,0.095487975,0.09664069,0.10296177,0.096757114
1980-12-16 12:00:00,0.10408818,0.1178856,0.12260727,0.10228556,0.11080774,0.10346126,0.106660016,0.11392925,0.10082459,0.106662564
1981-01-16 12:00:00,0.09313302,0.11520495,0.10348912,0.10328778,0.097086236,0.10213505,0.10633804,0.10303599,0.10621869,0.09087656
1981-02-15 00:00:00,0.09988766,0.10430194,0.10625701,0.086755455,0.0983206,0.09378582,0.11017447,0.09952486,0.09112281,0.10073941
1981-03-16 12:00:00,0.095877595,0.08282029,0.107387915,0.07477522,0.100476384,0.098515496,0.09534134,0.086879835,0.092119716,0.10470656
1981-04-16 00:00:00,0.08554014,0.09092884,0.09587039,0.08922222,0.09699386,0.104500115,0.08536592,0.08207477,0.09592556,0.08994957
1981-05-16 12:00:00,0.0997024,0.09089477,0.09645729,0.08976636,0.10891924,0.09167578,0.100488685,0.092676975,0.08836851,0.09569857
1981-06-16 00:00:00,0.095985256,0.09332637,0.099256426,0.093119465,0.10879637,0.08768733,0.097375214,0.098340996,0.09170944,0.10181623
1981-07-16 12:00:00,0.1061825,0.10935965,0.10417697,0.11590383,0.117693774,0.10839831,0.10829423,0.1131979,0.11478094,0.10368476
1981-08-16 12:00:00,0.11661217,0.13055691,0.10735072,0.11304933,0.105710365,0.11181205,0.12250624,0.11341075,0.123764165,0.11793208
1981-09-16 00:00:00,0.11758883,0.10997243,0.12121071,0.10806943,0.11106484,0.10906757,0.12113955,0.11040809,0.122573875,0.11758631
1981-10-16 12:00:00,0.09995341,0.09435394,0.11028374,0.099802144,0.09646128,0.10056061,0.09522154,0.09918385,0.087895125,0.10389479
1981-11-16 00:00:00,0.100040056,0.092918426,0.10717984,0.10059726,0.089230366,0.091806725,0.088826336,0.11708028,0.11225543,0.10057243
1981-12-16 12:00:00,0.088711925,0.098138444,0.10882124,0.101585686,0.096459836,0.10463011,0.10354142,0.10525238,0.09422815,0.100799516
1982-01-16 12:00:00,0.11126475,0.09992184,0.10216192,0.10447446,0.10497454,0.10231407,0.11200033,0.117340334,0.09840292,0.109860875
1982-02-15 00:00:00,0.100995325,0.09364375,0.093352914,0.09333118,0.10219395,0.099904954,0.0893801,0.111089855,0.09199463,0.10339705
1982-03-16 12:00:00,0.08586619,0.09086103,0.09237369,0.07841034,0.100162804,0.0987295,0.089787416,0.10236677,0.092897706,0.10779117
1982-04-16 00:00:00,0.08152421,0.08388422,0.08510662,0.08714733,0.09058141,0.08039555,0.09183214,0.111151606,0.08906201,0.10831671
1982-05-16 12:00:00,0.084212184,0.09533415,0.08884703,0.08954345,0.10818164,0.092638806,0.09299356,0.09933655,0.09061054,0.10900958
1982-06-16 00:00:00,0.10924537,0.098933674,0.1020819,0.09764511,0.10514814,0.10614061,0.09612894,0.104029335,0.11200031,0.11581298
1982-07-16 12:00:00,0.10454489,0.108628124,0.10147296,0.101635806,0.12120535,0.09947744,0.11336474,0.105120614,0.10084321,0.10784544
1982-08-16 12:00:00,0.11459388,0.1186117,0.13105792,0.12681276,0.1244832,0.11927864,0.113073796,0.11347157,0.1117689,0.11150236
1982-09-16 00:00:00,0.113512106,0.111993425,0.1247384,0.11402648,0.12062419,0.10625547,0.11493761,0.11444694,0.11133975,0.12413323
1982-10-16 12:00:00,0.10141903,0.099919535,0.107639104,0.09546732,0.1004863,0.09181491,0.10654216,0.10391015,0.09855183,0.09692583
1982-11-16 00:00:00,0.10126496,0.0873205,0.09517542,0.09880156,0.11152462,0.09411912,0.09732878,0.10703924,0.0998461,0.10023755
1982-12-16 12:00:00,0.106221244,0.11367077,0.11352836,0.09020059,0.10378792,0.10459183,0.10654745,0.09898785,0.09328358,0.105333485
1983-01-16 12:00:00,0.11668048,0.10362789,0.11129773,0.101067334,0.11441719,0.09769793,0.11152874,0.11527101,0.09486358,0.1017784
1983-02-15 00:00:00,0.095627576,0.10217737,0.10836482,0.10748138,0.09947775,0.09152061,0.10307793,0.11706536,0.09930995,0.1050048
1983-03-16 12:00:00,0.090399876,0.10441687,0.09464323,0.1050854,0.093512416,0.08401855,0.094973855,0.09125041,0.09277806,0.099767484
1983-04-16 00:00:00,0.08733488,0.09112885,0.08932511,0.090998605,0.09601446,0.08483997,0.09147132,0.093597405,0.094005845,0.08439869
1983-05-16 12:00:00,0.095653854,0.09565756,0.0993551,0.10181072,0.09450714,0.094378844,0.09302671,0.09305442,0.09602337,0.098300554
1983-06-16 00:00:00,0.10170267,0.10922363,0.092845075,0.10280821,0.0988405,0.0936533,0.098409005,0.09067879,0.10763325,0.09497195
