time,r25i1p1f1,r21i1p1f1,r7i1p1f1,r4i1p2f1,r25i1p2f1,r13i1p1f1,r7i1p2f1,r6i1p2f1,r5i1p1f1,r18i1p1f1,r4i1p1f1,r20i1p1f1,r2i1p2f1,r10i1p2f1,r12i1p1f1,r9i1p1f1,r6i1p1f1,r1i1p1f1,r19i1p1f1,r24i1p1f1,r3i1p2f1,r3i1p1f1,r2i1p1f1,r5i1p2f1,r1i1p2f1
1979-01-16 12:00:00,0.14505918,0.15119758,0.16245255,0.13565391,0.13563736,0.13606578,0.14418021,0.14419325,0.14764032,0.1332946,0.15317157,0.15037164,0.15613346,0.13011989,0.13620003,0.14060801,0.14095433,0.14145903,0.14990334,0.14079109,0.14159662,0.14660324,0.14768054,0.14823283,0.14296177
1979-02-15 00:00:00,0.14292197,0.14081025,0.1654891,0.13945983,0.16048892,0.14481974,0.14381456,0.14114986,0.14926961,0.14371206,0.14496194,0.13892972,0.14033218,0.13573885,0.14804131,0.1501914,0.13741264,0.15616833,0.15137452,0.15474342,0.123643704,0.14949709,0.14976731,0.14880584,0.16268162
1979-03-16 12:00:00,0.13013934,0.13553387,0.14196955,0.13478293,0.13405874,0.15038407,0.13225552,0.13678744,0.13296795,0.13326614,0.14804743,0.13353105,0.12533857,0.15300629,0.14465576,0.1470654,0.13430864,0.13533065,0.13803619,0.1393238,0.12839273,0.1535128,0.13737802,0.14037049,0.13923267
1979-04-16 00:00:00,0.12073194,0.11872269,0.13567406,0.12905246,0.13375443,0.112283945,0.12757272,0.1186987,0.12372198,0.13646996,0.12665275,0.12746811,0.11925195,0.12636636,0.13884726,0.12281945,0.12821746,0.13400175,0.12452331,0.12984568,0.12624845,0.13726628,0.1357564,0.13012753,0.13450263
1979-05-16 12:00:00,0.11397188,0.09819625,0.120865524,0.11343675,0.108382076,0.11284169,0.12369639,0.10308701,0.118143685,0.12389718,0.11681168,0.0991695,0.105963245,0.11245094,0.10568428,0.113060504,0.10035784,0.12412013,0.11370461,0.111700065,0.109907866,0.13551408,0.12774718,0.111543775,0.10226134
1979-06-16 00:00:00,0.10900774,0.1035606,0.1029305,0.10812941,0.102535166,0.099592134,0.094465,0.10409309,0.10175548,0.100544505,0.10468143,0.10575666,0.10597451,0.08684236,0.10760123,0.099773414,0.10470004,0.102082506,0.10226737,0.10754918,0.08977561,0.118187636,0.10264342,0.093925446,0.09826669
1979-07-16 12:00:00,0.10471701,0.09835166,0.09797358,0.099862926,0.09896127,0.09216295,0.110432476,0.09493478,0.1064691,0.10644488,0.10678758,0.102183856,0.105426416,0.09764161,0.10144242,0.11360215,0.110704705,0.09541743,0.09999521,0.09561511,0.09374562,0.10019984,0.10371411,0.10887978,0.10182778
1979-08-16 12:00:00,0.1114981,0.09450912,0.11916982,0.11363832,0.094372876,0.09852341,0.09940473,0.11159756,0.11337257,0.10878372,0.113126226,0.11277532,0.10229469,0.105382234,0.11180407,0.119826786,0.10049281,0.11467392,0.11193484,0.10984399,0.08918675,0.12930028,0.098037586,0.10362359,0.11660282
1979-09-16 00:00:00,0.12571374,0.10906445,0.11176945,0.117466465,0.10680499,0.116597965,0.10513761,0.104258515,0.10085842,0.119730115,0.1081919,0.12474278,0.108670555,0.11247738,0.116175786,0.120352216,0.10369804,0.12091984,0.11444244,0.12273628,0.09928005,0.11457356,0.100601606,0.109748684,0.12037085
1979-10-16 12:00:00,0.12375425,0.12820497,0.12619407,0.13073291,0.09859193,0.11820163,0.1169303,0.12249815,0.11387099,0.129072,0.13152848,0.11099776,0.11581411,0.1268974,0.13830662,0.12140334,0.12629846,0.1227286,0.12679513,0.117561154,0.12099821,0.12406358,0.11245661,0.13088916,0.123175286
1979-11-16 00:00:00,0.1391527,0.12756945,0.117637105,0.11723329,0.13439168,0.11646544,0.123465806,0.13620795,0.13594992,0.12583123,0.13039772,0.1416506,0.142115,0.13111259,0.13087882,0.13260014,0.12769894,0.1379213,0.14425504,0.13627426,0.12222493,0.13681866,0.124472395,0.13902843,0.14193185
1979-12-16 12:00:00,0.14713946,0.15878019,0.13890797,0.14732762,0.14397287,0.13265087,0.1337862,0.13318855,0.14979613,0.13673267,0.15048258,0.13022487,0.13161878,0.14889474,0.14615637,0.1449363,0.15295595,0.15309452,0.12330076,0.13583577,0.12582244,0.1469182,0.13078508,0.1452212,0.14947893
1980-01-16 12:00:00,0.15947549,0.13890858,0.13706796,0.13585018,0.14399476,0.13958712,0.14593084,0.13827208,0.16356084,0.14522482,0.15317778,0.13824198,0.12934299,0.14226788,0.1437567,0.14930345,0.15183671,0.1379886,0.13815571,0.1508956,0.14699306,0.15822436,0.13388045,0.13107097,0.15019517
1980-02-15 00:00:00,0.1597329,0.14256898,0.14756435,0.14627832,0.13692845,0.1381156,0.15419535,0.14291242,0.14221917,0.15792902,0.16148026,0.1481941,0.13398568,0.1452335,0.14563993,0.14851691,0.14197946,0.15154938,0.1396452,0.14435633,0.13551018,0.13255364,0.1550716,0.15807053,0.14958775
1980-03-16 12:00:00,0.15206233,0.12278334,0.1551491,0.14584382,0.124234885,0.11635593,0.13619943,0.15035413,0.13908917,0.15446123,0.1542937,0.13767348,0.12381997,0.152925,0.15284604,0.14611314,0.122392744,0.13886937,0.14243653,0.14645083,0.13137686,0.14918931,0.13134085,0.14286527,0.14746341
1980-04-16 00:00:00,0.13020474,0.12710038,0.13185194,0.13997786,0.12988342,0.11342115,0.11423742,0.14127463,0.12855557,0.14038627,0.1264202,0.1319775,0.11720539,0.13332912,0.12607254,0.14553326,0.12983519,0.13152435,0.112942696,0.13619658,0.13172887,0.13533439,0.12871107,0.1190716,0.1419036
1980-05-16 12:00:00,0.101805046,0.118732646,0.11062993,0.13583662,0.0979615,0.109276086,0.10354855,0.111758605,0.11948722,0.121790506,0.10653929,0.11169998,0.1165006,0.1156613,0.117789716,0.117193714,0.11053392,0.1129533,0.11612448,0.120870285,0.11286677,0.12071597,0.10951985,0.103007615,0.1065192
1980-06-16 00:00:00,0.106812894,0.11000064,0.10964278,0.09481592,0.10082741,0.09922863,0.095698334,0.097293235,0.09810571,0.11166274,0.10445019,0.104570225,0.098933436,0.104740545,0.11004224,0.11416729,0.109850444,0.12609439,0.09435519,0.098444924,0.08862562,0.110691115,0.11510139,0.09296534,0.11040903
1980-07-16 12:00:00,0.116741695,0.093777835,0.10008263,0.096228965,0.08301229,0.095832236,0.10658093,0.10170212,0.095179655,0.09849534,0.10754055,0.104673326,0.10504473,0.100165755,0.10001163,0.108142436,0.11168577,0.10162657,0.10440939,0.09015024,0.08822055,0.1156867,0.09486098,0.09531042,0.1042879
1980-08-16 12:00:00,0.111461625,0.10230238,0.11549264,0.1088898,0.10830614,0.1063874,0.10885153,0.09888481,0.11257217,0.10994846,0.11252654,0.1077857,0.10915169,0.107203886,0.121921994,0.11673007,0.10383004,0.101756774,0.109381564,0.10616927,0.11708677,0.106154874,0.11275031,0.102657005,0.10149419
1980-09-16 00:00:00,0.12983125,0.1254972,0.11894553,0.13504213,0.093997695,0.108824246,0.110088035,0.11554314,0.106674924,0.10711399,0.11483274,0.12688695,0.119858004,0.12354752,0.13221249,0.117915995,0.11679983,0.11926482,0.12262071,0.10448006,0.11579669,0.12788562,0.12290724,0.11702537,0.10615318
1980-10-16 12:00:00,0.134187,0.105823025,0.13154973,0.11644714,0.111057855,0.117214166,0.13906603,0.13196246,0.117930904,0.123184584,0.12151209,0.120995104,0.12694617,0.12364055,0.12063556,0.12583016,0.12287949,0.12731332,0.12232075,0.11415483,0.12881534,0.13610783,0.116873346,0.12469466,0.1336994
1980-11-16 00:00:00,0.14433767,0.13510557,0.1528285,0.13036773,0.12040227,0.14171676,0.12922615,0.13077152,0.129892,0.14357226,0.12631477,0.12246976,0.13895749,0.12723485,0.14912507,0.14678916,0.13625105,0.11872696,0.13637692,0.124855496,0.12041378,0.13601287,0.1327132,0.1389207,0.13757034
1980-12-16 12:00:00,0.14022419,0.1463795,0.14329511,0.13866152,0.13661371,0.13551171,0.13970079,0.14107539,0.13760081,0.16472395,0.14371946,0.13010602,0.14415798,0.14174853,0.13896215,0.13856155,0.1503629,0.13851495,0.1472138,0.127427,0.13858368,0.15035076,0.144087,0.13769762,0.14116462
1981-01-16 12:00:00,0.1527517,0.14354578,0.14575712,0.14258449,0.14379893,0.15683173,0.13834372,0.14044167,0.14024517,0.14120385,0.1427317,0.147615,0.16346541,0.15634263,0.15171273,0.146643,0.1333037,0.15798503,0.15113728,0.1492591,0.14584303,0.14307903,0.14925392,0.14564118,0.1533555
1981-02-15 00:00:00,0.14033915,0.14525253,0.13649465,0.15338051,0.13480589,0.14185402,0.14174347,0.14963974,0.13067055,0.15697527,0.13347402,0.14096761,0.14376514,0.13452518,0.13687575,0.16409697,0.13773032,0.13584813,0.143466,0.14190051,0.13921857,0.14307465,0.14112072,0.13584358,0.14567608
1981-03-16 12:00:00,0.15135165,0.14455864,0.13891454,0.1288884,0.12442686,0.1459353,0.13387646,0.12396452,0.14236268,0.1435789,0.13293697,0.13607657,0.13414916,0.13308336,0.13404712,0.14752065,0.13339528,0.13266924,0.13943116,0.146393,0.14970824,0.13511811,0.15845586,0.13924874,0.13856691
1981-04-16 00:00:00,0.12821428,0.120796084,0.13677236,0.12541088,0.1113666,0.12801437,0.11533531,0.13142842,0.13922301,0.13452734,0.11864052,0.12963058,0.13021119,0.12935068,0.12469934,0.13727656,0.122898,0.13557109,0.111887924,0.129377,0.11931005,0.14475597,0.12330096,0.1245123,0.12273219
1981-05-16 12:00:00,0.1311615,0.11670208,0.10465763,0.11090147,0.104052514,0.11534165,0.10700506,0.11677663,0.11962474,0.12179887,0.11269064,0.107647546,0.11635177,0.10265285,0.11736487,0.10893222,0.10572184,0.12065774,0.10556142,0.114176415,0.111611046,0.12148683,0.12183746,0.10962448,0.10844104
1981-06-16 00:00:00,0.12482201,0.10014572,0.10862164,0.11627769,0.10234635,0.09956931,0.09989474,0.105336614,0.10144549,0.10855112,0.10634921,0.10002272,0.09522546,0.09149364,0.11589919,0.114048444,0.11267199,0.108682826,0.11466444,0.10484176,0.09823215,0.102914006,0.110902846,0.10111992,0.10966121
1981-07-16 12:00:00,0.097750224,0.103683405,0.105429985,0.10510709,0.10065675,0.103693016,0.09041732,0.094392784,0.10912364,0.1041395,0.10589315,0.0945242,0.1008203,0.10876183,0.115874596,0.110915,0.09671179,0.110720344,0.10172947,0.109204575,0.09522145,0.1056831,0.109060444,0.09581914,0.110784285
1981-08-16 12:00:00,0.10715983,0.103615604,0.1239067,0.101305485,0.098568246,0.116564006,0.11072383,0.11755278,0.12523463,0.11637268,0.11316018,0.10770169,0.11893371,0.11126248,0.12030564,0.11263282,0.11095825,0.10039726,0.11177183,0.111370444,0.10790819,0.116687424,0.11225793,0.1139686,0.12630987
1981-09-16 00:00:00,0.10684144,0.12220898,0.13055314,0.10717264,0.101166554,0.13017587,0.119639084,0.12481243,0.11366264,0.11236002,0.10676351,0.11323965,0.11884553,0.11566433,0.11687494,0.13078333,0.10732584,0.11659501,0.114135645,0.11466885,0.10788597,0.10833034,0.11975726,0.11278997,0.11362838
