time,r7i1p1f1,r3i1p1f1,r13i1p1f1,r19i1p1f1,r6i1p1f1,r5i1p1f1,r9i1p1f1,r29i1p1f1,r14i1p1f1,r26i1p1f1,r4i1p1f1,r12i1p1f1,r1i1p1f1,r11i1p1f1,r2i1p1f1
1979-01-16 12:00:00,0.15462096,0.15342519,0.13804366,0.14120701,0.14961162,0.14725153,0.13952461,0.16282673,0.1382412,0.15371631,0.14243321,0.118503764,0.14143877,0.13698447,0.17205632
1979-02-15 00:00:00,0.12422794,0.1416524,0.13631357,0.13221237,0.12272791,0.14980179,0.12149425,0.14117798,0.1403619,0.12291029,0.13903993,0.13425404,0.14471295,0.13110434,0.14581086
1979-03-16 12:00:00,0.121994875,0.12040178,0.11488233,0.11694808,0.1085854,0.11116358,0.11666087,0.1375622,0.12035321,0.11245248,0.12776479,0.11998731,0.13028969,0.1217802,0.12828009
1979-04-16 00:00:00,0.10934451,0.11947664,0.11936382,0.10702936,0.113278225,0.1100521,0.10548244,0.12650773,0.10791056,0.10873261,0.11460908,0.10905801,0.106693454,0.11142765,0.12681842
1979-05-16 12:00:00,0.099710256,0.11091114,0.10163225,0.11151024,0.10240723,0.10641805,0.10523583,0.1115371,0.09294608,0.10295642,0.11111853,0.108632624,0.115911596,0.09939657,0.11258485
1979-06-16 00:00:00,0.104359746,0.10082862,0.10597319,0.11334498,0.100615874,0.11136074,0.10970456,0.10294822,0.10494258,0.107161194,0.10766331,0.106268264,0.12399176,0.112035975,0.108813524
1979-07-16 12:00:00,0.11448044,0.11092046,0.10434652,0.111382715,0.1167553,0.11657212,0.10737701,0.10637245,0.112280205,0.11178548,0.13563536,0.12810233,0.11651863,0.10351709,0.11087752
1979-08-16 12:00:00,0.13657779,0.123385444,0.12045505,0.12497846,0.1187157,0.11591561,0.11401012,0.12183513,0.13752632,0.12309147,0.12444704,0.1153021,0.123766005,0.13172424,0.110178754
1979-09-16 00:00:00,0.13346073,0.12821598,0.115853556,0.13012064,0.1194355,0.12265877,0.13317776,0.09513576,0.114621446,0.13519987,0.12406994,0.13394871,0.12482338,0.124983296,0.10965192
1979-10-16 12:00:00,0.13283028,0.11733805,0.12401074,0.14669178,0.1287787,0.16182546,0.15126309,0.13336791,0.11921386,0.13320725,0.12509274,0.1376439,0.12408453,0.13795355,0.13751142
1979-11-16 00:00:00,0.1293325,0.1344213,0.13104828,0.14750193,0.13955377,0.14287475,0.13559471,0.13085474,0.12758365,0.13719097,0.14216714,0.16703461,0.14381501,0.15227166,0.15014082
1979-12-16 12:00:00,0.14251041,0.1430723,0.14417356,0.16098124,0.12771295,0.14104775,0.15468514,0.1427704,0.148647,0.14208575,0.14055067,0.14741386,0.14753638,0.14688064,0.14503911
1980-01-16 12:00:00,0.1355602,0.14158048,0.12991343,0.13772316,0.13551262,0.14399065,0.15053208,0.13614552,0.14066158,0.14441676,0.13025093,0.14922021,0.14367342,0.15152918,0.14114107
1980-02-15 12:00:00,0.14620867,0.13427877,0.12642978,0.12488794,0.12168157,0.13834967,0.12734324,0.12677993,0.13520233,0.13100325,0.14550729,0.14263445,0.14064534,0.12256292,0.13463369
1980-03-16 12:00:00,0.13519819,0.12422729,0.10212082,0.11916301,0.1324176,0.12623149,0.13181959,0.124814965,0.121587,0.12965444,0.11768391,0.12235858,0.10345926,0.13327806,0.14814404
1980-04-16 00:00:00,0.11794547,0.10644484,0.099888444,0.109271035,0.10413413,0.11209869,0.11143437,0.12111696,0.10068393,0.122232385,0.11568526,0.11582009,0.11019104,0.11359899,0.11797489
1980-05-16 12:00:00,0.104657866,0.10155786,0.10053463,0.10467281,0.10505622,0.10514985,0.10958033,0.10714635,0.11284585,0.11385841,0.11728989,0.10211545,0.10599034,0.106323585,0.10704517
1980-06-16 00:00:00,0.118412614,0.102140956,0.10309942,0.10019815,0.105689526,0.10788632,0.11531129,0.11835019,0.1058161,0.1122134,0.1084057,0.107349806,0.108700834,0.09978328,0.101672366
1980-07-16 12:00:00,0.109354205,0.1267852,0.10312359,0.109335214,0.114456125,0.115405604,0.10984646,0.11300611,0.11428135,0.109651774,0.10552787,0.12013441,0.11193599,0.11296123,0.117558084
1980-08-16 12:00:00,0.122115485,0.12275667,0.11521238,0.125791,0.12374705,0.12277431,0.121867254,0.12226544,0.11552274,0.12011672,0.13437344,0.10885221,0.11678503,0.115621425,0.12309504
1980-09-16 00:00:00,0.13782686,0.13153909,0.11690707,0.11433119,0.14315861,0.13629805,0.11842238,0.12252071,0.13179937,0.1256047,0.14271802,0.1381953,0.13443202,0.12750703,0.12493135
1980-10-16 12:00:00,0.1201873,0.14538597,0.12003339,0.13522172,0.12620145,0.14121561,0.14552815,0.12829489,0.12600602,0.14351587,0.15640399,0.12626514,0.13356452,0.1442495,0.13804835
1980-11-16 00:00:00,0.15193218,0.15411615,0.12824917,0.12271741,0.12713905,0.14459431,0.14937837,0.13371025,0.14506227,0.14305398,0.14144824,0.14428127,0.15209486,0.12808278,0.15100704
1980-12-16 12:00:00,0.13860877,0.14828429,0.1273892,0.13827682,0.15040486,0.14616542,0.14700091,0.14880112,0.13502465,0.16649762,0.17805432,0.14747024,0.14196472,0.13612996,0.14799625
1981-01-16 12:00:00,0.16166864,0.14108248,0.13345182,0.15225771,0.13064483,0.15791127,0.1488415,0.14073981,0.13261195,0.1492403,0.15956943,0.1571658,0.13519159,0.14924215,0.14413148
1981-02-15 00:00:00,0.14892708,0.13317285,0.13209222,0.13537607,0.11987571,0.14033578,0.13264804,0.13643382,0.13804303,0.13663922,0.14781274,0.14009552,0.13387293,0.13792418,0.13245778
1981-03-16 12:00:00,0.116175935,0.14560384,0.12538372,0.11971516,0.10555842,0.11063397,0.12834822,0.12495741,0.12307979,0.11443404,0.12274231,0.119666584,0.12264991,0.119500935,0.13695744
1981-04-16 00:00:00,0.108091235,0.1215407,0.10790976,0.115318574,0.10059123,0.1253042,0.1259629,0.10534909,0.12772135,0.12249277,0.10217587,0.106514715,0.10477885,0.111809544,0.112800024
1981-05-16 12:00:00,0.10905678,0.10208339,0.09881453,0.104751326,0.10567981,0.12053188,0.123983026,0.107392654,0.1174218,0.098537706,0.0936766,0.0992452,0.095569946,0.10715152,0.10250335
1981-06-16 00:00:00,0.10049288,0.11239553,0.10655441,0.1087496,0.106776975,0.10864251,0.1191191,0.10075656,0.10435924,0.11792648,0.11225458,0.11612785,0.117968865,0.10661638,0.12254841
1981-07-16 12:00:00,0.10246828,0.099505894,0.107662566,0.124287605,0.10107938,0.1306832,0.12816066,0.11204537,0.09404966,0.13069218,0.120089546,0.11776192,0.10557505,0.10256673,0.11459054
1981-08-16 12:00:00,0.12572934,0.10455593,0.1175804,0.11874136,0.117995694,0.12305447,0.14136815,0.13568324,0.12850016,0.12967259,0.1117772,0.12206164,0.129172,0.116616525,0.13326852
1981-09-16 00:00:00,0.12206357,0.13190694,0.13575183,0.119735695,0.13075791,0.14223519,0.13111351,0.11433463,0.13776927,0.1271578,0.119562164,0.13643533,0.13217677,0.12726454,0.13521557
