time,r4i1p1f1,r8i1p1f1,r9i1p1f1,r2i1p1f1,r5i1p1f1,r6i1p1f1,r3i1p1f1,r1i1p1f1,r10i1p1f1,r7i1p1f1
1979-01-16 12:00:00,0.07331211,0.07563926,0.07721592,0.079748996,0.07385722,0.076765835,0.07330244,0.06924447,0.06884632,0.07183847
1979-02-15 00:00:00,0.07410004,0.0777446,0.08128636,0.070591584,0.075455554,0.074143015,0.07996184,0.069114454,0.07125855,0.075717434
1979-03-16 12:00:00,0.07514502,0.071873985,0.074315354,0.071295895,0.06856779,0.06868074,0.070068374,0.06933322,0.06527469,0.069967724
1979-04-16 00:00:00,0.06450135,0.07108283,0.05970437,0.063353255,0.05850164,0.065736294,0.06394086,0.0589077,0.061105594,0.06725949
1979-05-16 12:00:00,0.059932083,0.05334445,0.056545522,0.055096064,0.055303913,0.05864238,0.05665075,0.056666553,0.058933277,0.056670528
1979-06-16 00:00:00,0.0527873,0.05924628,0.057680633,0.056969583,0.05806739,0.055740196,0.062198825,0.06172019,0.05188342,0.05741247
1979-07-16 12:00:00,0.06061442,0.06211071,0.059328467,0.060161117,0.057473045,0.060036454,0.05817524,0.058702536,0.052190952,0.054553922
1979-08-16 12:00:00,0.06828606,0.06528076,0.060283307,0.06250825,0.062295146,0.061106026,0.06309487,0.061944537,0.064216405,0.061772365
1979-09-16 00:00:00,0.06457629,0.071039796,0.07734387,0.072194576,0.06865564,0.0688081,0.06867969,0.06981123,0.06956566,0.06395328
1979-10-16 12:00:00,0.06951836,0.07969045,0.07374372,0.07011854,0.07208338,0.07136844,0.0651323,0.074434996,0.06999837,0.0729979
1979-11-16 00:00:00,0.0735237,0.07670302,0.07242099,0.08061844,0.067328826,0.06918329,0.06623102,0.07382027,0.064998046,0.07722172
1979-12-16 12:00:00,0.07137922,0.07792919,0.07871949,0.070257336,0.06953731,0.06963412,0.07328409,0.07311137,0.0720686,0.07504935
1980-01-16 12:00:00,0.07384142,0.07712977,0.07306324,0.078893565,0.07118057,0.0739462,0.07631256,0.074863695,0.07760298,0.069599874
1980-02-15 12:00:00,0.07343385,0.07661665,0.070024736,0.07369076,0.07240439,0.073610954,0.07451284,0.077123605,0.07613745,0.07526613
1980-03-16 12:00:00,0.07132095,0.075472064,0.07326282,0.0690144,0.06340656,0.068437465,0.06970114,0.066224165,0.07581788,0.07791292
1980-04-16 00:00:00,0.05893199,0.065123275,0.061204337,0.063532546,0.064185426,0.065439604,0.062146727,0.06848329,0.064695016,0.06301044
1980-05-16 12:00:00,0.052883722,0.06068319,0.055992585,0.060019936,0.052193433,0.057898372,0.059390776,0.054449756,0.05248206,0.0579515
1980-06-16 00:00:00,0.053704493,0.056628395,0.05269482,0.053946044,0.05112522,0.058513965,0.05616731,0.058231372,0.05817201,0.050888497
1980-07-16 12:00:00,0.05933527,0.068285145,0.063478984,0.056283895,0.057079244,0.057741225,0.05419202,0.056879506,0.054650262,0.05992262
1980-08-16 12:00:00,0.06418996,0.062370393,0.062977605,0.056559592,0.063467026,0.06039909,0.061490867,0.057855174,0.06552688,0.056033097
1980-09-16 00:00:00,0.07401527,0.06568617,0.07498558,0.07832322,0.059005894,0.06986922,0.07306621,0.0654917,0.07331501,0.06727444
1980-10-16 12:00:00,0.072181255,0.07525169,0.073342845,0.071231775,0.07287733,0.07254202,0.06839591,0.06845417,0.07178083,0.06887429
1980-11-16 00:00:00,0.07248617,0.07366153,0.067748606,0.067179784,0.07353388,0.0742894,0.06881544,0.07312824,0.06761138,0.067027204
1980-12-16 12:00:00,0.06625569,0.069753796,0.076861024,0.07422013,0.06695033,0.08020999,0.06959791,0.07109708,0.07665301,0.08095943
1981-01-16 12:00:00,0.08396666,0.074748375,0.077438734,0.07951278,0.079593204,0.080830276,0.06971396,0.07281431,0.07296155,0.07401165
