time,r4i1p1f1,r8i1p1f1,r7i1p1f1,r9i1p1f1,r3i1p1f1,r5i1p1f1,r6i1p1f1,r1i1p1f1,r2i1p1f1
1979-01-16 12:00:00,0.12837523,0.14226787,0.12799463,0.14207517,0.13915749,0.1374681,0.14381725,0.14104,0.13990343
1979-02-15 00:00:00,0.13847211,0.14756522,0.118826576,0.12265236,0.1588989,0.123477034,0.14075074,0.13669056,0.11227433
1979-03-16 12:00:00,0.12492309,0.121931456,0.12751903,0.1306638,0.11658796,0.1224452,0.124559484,0.1353749,0.12247906
1979-04-16 00:00:00,0.10996506,0.1184951,0.11275213,0.11992049,0.10359656,0.11561375,0.117535755,0.111522295,0.11491181
1979-05-16 12:00:00,0.09812257,0.109508365,0.092807725,0.12058856,0.10312312,0.10077904,0.09573158,0.11036063,0.10236903
1979-06-16 00:00:00,0.092610575,0.09641657,0.0891537,0.10111525,0.09641728,0.09310358,0.09035908,0.09938599,0.09147309
1979-07-16 12:00:00,0.08963989,0.102358304,0.09828016,0.1100301,0.0910443,0.09885053,0.110973254,0.098200254,0.0979501
1979-08-16 12:00:00,0.09775275,0.115200646,0.09414288,0.10213032,0.11219296,0.10515123,0.114048265,0.098018914,0.10539333
1979-09-16 00:00:00,0.113766916,0.11228654,0.12936069,0.11580757,0.1147589,0.110355124,0.12325506,0.12903912,0.10767195
1979-10-16 12:00:00,0.12558524,0.14183868,0.1439988,0.14677998,0.13023621,0.12826213,0.12414817,0.13598782,0.1524387
1979-11-16 00:00:00,0.13099125,0.13657631,0.15405864,0.15255325,0.14060578,0.13403407,0.14581285,0.15763843,0.13247195
1979-12-16 12:00:00,0.14411531,0.13011113,0.1514634,0.13832554,0.14309241,0.14919037,0.12746814,0.14824969,0.12981333
1980-01-16 12:00:00,0.13912801,0.13977367,0.14531665,0.14995909,0.13435924,0.12444404,0.14264333,0.13866094,0.13139412
1980-02-15 12:00:00,0.13190354,0.12249248,0.11270625,0.14034909,0.13619106,0.133057,0.13027287,0.13433023,0.120982155
1980-03-16 12:00:00,0.12248466,0.11926651,0.12068083,0.14398453,0.11939816,0.12898323,0.14019088,0.13503763,0.12649995
1980-04-16 00:00:00,0.10993418,0.12217137,0.13007036,0.113380656,0.10929069,0.11555485,0.118939035,0.119204134,0.10931907
1980-05-16 12:00:00,0.09593893,0.10225506,0.10267016,0.098901525,0.091039136,0.10081745,0.09685934,0.12040581,0.097565494
1980-06-16 00:00:00,0.09931269,0.09204252,0.09689752,0.097380556,0.088848785,0.100856304,0.09244705,0.10129366,0.09381995
1980-07-16 12:00:00,0.10316734,0.104603626,0.112407595,0.09091379,0.10148181,0.11075571,0.10085266,0.09307357,0.097107746
1980-08-16 12:00:00,0.10687521,0.10659155,0.0980026,0.107175514,0.10197662,0.087692134,0.1080064,0.106088415,0.098604105
1980-09-16 00:00:00,0.1183146,0.11691408,0.11738803,0.11956159,0.113662615,0.117979124,0.11625489,0.124068104,0.12379496
1980-10-16 12:00:00,0.13645051,0.14716211,0.13691868,0.12940955,0.14341736,0.13478892,0.14555074,0.12604567,0.13862473
1980-11-16 00:00:00,0.15200852,0.13964735,0.13596623,0.14393419,0.15167026,0.15301701,0.14556104,0.14381362,0.14041051
1980-12-16 12:00:00,0.14568648,0.16028191,0.13901426,0.16050388,0.14918678,0.1486099,0.14508677,0.14458048,0.1416341
1981-01-16 12:00:00,0.1485236,0.14615306,0.15545684,0.12905085,0.14589879,0.12937562,0.13247226,0.1552667,0.13545111
1981-02-15 00:00:00,0.13804823,0.13222392,0.13167615,0.13113083,0.13112459,0.13140617,0.1548299,0.13406989,0.11491292
1981-03-16 12:00:00,0.13805526,0.124530785,0.1283227,0.122899026,0.14832866,0.116571255,0.13947058,0.12267135,0.120639905
1981-04-16 00:00:00,0.12230985,0.11167552,0.119138576,0.1257002,0.10624531,0.1268426,0.12766245,0.11540907,0.11722705
1981-05-16 12:00:00,0.10458432,0.08616765,0.1061382,0.11309613,0.098434724,0.10716265,0.10840901,0.11151589,0.11018842
1981-06-16 00:00:00,0.0999736,0.09766558,0.100391746,0.09083408,0.10338727,0.09110316,0.097888485,0.09523793,0.09757437
1981-07-16 12:00:00,0.09972124,0.088039204,0.0991769,0.0998511,0.10993536,0.09818922,0.10254732,0.09753428,0.095102645
1981-08-16 12:00:00,0.10337719,0.11624864,0.09176118,0.120703645,0.09649735,0.10172327,0.1112398,0.10110922,0.101746626
1981-09-16 00:00:00,0.12372362,0.114252076,0.1303263,0.116988204,0.11160444,0.10878985,0.11877005,0.10888944,0.1261134
1981-10-16 12:00:00,0.12723126,0.12732309,0.11956539,0.13116081,0.1383152,0.13672101,0.14296004,0.13197464,0.14217791
1981-11-16 00:00:00,0.1393364,0.13254744,0.15240638,0.13440296,0.14364237,0.14171028,0.13943648,0.14386375,0.13657524
1981-12-16 12:00:00,0.13014862,0.1541852,0.15411045,0.14584108,0.13510653,0.1426594,0.14887407,0.13860305,0.144819
1982-01-16 12:00:00,0.15624954,0.14578983,0.14817514,0.13338347,0.13954088,0.14377211,0.12651318,0.1404194,0.13220198
1982-02-15 00:00:00,0.14173746,0.1398915,0.13375397,0.13248439,0.1205759,0.12830539,0.11926791,0.14360401,0.14140537
1982-03-16 12:00:00,0.1302459,0.11647696,0.13088003,0.13611127,0.13924347,0.14374122,0.12671666,0.1244822,0.12790266
1982-04-16 00:00:00,0.11439158,0.12468415,0.116727814,0.11338819,0.10983362,0.10996011,0.09926942,0.117429346,0.11012577
1982-05-16 12:00:00,0.096003726,0.10087624,0.10076477,0.10978111,0.10330022,0.107861266,0.088494465,0.09915449,0.113030486
1982-06-16 00:00:00,0.09404124,0.08442621,0.09237466,0.102587454,0.09188218,0.09290761,0.08885877,0.096101806,0.10225231
1982-07-16 12:00:00,0.09292658,0.09826552,0.09870341,0.10210333,0.0868081,0.09834739,0.11725978,0.10103194,0.10135199
1982-08-16 12:00:00,0.09468373,0.10607696,0.09268161,0.11004666,0.10693627,0.09735106,0.10627654,0.094560966,0.11180668
1982-09-16 00:00:00,0.11693185,0.12202517,0.10158148,0.12101081,0.10730904,0.11703545,0.1123773,0.11531645,0.10237645
1982-10-16 12:00:00,0.1402361,0.12888576,0.13503253,0.12958299,0.13251764,0.13840386,0.13228941,0.14031205,0.14016621
1982-11-16 00:00:00,0.1386657,0.13623352,0.13871104,0.1361109,0.14733316,0.15047505,0.119097635,0.13666764,0.1418059
1982-12-16 12:00:00,0.14757013,0.13987513,0.14144054,0.13941926,0.14422213,0.1334588,0.13779657,0.13831902,0.14473887
1983-01-16 12:00:00,0.13658953,0.12712318,0.12839969,0.12941973,0.1411491,0.15423937,0.13781771,0.12506114,0.14589512
1983-02-15 00:00:00,0.13044684,0.11784073,0.14175388,0.14207274,0.13917416,0.15289475,0.12721968,0.14488377,0.1323909
1983-03-16 12:00:00,0.14430155,0.12263536,0.11905861,0.12832572,0.12459005,0.13831662,0.118509986,0.13223188,0.13335828
1983-04-16 00:00:00,0.117944635,0.11420737,0.11885451,0.124601595,0.111916386,0.11870145,0.11575728,0.11320277,0.12448424
1983-05-16 12:00:00,0.11170529,0.10118987,0.104651384,0.10976458,0.10731628,0.097537704,0.09593202,0.09635208,0.10440575
