time,r2i1p1f1,r3i1p1f1,r1i1p1f1
1979-01-16 12:00:00,0.12617765,0.116984464,0.120822325
1979-02-15 00:00:00,0.10796011,0.11848948,0.105057776
1979-03-16 12:00:00,0.09986931,0.10667269,0.10384653
1979-04-16 00:00:00,0.111018874,0.10386781,0.09026747
1979-05-16 12:00:00,0.10652992,0.10254516,0.100969374
1979-06-16 00:00:00,0.09143775,0.110061914,0.11250131
1979-07-16 12:00:00,0.10463494,0.12066328,0.11986564
1979-08-16 12:00:00,0.119239144,0.11630597,0.11671997
1979-09-16 00:00:00,0.12378499,0.12202179,0.12698783
1979-10-16 12:00:00,0.12004524,0.12995097,0.13054934
1979-11-16 00:00:00,0.100833334,0.10600345,0.122027636
1979-12-16 12:00:00,0.118523195,0.113000505,0.12105854
1980-01-16 12:00:00,0.110691644,0.11212195,0.118624076
1980-02-15 12:00:00,0.109691545,0.104090735,0.11621481
1980-03-16 12:00:00,0.11015613,0.108622365,0.117559075
1980-04-16 00:00:00,0.10040009,0.11644807,0.11319584
1980-05-16 12:00:00,0.11017633,0.10078797,0.10069658
1980-06-16 00:00:00,0.10137905,0.10896748,0.107188806
1980-07-16 12:00:00,0.10880568,0.09715981,0.1087651
1980-08-16 12:00:00,0.13283516,0.13685471,0.11543199
1980-09-16 00:00:00,0.12220787,0.114899896,0.11820304
1980-10-16 12:00:00,0.12902285,0.1261989,0.12567873
1980-11-16 00:00:00,0.114939936,0.12287052,0.10795093
1980-12-16 12:00:00,0.12014619,0.12969783,0.1136795
1981-01-16 12:00:00,0.119152956,0.11997327,0.11695438
1981-02-15 00:00:00,0.11316507,0.12554184,0.11247277
1981-03-16 12:00:00,0.110096715,0.11190047,0.10473713
1981-04-16 00:00:00,0.1093099,0.10327831,0.0975768
1981-05-16 12:00:00,0.10781975,0.097591765,0.09346734
1981-06-16 00:00:00,0.0982171,0.091323614,0.099985145
1981-07-16 12:00:00,0.12614605,0.11443787,0.11050769
1981-08-16 12:00:00,0.12175296,0.117148526,0.12064046
1981-09-16 00:00:00,0.12395004,0.13479407,0.120664254
1981-10-16 12:00:00,0.116388634,0.1346987,0.12154517
1981-11-16 00:00:00,0.12386982,0.114538275,0.13414651
1981-12-16 12:00:00,0.13030998,0.11869225,0.11920508
1982-01-16 12:00:00,0.112049565,0.12134788,0.119075246
