time,r1i1p1f1,r4i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r5i1p1f1
1979-01-16 12:00:00,0.07837092,0.067724295,0.06192437,0.06848949,0.06942266,0.0692109
1979-02-15 00:00:00,0.050705202,0.07011602,0.058677662,0.05988852,0.076469734,0.06517838
1979-03-16 12:00:00,0.04573265,0.05553111,0.061490867,0.045070373,0.05482276,0.07165194
1979-04-16 00:00:00,0.04934251,0.052865263,0.05534707,0.043131344,0.051665504,0.046294935
1979-05-16 12:00:00,0.048980564,0.039793737,0.055682287,0.048472583,0.0540347,0.04762432
1979-06-16 00:00:00,0.037808005,0.046637498,0.043050267,0.06493316,0.056950565,0.05517704
1979-07-16 12:00:00,0.032349166,0.027458027,0.030946635,0.03118918,0.045792203,0.046100594
1979-08-16 12:00:00,0.03968539,0.036560845,0.053196654,0.03857577,0.035016675,0.043875553
1979-09-16 00:00:00,0.052859157,0.039713547,0.053469334,0.04698719,0.052624818,0.04640546
1979-10-16 12:00:00,0.06401988,0.04511177,0.05558238,0.047967065,0.0651113,0.05378942
1979-11-16 00:00:00,0.058776937,0.061841514,0.051694956,0.054518264,0.05474611,0.04404625
1979-12-16 12:00:00,0.0626039,0.07246754,0.05370109,0.08239318,0.05901785,0.06314299
1980-01-16 12:00:00,0.083419144,0.06585636,0.06556698,0.07967648,0.06284531,0.087174594
1980-02-15 12:00:00,0.08934376,0.06670752,0.07046971,0.06760713,0.07002332,0.064538285
1980-03-16 12:00:00,0.0694777,0.061785296,0.06546152,0.075205095,0.09851488,0.05805243
1980-04-16 00:00:00,0.05829269,0.0604738,0.050674327,0.053236075,0.05802511,0.05682794
1980-05-16 12:00:00,0.048416343,0.040337265,0.04593199,0.02516079,0.069662355,0.03799337
1980-06-16 00:00:00,0.04341639,0.056886733,0.03323872,0.03894976,0.04179455,0.05620465
1980-07-16 12:00:00,0.04040915,0.03405723,0.025590623,0.034054525,0.03621141,0.02737671
1980-08-16 12:00:00,0.03601885,0.027078815,0.027979782,0.072501495,0.032467607,0.051044933
1980-09-16 00:00:00,0.052311033,0.051695712,0.033493426,0.038048413,0.041946378,0.0361882
1980-10-16 12:00:00,0.055501845,0.037307113,0.06281822,0.054850675,0.08456863,0.060847543
1980-11-16 00:00:00,0.047812004,0.049711432,0.07729271,0.05311449,0.07295358,0.05036084
1980-12-16 12:00:00,0.045204412,0.06360923,0.052249882,0.063563354,0.05463876,0.063474745
1981-01-16 12:00:00,0.05704721,0.07083194,0.0644687,0.06380691,0.084690206,0.069579944
1981-02-15 00:00:00,0.057262365,0.09471346,0.047663465,0.07276544,0.058210395,0.06556912
1981-03-16 12:00:00,0.06917367,0.06568837,0.059192836,0.06685993,0.054760605,0.056872126
1981-04-16 00:00:00,0.055140838,0.04122424,0.053863134,0.04901803,0.040044345,0.050705906
1981-05-16 12:00:00,0.043557994,0.060739446,0.04044932,0.045146525,0.037221193,0.03968789
1981-06-16 00:00:00,0.050752383,0.06258459,0.034596093,0.04961555,0.039847087,0.034118243
1981-07-16 12:00:00,0.028634166,0.04798916,0.03241392,0.045059305,0.035944927,0.04000637
1981-08-16 12:00:00,0.030764906,0.03296696,0.033770118,0.034210887,0.049698647,0.024128757
1981-09-16 00:00:00,0.040852066,0.064551,0.049812723,0.045956284,0.04172096,0.055350997
1981-10-16 12:00:00,0.06785286,0.049529903,0.046576295,0.047640108,0.06339299,0.051491696
1981-11-16 00:00:00,0.054145627,0.056866392,0.04322542,0.042303175,0.054189723,0.06473638
1981-12-16 12:00:00,0.04801465,0.042288277,0.056129657,0.06240797,0.04997318,0.06968847
1982-01-16 12:00:00,0.061078187,0.078004815,0.05629798,0.07410221,0.06739018,0.0596886
1982-02-15 00:00:00,0.058727566,0.054463867,0.075356506,0.09883746,0.06433817,0.053281818
1982-03-16 12:00:00,0.048469543,0.04966202,0.057333883,0.057190288,0.074529566,0.06129758
1982-04-16 00:00:00,0.040381625,0.05190888,0.04886737,0.04735488,0.05182212,0.050056197
