time,r9i1p1f1,r1i1p1f1,r5i1p1f1,r6i1p1f1,r8i1p1f1,r3i1p1f1,r7i1p1f1,r4i1p1f1,r10i1p1f1,r2i1p1f1
1979-01-15 12:00:00,0.11253132,0.108972184,0.112385266,0.123639256,0.115079716,0.09859198,0.10940073,0.09298931,0.10261054,0.10779817
1979-02-14 00:00:00,0.10394126,0.10106363,0.093663275,0.101534724,0.09306225,0.11244355,0.11060669,0.11511367,0.100140765,0.114226215
1979-03-15 12:00:00,0.10119083,0.10654628,0.09548935,0.10236573,0.07940636,0.09877445,0.10782835,0.079957105,0.09323249,0.1036511
1979-04-15 00:00:00,0.11582156,0.09066196,0.09864554,0.08444228,0.09474486,0.093145564,0.116823986,0.086053275,0.09443871,0.10284276
1979-05-15 12:00:00,0.0970732,0.08839172,0.08406959,0.0936672,0.08318114,0.09634518,0.09942756,0.09517823,0.09870646,0.08995247
1979-06-15 00:00:00,0.08882762,0.09046773,0.075771555,0.09007657,0.07677862,0.08580789,0.09230558,0.08611608,0.086131506,0.094872735
1979-07-15 12:00:00,0.0959256,0.09475605,0.08717603,0.0803024,0.080416694,0.08968772,0.083464004,0.09049362,0.089073986,0.09892782
1979-08-15 12:00:00,0.10301168,0.09489195,0.07862067,0.1070154,0.10477644,0.10370357,0.10500393,0.08883535,0.09455196,0.08979612
1979-09-15 00:00:00,0.10828514,0.1155211,0.107266046,0.09713906,0.10426163,0.09748827,0.096880674,0.09774468,0.096713066,0.092167884
1979-10-15 12:00:00,0.105987154,0.14077622,0.10950552,0.10864881,0.109792285,0.1205238,0.12413606,0.13000897,0.10062817,0.11822115
1979-11-15 00:00:00,0.11781835,0.11150665,0.09558138,0.1343224,0.100917265,0.11750516,0.12389174,0.116135664,0.11573597,0.11907748
1979-12-15 12:00:00,0.11216366,0.11956252,0.11111475,0.11902469,0.11602781,0.110372335,0.10067528,0.10289121,0.09862213,0.120178655
1980-01-15 12:00:00,0.11096567,0.10925784,0.106275044,0.1217028,0.10982226,0.09479561,0.1052436,0.10664034,0.1066325,0.107002184
1980-02-14 00:00:00,0.098848775,0.10934017,0.09733526,0.09768182,0.103759065,0.09069165,0.0966817,0.101691596,0.091892414,0.100493066
1980-03-15 12:00:00,0.1021442,0.110609405,0.09435575,0.10388109,0.092595816,0.10134646,0.09363298,0.09069434,0.09655654,0.11057434
1980-04-15 00:00:00,0.09808928,0.105798304,0.10563408,0.0962203,0.104094274,0.08844324,0.09197518,0.09685901,0.10702452,0.10120637
1980-05-15 12:00:00,0.09606011,0.09463129,0.091808885,0.086171746,0.09388899,0.079162054,0.091069855,0.088397555,0.092143305,0.086294144
1980-06-15 00:00:00,0.083637886,0.09399741,0.089046076,0.08218919,0.08536283,0.07781069,0.08695612,0.08956991,0.09582687,0.086603634
1980-07-15 12:00:00,0.08667346,0.089371346,0.0778205,0.09144388,0.09580517,0.10027817,0.08522103,0.09294089,0.088516854,0.08942814
1980-08-15 12:00:00,0.0968065,0.08498147,0.10359546,0.10001477,0.10239965,0.10167447,0.09086509,0.0942103,0.090847954,0.09897871
1980-09-15 00:00:00,0.10067568,0.093314186,0.10762272,0.112515785,0.100569926,0.10585314,0.10208727,0.1070625,0.112148724,0.11653183
1980-10-15 12:00:00,0.10146245,0.11688281,0.12482089,0.11402164,0.11792269,0.11096788,0.11278822,0.12751298,0.12036411,0.1159182
1980-11-15 00:00:00,0.102259785,0.10689662,0.108691834,0.11767014,0.110498145,0.11073304,0.11604021,0.1193376,0.12403201,0.12623139
1980-12-15 12:00:00,0.11095543,0.10323491,0.115100384,0.121279374,0.10754587,0.11886731,0.10206222,0.115596846,0.115743056,0.118775785
1981-01-15 12:00:00,0.0985956,0.09321102,0.102419436,0.09922262,0.10233703,0.095445015,0.107476234,0.10426694,0.12195749,0.12022285
