time,r6i1p1f2,r9i1p1f2,r8i1p1f2,r7i1p1f2,r10i1p1f2,r5i1p1f2,r1i1p1f2,r4i1p1f2,r3i1p1f2,r2i1p1f2
1979-01-16 12:00:00,0.0937941,0.101260155,0.09786479,0.09996248,0.118678264,0.09323016,0.10418318,0.10619867,0.10384437,0.11043666
1979-02-15 00:00:00,0.093366794,0.09859981,0.094172426,0.08982209,0.10353712,0.09808488,0.09704014,0.09601107,0.10638567,0.09781701
1979-03-16 12:00:00,0.08488943,0.093561806,0.09517467,0.095836215,0.09200579,0.096516386,0.08458923,0.09801209,0.09290443,0.10074498
1979-04-16 00:00:00,0.08063571,0.08939744,0.09748346,0.08289949,0.08124027,0.09112324,0.08449889,0.08660605,0.10302509,0.08297938
1979-05-16 12:00:00,0.09622391,0.08372705,0.09824668,0.092023306,0.090507254,0.091987535,0.09749666,0.09768536,0.09321174,0.09278263
1979-06-16 00:00:00,0.10447378,0.094080865,0.102183364,0.095344745,0.1000386,0.09121895,0.095931806,0.096639834,0.10552446,0.10051346
1979-07-16 12:00:00,0.106570475,0.107039005,0.1053585,0.11067465,0.10734575,0.09935542,0.103517465,0.108221605,0.10770322,0.10707218
1979-08-16 12:00:00,0.10289941,0.12626283,0.11160511,0.11700846,0.11749942,0.11468229,0.11084626,0.11472414,0.11060348,0.12884316
1979-09-16 00:00:00,0.10364143,0.10391399,0.1021961,0.121668786,0.118995756,0.12180288,0.10721803,0.10807324,0.1183323,0.11858734
1979-10-16 12:00:00,0.11169305,0.10050546,0.10822126,0.095229805,0.10790877,0.104240954,0.10718689,0.1000301,0.10520085,0.122171886
1979-11-16 00:00:00,0.102622725,0.091657065,0.09459146,0.103549175,0.102295734,0.10904224,0.09882493,0.10722806,0.110258825,0.10454451
1979-12-16 12:00:00,0.10465951,0.09706821,0.101858094,0.09118629,0.099424414,0.09423705,0.099385515,0.1101745,0.096668236,0.09600197
1980-01-16 12:00:00,0.09251421,0.10220492,0.10458071,0.099876806,0.10367152,0.106808506,0.1028616,0.10026311,0.10646788,0.10635801
1980-02-15 12:00:00,0.096356556,0.0925723,0.10398282,0.09873247,0.104719006,0.10318626,0.112481974,0.09150165,0.093432225,0.109284624
1980-03-16 12:00:00,0.08702923,0.090500996,0.09368226,0.08780691,0.0952534,0.11315629,0.10574181,0.08027657,0.092927374,0.088600494
1980-04-16 00:00:00,0.08533838,0.077750705,0.09082025,0.09460948,0.09440904,0.108029805,0.099576935,0.07769005,0.08855913,0.08830426
1980-05-16 12:00:00,0.0987286,0.0944031,0.08478979,0.09388498,0.091399476,0.10960892,0.10454134,0.10272183,0.09383007,0.098344244
1980-06-16 00:00:00,0.097947635,0.10052163,0.09250482,0.098018356,0.107961826,0.110927776,0.10130996,0.11272852,0.107562706,0.1040483
1980-07-16 12:00:00,0.108556926,0.11153776,0.10374435,0.10080786,0.10409502,0.10547921,0.10944934,0.107576355,0.11147276,0.10112813
1980-08-16 12:00:00,0.11036146,0.10056182,0.111167,0.10696015,0.1039211,0.117606245,0.106076494,0.109067105,0.12028449,0.10959412
1980-09-16 00:00:00,0.117595345,0.09924678,0.11163063,0.120002404,0.10979268,0.11675073,0.11056378,0.11318827,0.13115753,0.106171
1980-10-16 12:00:00,0.100717485,0.09571367,0.09936334,0.097554736,0.10142438,0.105566025,0.09685077,0.09866075,0.11446317,0.091265865
