time,r5i1p1f1,r13i1p1f1,r19i1p1f1,r9i1p1f1,r3i1p1f1,r12i1p1f1,r1i1p1f1,r4i1p1f1,r11i1p1f1,r14i1p1f1,r29i1p1f1,r6i1p1f1,r26i1p1f1,r2i1p1f1,r7i1p1f1
1979-01-16 12:00:00,0.14725153,0.13804367,0.14120701,0.13952461,0.15342519,0.118503764,0.14143877,0.1424332,0.13698447,0.1382412,0.16282673,0.14961162,0.15371633,0.17205632,0.15462096
1979-02-15 00:00:00,0.14980179,0.13631357,0.13221237,0.12149425,0.14165239,0.13425404,0.14471295,0.13903992,0.13110434,0.1403619,0.14117798,0.12272791,0.12291029,0.14581086,0.12422794
1979-03-16 12:00:00,0.11116359,0.11488233,0.11694808,0.11666087,0.12040178,0.1199873,0.13028969,0.12776479,0.12178022,0.12035321,0.13756219,0.1085854,0.11245248,0.12828009,0.121994875
1979-04-16 00:00:00,0.1100521,0.11936382,0.10702936,0.10548244,0.11947663,0.10905801,0.10669346,0.11460908,0.11142766,0.10791055,0.12650773,0.113278225,0.10873261,0.12681842,0.10934451
1979-05-16 12:00:00,0.10641804,0.101632245,0.11151025,0.10523583,0.11091114,0.108632624,0.115911596,0.11111854,0.09939657,0.09294608,0.1115371,0.10240723,0.10295642,0.11258485,0.09971025
1979-06-16 00:00:00,0.11136074,0.10597319,0.11334498,0.10970456,0.10082862,0.106268264,0.12399176,0.1076633,0.112035975,0.10494258,0.10294822,0.100615874,0.107161194,0.108813524,0.104359746
1979-07-16 12:00:00,0.11657212,0.10434652,0.111382715,0.10737701,0.11092046,0.12810233,0.11651862,0.13563536,0.10351709,0.112280205,0.10637245,0.116755284,0.11178548,0.110877514,0.114480436
1979-08-16 12:00:00,0.11591561,0.12045505,0.12497846,0.11401012,0.12338545,0.1153021,0.123766005,0.12444704,0.13172424,0.13752632,0.12183513,0.1187157,0.12309147,0.110178754,0.13657779
1979-09-16 00:00:00,0.12265876,0.115853556,0.13012064,0.13317776,0.12821598,0.13394871,0.12482336,0.12406994,0.124983296,0.114621446,0.09513576,0.1194355,0.13519987,0.10965192,0.13346073
1979-10-16 12:00:00,0.16182546,0.12401074,0.14669177,0.15126307,0.11733805,0.13764392,0.12408453,0.12509274,0.13795355,0.11921386,0.13336791,0.1287787,0.13320725,0.13751142,0.13283028
1979-11-16 00:00:00,0.14287473,0.13104828,0.14750193,0.13559471,0.1344213,0.16703461,0.14381501,0.14216712,0.15227166,0.12758365,0.13085474,0.13955377,0.13719097,0.15014082,0.1293325
1979-12-16 12:00:00,0.14104775,0.14417356,0.16098124,0.15468514,0.1430723,0.14741386,0.14753638,0.14055067,0.14688063,0.148647,0.14277038,0.12771295,0.14208575,0.14503911,0.1425104
1980-01-16 12:00:00,0.14399067,0.12991343,0.13772316,0.15053208,0.14158048,0.14922021,0.14367343,0.13025093,0.15152918,0.14066158,0.13614552,0.13551262,0.14441678,0.14114107,0.1355602
1980-02-15 12:00:00,0.13834967,0.12642978,0.12488794,0.12734324,0.13427877,0.14263445,0.14064533,0.14550729,0.12256292,0.13520233,0.12677993,0.12168157,0.13100323,0.1346337,0.14620867
1980-03-16 12:00:00,0.1262315,0.10212082,0.11916301,0.13181959,0.12422729,0.12235858,0.10345926,0.11768391,0.13327806,0.121587,0.124814965,0.1324176,0.12965442,0.14814404,0.13519819
1980-04-16 00:00:00,0.11209869,0.099888444,0.109271035,0.11143437,0.10644484,0.11582009,0.11019104,0.11568526,0.11359899,0.10068393,0.12111696,0.10413413,0.122232385,0.11797489,0.11794548
1980-05-16 12:00:00,0.10514985,0.10053463,0.10467281,0.10958033,0.10155786,0.10211545,0.10599034,0.1172899,0.106323585,0.11284585,0.10714635,0.105056226,0.11385841,0.10704518,0.104657866
1980-06-16 00:00:00,0.10788632,0.10309944,0.10019815,0.11531129,0.102140956,0.107349806,0.108700834,0.1084057,0.09978328,0.1058161,0.11835019,0.105689526,0.1122134,0.101672366,0.118412614
1980-07-16 12:00:00,0.115405604,0.10312359,0.10933521,0.10984645,0.1267852,0.12013441,0.111935996,0.10552787,0.11296124,0.11428135,0.11300611,0.11445613,0.109651774,0.117558084,0.1093542
1980-08-16 12:00:00,0.12277431,0.11521238,0.125791,0.121867254,0.12275667,0.10885221,0.11678503,0.13437344,0.115621425,0.11552273,0.12226544,0.12374705,0.12011672,0.123095036,0.122115485
1980-09-16 00:00:00,0.13629805,0.116907075,0.11433119,0.11842238,0.13153909,0.1381953,0.13443202,0.14271803,0.12750703,0.13179937,0.12252071,0.14315861,0.1256047,0.12493135,0.13782686
1980-10-16 12:00:00,0.14121562,0.12003339,0.13522172,0.14552814,0.14538597,0.12626514,0.13356452,0.156404,0.1442495,0.12600602,0.12829489,0.12620145,0.14351587,0.13804837,0.1201873
1980-11-16 00:00:00,0.14459431,0.12824917,0.12271741,0.14937837,0.15411615,0.14428128,0.15209486,0.14144824,0.1280828,0.14506227,0.13371025,0.12713903,0.143054,0.15100704,0.15193218
1980-12-16 12:00:00,0.1461654,0.1273892,0.13827683,0.1470009,0.14828429,0.14747024,0.14196472,0.17805432,0.13612996,0.13502467,0.14880112,0.15040486,0.16649762,0.14799625,0.13860877
