time,r13i1p1f1,r21i1p1f1,r25i1p1f1,r18i1p1f1,r28i1p1f1,r10i1p1f1,r11i1p1f1,r1i1p1f1,r12i1p1f1,r17i1p1f1,r30i1p1f1,r15i1p1f1,r16i1p1f1,r2i1p1f1,r29i1p1f1,r3i1p1f1,r5i1p1f1,r23i1p1f1,r6i1p1f1,r20i1p1f1,r19i1p1f1,r9i1p1f1,r4i1p1f1,r8i1p1f1,r24i1p1f1,r27i1p1f1,r14i1p1f1,r22i1p1f1,r26i1p1f1
1979-01-16 12:00:00,20877444000000.0,19964300000000.0,21853990000000.0,18036474000000.0,22169306000000.0,22332114000000.0,20919964000000.0,20999397000000.0,21575626000000.0,21981487000000.0,23717913000000.0,19424476000000.0,18832540000000.0,23167932000000.0,21218230000000.0,21620991000000.0,23863640000000.0,27162887000000.0,20099755000000.0,21975605000000.0,19579848000000.0,22582552000000.0,20812760000000.0,23530616000000.0,21680380000000.0,20588691000000.0,19725227000000.0,22487279000000.0,24830819000000.0
1979-02-15 00:00:00,24229840000000.0,23217750000000.0,25101175000000.0,21814510000000.0,25581907000000.0,25396257000000.0,24521400000000.0,24511794000000.0,24800005000000.0,25829485000000.0,27214393000000.0,22854800000000.0,22290882000000.0,26579906000000.0,25095095000000.0,25053390000000.0,27255930000000.0,30486966000000.0,23391770000000.0,25472505000000.0,23189114000000.0,25892760000000.0,24346572000000.0,26967018000000.0,25146104000000.0,23713011000000.0,23241250000000.0,26056147000000.0,28608286000000.0
1979-03-16 12:00:00,27181361000000.0,26095140000000.0,27922948000000.0,24789444000000.0,28447322000000.0,28036213000000.0,27473887000000.0,27315650000000.0,27529673000000.0,28622010000000.0,29938028000000.0,25419963000000.0,25083288000000.0,29321467000000.0,27874053000000.0,27772823000000.0,29977710000000.0,32823438000000.0,26045516000000.0,28478055000000.0,25804187000000.0,28223839000000.0,27014858000000.0,29292623000000.0,28191335000000.0,26402292000000.0,25967028000000.0,28924306000000.0,31865814000000.0
1979-04-16 00:00:00,29033060000000.0,27914616000000.0,29608894000000.0,26380085000000.0,30468162000000.0,29582036000000.0,29532252000000.0,29006000000000.0,29165324000000.0,30260328000000.0,31636113000000.0,27073052000000.0,26834394000000.0,31187798000000.0,29902485000000.0,29765673000000.0,31689219000000.0,34245710000000.0,28041191000000.0,30609910000000.0,27154260000000.0,30009727000000.0,28466513000000.0,30714060000000.0,30166479000000.0,27993158000000.0,27615929000000.0,30645565000000.0,33751908000000.0
1979-05-16 12:00:00,28904880000000.0,27555290000000.0,29244795000000.0,25979884000000.0,30495220000000.0,29658297000000.0,29301130000000.0,29056311000000.0,29099964000000.0,29732740000000.0,31540248000000.0,26689660000000.0,26935240000000.0,30935340000000.0,29817586000000.0,29843826000000.0,31483960000000.0,33970712000000.0,28015310000000.0,30658146000000.0,26744742000000.0,29694050000000.0,28074278000000.0,30776433000000.0,30091290000000.0,27956957000000.0,27740682000000.0,30119840000000.0,33868313000000.0
1979-06-16 00:00:00,24156033000000.0,23644829000000.0,25283678000000.0,22082033000000.0,27151978000000.0,26690294000000.0,25510710000000.0,25411556000000.0,25886456000000.0,25193167000000.0,27835250000000.0,23083505000000.0,23339884000000.0,26348463000000.0,26032497000000.0,26161877000000.0,27055083000000.0,30499932000000.0,24483404000000.0,26262521000000.0,22458959000000.0,25636268000000.0,24217446000000.0,27147708000000.0,26257790000000.0,24383433000000.0,23872701000000.0,25117887000000.0,29987554000000.0
1979-07-16 12:00:00,16586419000000.0,16358753000000.0,18521168000000.0,14319711000000.0,20290153000000.0,19721000000000.0,18640420000000.0,17835013000000.0,19013143000000.0,17733300000000.0,20464586000000.0,16259872000000.0,16004452000000.0,18611029000000.0,19400103000000.0,19169544000000.0,19249163000000.0,23619762000000.0,17562658000000.0,18723465000000.0,14859882000000.0,18269367000000.0,17346050000000.0,19906900000000.0,18886040000000.0,17456882000000.0,16363808000000.0,16966599000000.0,21719457000000.0
1979-08-16 12:00:00,11926233000000.0,11767385000000.0,14134367000000.0,9362782000000.0,15390101000000.0,13989450000000.0,13909467000000.0,12740349000000.0,13682053000000.0,13109108000000.0,15636587000000.0,11723247000000.0,11318457000000.0,13110681000000.0,14516185000000.0,14211718000000.0,14740247000000.0,18163379000000.0,12551507000000.0,13910602000000.0,10406773000000.0,13406665000000.0,12463093000000.0,14712090000000.0,13756148000000.0,12803790000000.0,11233965000000.0,11980766000000.0,15517315000000.0
1979-09-16 00:00:00,10274688000000.0,10336900000000.0,12884466000000.0,7947672400000.0,13909612000000.0,12256691000000.0,12437205000000.0,11263043000000.0,11921673000000.0,11797588000000.0,14249718000000.0,10587696000000.0,10019893000000.0,11730466000000.0,12864637000000.0,12904651000000.0,13459165000000.0,16595043000000.0,11034610000000.0,12733128000000.0,9162643000000.0,12023029000000.0,10991713000000.0,13210980000000.0,12016733000000.0,11485634000000.0,9759813000000.0,10539673000000.0,13402247000000.0
1979-10-16 12:00:00,10777582000000.0,11064922000000.0,13581395000000.0,8983501000000.0,14339161000000.0,12875472000000.0,13127695000000.0,11874113000000.0,12840304000000.0,12419377000000.0,14725160000000.0,11534027000000.0,10625873000000.0,12341024000000.0,13295125000000.0,13615953000000.0,13725265000000.0,17403587000000.0,11618180000000.0,13827602000000.0,9635464000000.0,12611691000000.0,11606301000000.0,13589723000000.0,12932053000000.0,12371487000000.0,10506392000000.0,10921031000000.0,14692210000000.0
1979-11-16 00:00:00,12481931000000.0,12811409000000.0,15392700000000.0,10941990000000.0,16112687000000.0,14911527000000.0,14952375000000.0,13615425000000.0,14660441000000.0,14200531000000.0,16340781000000.0,13863511000000.0,12310341000000.0,13890968000000.0,15322957000000.0,15485342000000.0,15274275000000.0,19337440000000.0,13322378000000.0,16068586000000.0,11396565000000.0,14273672000000.0,13528205000000.0,14942341000000.0,15125584000000.0,14324316000000.0,12725018000000.0,12425230000000.0,17552707000000.0
1979-12-16 12:00:00,15731847000000.0,16033639000000.0,18286590000000.0,14114402000000.0,19368948000000.0,17481237000000.0,17641670000000.0,16702375000000.0,17657403000000.0,17372367000000.0,18976344000000.0,17065262000000.0,15619672000000.0,16759755000000.0,18526880000000.0,18954033000000.0,18643243000000.0,22238712000000.0,16185812000000.0,19092740000000.0,14563237000000.0,17201051000000.0,16699870000000.0,17221952000000.0,18436468000000.0,17580447000000.0,15970391000000.0,15424042000000.0,21046120000000.0
