time,r9i1p1f1,r8i1p1f1,r1i1p1f1,r11i1p1f1,r5i1p1f1,r7i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r6i1p1f1,r10i1p1f1
1979-01-15 12:00:00,21660705000000.0,20602186000000.0,20621690000000.0,22785074000000.0,25515591000000.0,21796350000000.0,19720602000000.0,21302004000000.0,20463663000000.0,18925660000000.0,22872990000000.0
1979-02-14 00:00:00,24375286000000.0,23755284000000.0,23752906000000.0,25501305000000.0,28488094000000.0,24318822000000.0,22990171000000.0,24293776000000.0,23347308000000.0,21604080000000.0,25905938000000.0
1979-03-15 12:00:00,26474570000000.0,26029507000000.0,25895040000000.0,27746307000000.0,30625472000000.0,26483888000000.0,25466986000000.0,26326710000000.0,25672743000000.0,23692570000000.0,28241641000000.0
1979-04-15 00:00:00,28167130000000.0,27501542000000.0,27511904000000.0,29123334000000.0,31759987000000.0,27973710000000.0,26724218000000.0,27706285000000.0,27282295000000.0,24940458000000.0,29590857000000.0
1979-05-15 12:00:00,28067026000000.0,27488510000000.0,27322372000000.0,29160056000000.0,31412908000000.0,27825550000000.0,26273624000000.0,27607500000000.0,27140913000000.0,24669864000000.0,29312644000000.0
1979-06-15 00:00:00,25240474000000.0,25106252000000.0,24660652000000.0,26312750000000.0,28458135000000.0,24902296000000.0,22945238000000.0,24889642000000.0,24332626000000.0,21740495000000.0,26837623000000.0
1979-07-15 12:00:00,18993610000000.0,20342680000000.0,18792575000000.0,20915400000000.0,22305936000000.0,19171310000000.0,15841345000000.0,18418038000000.0,18336008000000.0,15494885000000.0,21187760000000.0
1979-08-15 12:00:00,13599362000000.0,14801952000000.0,13107554000000.0,16067024000000.0,16433514000000.0,14528119000000.0,10361437000000.0,12875020000000.0,13522235000000.0,10558937000000.0,15448513000000.0
1979-09-15 00:00:00,11783272000000.0,12377531000000.0,10825362000000.0,14460977000000.0,14333866000000.0,12623651000000.0,8744619500000.0,11174553000000.0,11512466000000.0,8707059500000.0,13479248000000.0
1979-10-15 12:00:00,12938536000000.0,13122865000000.0,11973809000000.0,15383549000000.0,15267932000000.0,13295473000000.0,9627853000000.0,11667222000000.0,12111648000000.0,9535855000000.0,14639467000000.0
1979-11-15 00:00:00,15334168000000.0,15279694000000.0,14345252000000.0,17770807000000.0,17300376000000.0,15519275000000.0,12207000000000.0,13543416000000.0,14153768000000.0,11411331000000.0,17173746000000.0
1979-12-15 12:00:00,18613625000000.0,18371810000000.0,17604610000000.0,20944492000000.0,20335050000000.0,18380730000000.0,15978235000000.0,16653332000000.0,17226794000000.0,14898108000000.0,20405675000000.0
1980-01-15 12:00:00,22272287000000.0,22101027000000.0,21217969000000.0,24376938000000.0,24029470000000.0,22012555000000.0,19275106000000.0,19993436000000.0,20743870000000.0,18059255000000.0,24321624000000.0
1980-02-14 00:00:00,25152083000000.0,24965915000000.0,24200044000000.0,27205564000000.0,26764877000000.0,24784369000000.0,22409543000000.0,23367267000000.0,23583978000000.0,20785222000000.0,27433145000000.0
1980-03-15 12:00:00,26949773000000.0,26925945000000.0,26493042000000.0,29242250000000.0,28982687000000.0,26831630000000.0,25016008000000.0,25875192000000.0,26009705000000.0,23067140000000.0,29593919000000.0
1980-04-15 00:00:00,27966747000000.0,28277820000000.0,27523799000000.0,30430212000000.0,30319655000000.0,28310902000000.0,26821073000000.0,27323490000000.0,27467356000000.0,24497428000000.0,30925222000000.0
1980-05-15 12:00:00,27717735000000.0,27955435000000.0,27151693000000.0,30192215000000.0,30197227000000.0,28193782000000.0,26808443000000.0,27201844000000.0,27271704000000.0,24598536000000.0,30709392000000.0
1980-06-15 00:00:00,24756917000000.0,25039290000000.0,24537618000000.0,27587586000000.0,27155893000000.0,25636690000000.0,23632196000000.0,24496187000000.0,23820499000000.0,22022778000000.0,28141370000000.0
1980-07-15 12:00:00,18397140000000.0,18088376000000.0,18464056000000.0,23046107000000.0,21172016000000.0,19678726000000.0,17432045000000.0,18234342000000.0,16679298000000.0,16033346000000.0,21919238000000.0
1980-08-15 12:00:00,12743812000000.0,12252890000000.0,12670630000000.0,18911412000000.0,15717295000000.0,14275878000000.0,12190954000000.0,12544289000000.0,11315706000000.0,10529298000000.0,15972197000000.0
1980-09-15 00:00:00,10627066000000.0,10045566000000.0,10686990000000.0,17076314000000.0,13445376000000.0,12528596000000.0,9885862000000.0,10561554000000.0,9331883000000.0,8550734000000.0,13673805000000.0
1980-10-15 12:00:00,11735877000000.0,11386551000000.0,11579316000000.0,17761686000000.0,14071407000000.0,13200712000000.0,10922880000000.0,11675883000000.0,10533862000000.0,9634184000000.0,14376013000000.0
