time,r15i1p1f2,r18i1p1f2,r2i1p1f2,r20i1p1f2,r17i1p1f2,r7i1p1f2,r10i1p1f2,r5i1p1f2,r16i1p1f2,r3i1p1f2,r12i1p1f2,r14i1p1f2,r1i1p1f2,r11i1p1f2,r13i1p1f2,r29i1p1f2,r19i1p1f2,r9i1p1f2,r6i1p1f2,r8i1p1f2,r4i1p1f2
1979-01-16 12:00:00,14243589000000.0,15939005000000.0,14814151000000.0,16456471000000.0,15266273000000.0,16652528000000.0,14960554000000.0,13416368000000.0,13811406000000.0,15209580000000.0,13797577000000.0,14689810000000.0,14539200000000.0,16030374000000.0,14945599000000.0,15286029000000.0,17478309000000.0,16201060000000.0,15041701000000.0,16909734000000.0,15591630000000.0
1979-02-15 00:00:00,17154995000000.0,18938813000000.0,17750760000000.0,19652400000000.0,18201795000000.0,19828081000000.0,18163784000000.0,16305757000000.0,16915661000000.0,17962380000000.0,16449861000000.0,17799498000000.0,17411624000000.0,19072712000000.0,18128432000000.0,18567949000000.0,20732313000000.0,19306427000000.0,18281500000000.0,19867218000000.0,18259743000000.0
1979-03-16 12:00:00,19556769000000.0,21171509000000.0,20166860000000.0,22004455000000.0,20100487000000.0,22222796000000.0,20252482000000.0,18668866000000.0,19227096000000.0,19978904000000.0,18451730000000.0,20275769000000.0,19767067000000.0,21177397000000.0,20400113000000.0,21048257000000.0,23547555000000.0,21693220000000.0,20598825000000.0,22092385000000.0,20244626000000.0
1979-04-16 00:00:00,20583752000000.0,22221987000000.0,21040793000000.0,22981535000000.0,21095197000000.0,23200172000000.0,21286407000000.0,19989413000000.0,20169523000000.0,21147712000000.0,19533226000000.0,21499930000000.0,20778704000000.0,22503752000000.0,21585432000000.0,22228918000000.0,24834134000000.0,23054789000000.0,21822221000000.0,23168341000000.0,21154455000000.0
1979-05-16 12:00:00,18875710000000.0,20799540000000.0,19545956000000.0,21384852000000.0,19388476000000.0,21553236000000.0,20058407000000.0,18486745000000.0,18294789000000.0,19695615000000.0,18121348000000.0,20023951000000.0,19259292000000.0,21201638000000.0,20008067000000.0,20767593000000.0,23412320000000.0,21561220000000.0,20827070000000.0,21469740000000.0,19556475000000.0
1979-06-16 00:00:00,14240852000000.0,16199902000000.0,15105384000000.0,16516465000000.0,14526722000000.0,16753169000000.0,15485126000000.0,13963675000000.0,13447784000000.0,15272886000000.0,13704387000000.0,15355927000000.0,14674282000000.0,16664157000000.0,15255144000000.0,16147299000000.0,18605584000000.0,17048880000000.0,16766730000000.0,16708146000000.0,15383759000000.0
1979-07-16 12:00:00,8808297000000.0,10156474000000.0,9785861000000.0,10816577000000.0,8542914300000.0,10683260000000.0,9923234000000.0,8695831300000.0,8189214000000.0,9636762000000.0,8112895400000.0,9337493000000.0,9221495000000.0,10708708000000.0,9435779000000.0,10227829000000.0,12691714000000.0,11535967000000.0,11003724000000.0,10976481000000.0,10019991000000.0
1979-08-16 12:00:00,5627012700000.0,6308810000000.0,5919004000000.0,7090790000000.0,4780129000000.0,6445532700000.0,6106332500000.0,4863280300000.0,5214093000000.0,5690061500000.0,4828924000000.0,5615403400000.0,5702938000000.0,7019267400000.0,5597536000000.0,6500170000000.0,8682826000000.0,7651306000000.0,6956749700000.0,7319447000000.0,6512878600000.0
1979-09-16 00:00:00,4533121400000.0,5101152400000.0,4624909600000.0,5993942500000.0,3706493300000.0,5225404400000.0,5021718500000.0,3471467600000.0,4399671000000.0,4602170000000.0,3583707000000.0,4453183000000.0,4646932000000.0,5823899600000.0,4471765600000.0,5337029500000.0,7138390300000.0,6420498000000.0,5888948000000.0,6069688500000.0,5249151500000.0
1979-10-16 12:00:00,5236899400000.0,6082175000000.0,5425314000000.0,7014923000000.0,4273190200000.0,6067183400000.0,5855531500000.0,4292083200000.0,5126103000000.0,5576106400000.0,4131536200000.0,5135155600000.0,5533934000000.0,6587836000000.0,5120336000000.0,6248240500000.0,7767246500000.0,7105992000000.0,6661751000000.0,6577542700000.0,6168027000000.0
1979-11-16 00:00:00,7264848600000.0,8393258400000.0,7593658400000.0,9252753000000.0,6447905600000.0,8372384400000.0,8035355300000.0,6559731000000.0,6883263400000.0,8055943600000.0,6179999700000.0,7345537000000.0,7497520000000.0,8912398000000.0,7488301700000.0,8648507000000.0,9832629000000.0,9444071000000.0,8880994000000.0,8805307000000.0,8488869700000.0
1979-12-16 12:00:00,10500553000000.0,11626204000000.0,10877789000000.0,12508125000000.0,9561545000000.0,11714020000000.0,10923395000000.0,9707398000000.0,9879532000000.0,11196414000000.0,9290596000000.0,10599016000000.0,10614261000000.0,12366133000000.0,10843207000000.0,11976650000000.0,13225576000000.0,12842382000000.0,12402875000000.0,11935127000000.0,11901075000000.0
1980-01-16 12:00:00,14174684000000.0,15263905000000.0,14718879000000.0,16164436000000.0,13237895000000.0,15432289000000.0,14522417000000.0,13033542000000.0,13702384000000.0,14983824000000.0,12789438000000.0,13941359000000.0,14205717000000.0,15948641000000.0,14548323000000.0,15621215000000.0,17352076000000.0,16406578000000.0,15795109000000.0,15659700000000.0,15464553000000.0
1980-02-15 12:00:00,17029965000000.0,18381583000000.0,18003800000000.0,19459668000000.0,16482196000000.0,18599364000000.0,17223212000000.0,15594756000000.0,16779260000000.0,18038389000000.0,15602706000000.0,16705555000000.0,16985790000000.0,18781701000000.0,17822107000000.0,18736220000000.0,20522784000000.0,19627854000000.0,19028400000000.0,18730580000000.0,18628137000000.0
1980-03-16 12:00:00,19290330000000.0,20861703000000.0,20368035000000.0,21760223000000.0,18988111000000.0,20947059000000.0,19224798000000.0,17525794000000.0,19110580000000.0,20104708000000.0,17897376000000.0,19070909000000.0,18731923000000.0,21074603000000.0,19935233000000.0,20965455000000.0,22772315000000.0,22033858000000.0,21592440000000.0,21064957000000.0,20936714000000.0
1980-04-16 00:00:00,20433791000000.0,21857875000000.0,21426115000000.0,22510106000000.0,20100363000000.0,22057484000000.0,19971670000000.0,18759532000000.0,20072064000000.0,21194514000000.0,18989588000000.0,20224820000000.0,19548772000000.0,22058205000000.0,20919125000000.0,21807189000000.0,23603080000000.0,23149492000000.0,22809630000000.0,22128166000000.0,22085840000000.0
1980-05-16 12:00:00,19173028000000.0,20242235000000.0,19850480000000.0,20710873000000.0,18466262000000.0,20301530000000.0,18448830000000.0,17366459000000.0,18423761000000.0,19523564000000.0,17497236000000.0,18872246000000.0,17816955000000.0,20582286000000.0,19427311000000.0,20345994000000.0,21979353000000.0,21596950000000.0,21277730000000.0,20763334000000.0,20743423000000.0
1980-06-16 00:00:00,14574825000000.0,15608928000000.0,15117778000000.0,15767177000000.0,13657130000000.0,15631594000000.0,14133699000000.0,13065638000000.0,13877692000000.0,14470070000000.0,12739062000000.0,14483171000000.0,13004601000000.0,15800845000000.0,15011345000000.0,16007300000000.0,17290299000000.0,16836777000000.0,16917442000000.0,16517172000000.0,16127967000000.0
1980-07-16 12:00:00,9273680000000.0,10067389000000.0,9441313000000.0,9704305000000.0,7933501000000.0,9829256000000.0,8541563000000.0,7651002000000.0,8461215600000.0,8374870600000.0,6835244000000.0,9304917000000.0,7565317000000.0,9831354000000.0,9486267000000.0,10307211000000.0,11352088000000.0,11383845000000.0,11188893000000.0,11231118000000.0,10693120000000.0
1980-08-16 12:00:00,5920604000000.0,6530190500000.0,5633277400000.0,5689436000000.0,4624054500000.0,6144658500000.0,5190938300000.0,3999101600000.0,5119280000000.0,4793383000000.0,3018879000000.0,5945845400000.0,4499477000000.0,6065565000000.0,5841103600000.0,6439020000000.0,7286673600000.0,8264682000000.0,7082846700000.0,7537590500000.0,6991671000000.0
1980-09-16 00:00:00,4748459600000.0,5342673500000.0,4672345000000.0,4530356000000.0,3877713200000.0,4879910000000.0,4260372200000.0,3012701700000.0,4144853200000.0,3706023300000.0,1906549000000.0,4898376000000.0,3593180800000.0,4984655600000.0,4811089000000.0,5362444400000.0,5864864000000.0,7116537500000.0,5807945500000.0,6403881700000.0,5861974500000.0
1980-10-16 12:00:00,5343716000000.0,6257804600000.0,5592164000000.0,5376324400000.0,4587901700000.0,5698705400000.0,4889062000000.0,3474237700000.0,4902397400000.0,4465051000000.0,2891280000000.0,5755585000000.0,4049240600000.0,5876597400000.0,5577673000000.0,6096462000000.0,6610371000000.0,7652829600000.0,6402963700000.0,7030807500000.0,6649107400000.0
1980-11-16 00:00:00,7315195400000.0,8656305000000.0,7946982000000.0,7953782400000.0,6716829000000.0,7652886700000.0,7299154300000.0,4946201700000.0,7032172000000.0,6325283600000.0,4844966400000.0,8037568000000.0,5785433000000.0,8134352400000.0,7478663700000.0,8352866000000.0,8979752000000.0,9604556000000.0,8290339700000.0,9141918000000.0,8925684000000.0
1980-12-16 12:00:00,10650660000000.0,11619218000000.0,11336815000000.0,11649937000000.0,9686123000000.0,10692455000000.0,11165099000000.0,8486332000000.0,10276015000000.0,9147961000000.0,7763483700000.0,10982102000000.0,8795192300000.0,11736096000000.0,10763803000000.0,11835825000000.0,12745622000000.0,12851470000000.0,11444364000000.0,12369144000000.0,12066784000000.0
1981-01-16 12:00:00,13840710000000.0,15152114000000.0,14872426000000.0,15634014000000.0,13162088000000.0,14249099000000.0,14981433000000.0,12250575000000.0,13893292000000.0,12253027000000.0,11183446000000.0,14394849000000.0,12197128000000.0,15376848000000.0,14673665000000.0,15691432000000.0,16482572000000.0,16223226000000.0,14946123000000.0,15769411000000.0,15552244000000.0
1981-02-15 00:00:00,16681754000000.0,18247257000000.0,17766233000000.0,18893773000000.0,16286909000000.0,17014897000000.0,17758318000000.0,15670632000000.0,16799970000000.0,15161639000000.0,13992848000000.0,17290970000000.0,15339640000000.0,18481668000000.0,17594327000000.0,18593452000000.0,19412320000000.0,19182555000000.0,17789553000000.0,18621198000000.0,18308454000000.0
1981-03-16 12:00:00,18712858000000.0,20862053000000.0,19965204000000.0,21266893000000.0,18712631000000.0,19199664000000.0,20097268000000.0,18233411000000.0,18756020000000.0,17402598000000.0,16333604000000.0,19519616000000.0,17465908000000.0,20734830000000.0,20029026000000.0,20872421000000.0,21437650000000.0,21588104000000.0,19996020000000.0,20759833000000.0,20212385000000.0
1981-04-16 00:00:00,19857312000000.0,21895722000000.0,21263448000000.0,22415267000000.0,19751015000000.0,20262261000000.0,21069553000000.0,19706593000000.0,19569956000000.0,18434293000000.0,17169261000000.0,20550650000000.0,18161720000000.0,22116276000000.0,21144325000000.0,22022516000000.0,22320770000000.0,22743685000000.0,20981672000000.0,21967890000000.0,21084645000000.0
1981-05-16 12:00:00,18555397000000.0,20400797000000.0,19707122000000.0,20573648000000.0,18199655000000.0,19033372000000.0,19697026000000.0,18681608000000.0,18052544000000.0,17207573000000.0,15214324000000.0,19086937000000.0,16170135000000.0,20545815000000.0,19670137000000.0,20556624000000.0,20446492000000.0,21006236000000.0,19176077000000.0,20419082000000.0,19851817000000.0
1981-06-16 00:00:00,14381058000000.0,16145438000000.0,15138069000000.0,15736395000000.0,13544160000000.0,15114236000000.0,15428848000000.0,14688438000000.0,13597248000000.0,13014814000000.0,10522915000000.0,14663203000000.0,11821645000000.0,16026611000000.0,14947812000000.0,15670198000000.0,15956374000000.0,16107591000000.0,14792637000000.0,15917086000000.0,15841170000000.0
1981-07-16 12:00:00,9191306000000.0,10477171000000.0,9523203000000.0,10411034000000.0,7932805600000.0,9913713000000.0,10445440000000.0,9235542000000.0,8374079000000.0,7747775500000.0,5426099000000.0,9173397000000.0,6643241700000.0,10254164000000.0,9077101000000.0,9534412000000.0,10473603000000.0,10549966000000.0,9526569000000.0,10335543000000.0,10273619000000.0
1981-08-16 12:00:00,5749906300000.0,6493989500000.0,5869755400000.0,6824842000000.0,4268284400000.0,6345045000000.0,7184823000000.0,5468050000000.0,4952983300000.0,4415322000000.0,2119595700000.0,5659835000000.0,3579728400000.0,6346540300000.0,5375820000000.0,5594560300000.0,7017536000000.0,7206339000000.0,5961475400000.0,6596793000000.0,6703095000000.0
1981-09-16 00:00:00,4616962400000.0,5274465000000.0,4746920000000.0,5632213000000.0,3064982400000.0,5265085000000.0,6061229600000.0,4440067000000.0,3712183000000.0,3408354600000.0,1120952000000.0,4706798700000.0,2645853500000.0,5231830000000.0,4183751700000.0,4675485000000.0,5861912000000.0,6249641000000.0,4853489000000.0,5422587600000.0,5401551000000.0
1981-10-16 12:00:00,5353182000000.0,6530265500000.0,5511663000000.0,6704922000000.0,3759880500000.0,6105535000000.0,6724498000000.0,5193458500000.0,4540343000000.0,4303250800000.0,1955611500000.0,5382973400000.0,3282688800000.0,6008914000000.0,4906544000000.0,5524302000000.0,6870847700000.0,7025704000000.0,5670064600000.0,6229384500000.0,5996483000000.0
1981-11-16 00:00:00,7292192000000.0,9029397000000.0,7786450600000.0,9264062000000.0,6060867000000.0,8138355000000.0,8659502400000.0,7043719000000.0,6422109600000.0,6710328600000.0,4194546700000.0,7683308000000.0,5067548700000.0,8314567000000.0,7379078000000.0,7504054500000.0,9193271000000.0,9262030000000.0,7869441000000.0,8547636000000.0,7922361000000.0
1981-12-16 12:00:00,10545654000000.0,12383039000000.0,11042641000000.0,12941223000000.0,9496744000000.0,10992884000000.0,11650038000000.0,10166105000000.0,9672194000000.0,9940906000000.0,7699198600000.0,11008494000000.0,7726596000000.0,12182955000000.0,11036638000000.0,10949610000000.0,12103935000000.0,12616243000000.0,10911754000000.0,11646141000000.0,11150410000000.0
1982-01-16 12:00:00,14420789000000.0,16017412000000.0,14834972000000.0,16596428000000.0,13159088000000.0,14411006000000.0,15426959000000.0,13788483000000.0,13034725000000.0,13552805000000.0,11344800000000.0,14727105000000.0,11210037000000.0,16021256000000.0,14723749000000.0,14797533000000.0,15507997000000.0,16043599000000.0,14113760000000.0,15213844000000.0,14588062000000.0
1982-02-15 00:00:00,17299602000000.0,18903374000000.0,17810808000000.0,19813074000000.0,16425170000000.0,17532367000000.0,18293625000000.0,16842152000000.0,16034635000000.0,16493796000000.0,14596960000000.0,17849146000000.0,14298330000000.0,19054226000000.0,18262878000000.0,17889590000000.0,18669785000000.0,18926275000000.0,17052252000000.0,18195930000000.0,17391715000000.0
1982-03-16 12:00:00,19425060000000.0,21254485000000.0,20118927000000.0,22076883000000.0,19080103000000.0,19828760000000.0,20517126000000.0,18970178000000.0,18601449000000.0,18669330000000.0,16915641000000.0,20002552000000.0,16923045000000.0,21331756000000.0,20869180000000.0,20491815000000.0,21185715000000.0,21254984000000.0,19281228000000.0,20607131000000.0,19774482000000.0
1982-04-16 00:00:00,20690296000000.0,22327996000000.0,21355972000000.0,23192300000000.0,20179715000000.0,20646590000000.0,21496660000000.0,19970774000000.0,19915501000000.0,19783462000000.0,18014414000000.0,21075710000000.0,17965764000000.0,22223258000000.0,22239693000000.0,21812310000000.0,22416577000000.0,22321826000000.0,20324205000000.0,21807548000000.0,20843954000000.0
1982-05-16 12:00:00,19257320000000.0,20751518000000.0,20079234000000.0,21805627000000.0,18775294000000.0,18978820000000.0,19658971000000.0,18729350000000.0,18518364000000.0,18491558000000.0,16594784000000.0,19521560000000.0,16291375000000.0,20503582000000.0,21133961000000.0,20042385000000.0,20885390000000.0,20710506000000.0,18926138000000.0,20335263000000.0,19129537000000.0
