time,r19i1p2f1,r25i1p2f1,r2i1p2f1,r9i1p2f1,r6i1p2f1,r35i1p2f1,r12i1p2f1,r31i1p2f1,r1i1p2f1,r14i1p2f1,r7i1p2f1,r23i1p2f1,r20i1p2f1,r37i1p2f1,r29i1p2f1,r39i1p2f1,r32i1p2f1,r24i1p2f1,r36i1p2f1,r3i1p2f1,r11i1p2f1,r38i1p2f1,r22i1p2f1,r13i1p2f1,r30i1p2f1,r34i1p2f1,r10i1p2f1,r4i1p2f1,r27i1p2f1,r17i1p2f1,r28i1p2f1,r5i1p2f1,r26i1p2f1,r15i1p2f1,r18i1p2f1,r40i1p2f1,r21i1p2f1,r33i1p2f1,r16i1p2f1,r8i1p2f1
1979-01-16 12:00:00,38358848000000.0,38193650000000.0,32362365000000.0,33844880000000.0,33826206000000.0,34877420000000.0,28656093000000.0,35177061000000.0,32337730000000.0,34119214000000.0,31672645000000.0,36140288000000.0,32135056000000.0,32235680000000.0,30690853000000.0,33027711000000.0,28365155000000.0,37273765000000.0,35849810000000.0,35758027000000.0,35676003000000.0,32840796000000.0,34350255000000.0,32268056000000.0,34455356000000.0,35169460000000.0,34594653000000.0,28456115000000.0,33329273000000.0,29498192000000.0,31468678000000.0,33536325000000.0,32790293000000.0,33859580000000.0,34122318000000.0,34596800000000.0,32681190000000.0,30965519000000.0,30408322000000.0,29739855000000.0
1979-02-15 00:00:00,41194768000000.0,41342814000000.0,35788150000000.0,37449942000000.0,37073805000000.0,38407326000000.0,32171402000000.0,38330025000000.0,35444864000000.0,37139430000000.0,35125874000000.0,39169875000000.0,35172880000000.0,35280376000000.0,33931078000000.0,36185430000000.0,31775282000000.0,40584830000000.0,39224190000000.0,38873530000000.0,39113873000000.0,36350854000000.0,37464490000000.0,35442708000000.0,37940470000000.0,38250987000000.0,37997960000000.0,32026837000000.0,36329233000000.0,32801231000000.0,34588080000000.0,36885180000000.0,35707660000000.0,36623425000000.0,37156924000000.0,37806490000000.0,35921690000000.0,34141131000000.0,33741284000000.0,33297780000000.0
1979-03-16 12:00:00,43615393000000.0,43878854000000.0,38338275000000.0,40153045000000.0,39516388000000.0,40870317000000.0,34842561000000.0,40558643000000.0,37967620000000.0,39485700000000.0,37796910000000.0,41564110000000.0,37784940000000.0,37646772000000.0,36322940000000.0,38585206000000.0,34253480000000.0,43317446000000.0,41517972000000.0,41258800000000.0,41531793000000.0,39084815000000.0,39795900000000.0,37601336000000.0,40490737000000.0,40736725000000.0,40236650000000.0,34636227000000.0,38810885000000.0,35385896000000.0,37016662000000.0,39482963000000.0,38321334000000.0,38784880000000.0,39786170000000.0,40514480000000.0,38464486000000.0,36439627000000.0,36495264000000.0,36207006000000.0
1979-04-16 00:00:00,44836100000000.0,45056540000000.0,39693115000000.0,41572972000000.0,40862530000000.0,42308444000000.0,36077046000000.0,41419817000000.0,38748130000000.0,41166080000000.0,39242084000000.0,43381660000000.0,39172530000000.0,38847275000000.0,37130560000000.0,40144080000000.0,35883806000000.0,45130090000000.0,42421497000000.0,42545275000000.0,42923425000000.0,40581030000000.0,41326293000000.0,38648892000000.0,41624000000000.0,42309366000000.0,41361055000000.0,36205900000000.0,40222285000000.0,36765140000000.0,38204837000000.0,40508827000000.0,39756944000000.0,40054680000000.0,41253673000000.0,41723674000000.0,39728217000000.0,37752820000000.0,37821348000000.0,37794454000000.0
1979-05-16 12:00:00,44219330000000.0,44012050000000.0,39206300000000.0,41154666000000.0,40325544000000.0,41356223000000.0,35101017000000.0,40194066000000.0,37561477000000.0,40770296000000.0,38457934000000.0,42466745000000.0,38469280000000.0,37888524000000.0,36084250000000.0,39684490000000.0,35403864000000.0,44813480000000.0,41809370000000.0,41748340000000.0,42197148000000.0,39908622000000.0,40280830000000.0,37486480000000.0,40941860000000.0,41701914000000.0,40656980000000.0,35043846000000.0,39556740000000.0,35794290000000.0,37270450000000.0,39442547000000.0,38401140000000.0,39145730000000.0,40643867000000.0,40972050000000.0,38771056000000.0,36200388000000.0,36833363000000.0,36873120000000.0
1979-06-16 00:00:00,40952505000000.0,40486983000000.0,36056586000000.0,38003540000000.0,36427174000000.0,37394628000000.0,31490340000000.0,36383675000000.0,34275030000000.0,37838500000000.0,35033323000000.0,38658740000000.0,34759909000000.0,34315240000000.0,32053983000000.0,36423350000000.0,31377934000000.0,41940370000000.0,38585856000000.0,38157530000000.0,38984730000000.0,36594580000000.0,36318126000000.0,33688377000000.0,37202713000000.0,37702020000000.0,37615953000000.0,31275230000000.0,36104300000000.0,31630727000000.0,33457095000000.0,35707737000000.0,34350001000000.0,35428615000000.0,36663140000000.0,37171256000000.0,35268900000000.0,32585540000000.0,33089259000000.0,32900922000000.0
1979-07-16 12:00:00,34606720000000.0,35456590000000.0,29168958000000.0,32276216000000.0,29313219000000.0,31545484000000.0,25355457000000.0,30156664000000.0,28096042000000.0,32234850000000.0,29138165000000.0,32576807000000.0,28177690000000.0,27223015000000.0,25577814000000.0,30818588000000.0,24442801000000.0,35383073000000.0,31445406000000.0,32690307000000.0,32001885000000.0,29782150000000.0,30362885000000.0,27171374000000.0,30901082000000.0,31111090000000.0,31240913000000.0,25740318000000.0,29409302000000.0,25040096000000.0,27382455000000.0,28788885000000.0,27397873000000.0,29244684000000.0,29850329000000.0,30208185000000.0,29392722000000.0,27798509000000.0,26355438000000.0,26532620000000.0
1979-08-16 12:00:00,28740789000000.0,30210943000000.0,23138054000000.0,26867097000000.0,23598606000000.0,26510388000000.0,20213328000000.0,24576724000000.0,22643290000000.0,26706497000000.0,23634828000000.0,28348672000000.0,22475990000000.0,21022812000000.0,21268401000000.0,25720810000000.0,18710681000000.0,28997392000000.0,25090968000000.0,28379793000000.0,25982346000000.0,22895523000000.0,25695330000000.0,21802642000000.0,25516959000000.0,25980970000000.0,25783368000000.0,21641808000000.0,23427413000000.0,19943584000000.0,22363427000000.0,23145147000000.0,21662653000000.0,23885823000000.0,24005195000000.0,24904490000000.0,24757358000000.0,23038976000000.0,20542277000000.0,21262208000000.0
1979-09-16 00:00:00,26888870000000.0,28618038000000.0,21612923000000.0,25124791000000.0,21942222000000.0,24903143000000.0,18630800000000.0,22910666000000.0,21035752000000.0,25034670000000.0,22415750000000.0,27076036000000.0,21045008000000.0,19223950000000.0,19946474000000.0,24152277000000.0,17511791000000.0,27021602000000.0,23766134000000.0,26991047000000.0,24256925000000.0,21088652000000.0,24472376000000.0,20318125000000.0,23566267000000.0,24029579000000.0,24094840000000.0,20583392000000.0,22030234000000.0,18610676000000.0,20951777000000.0,21753464000000.0,20169785000000.0,22579023000000.0,22371264000000.0,23874419000000.0,23479693000000.0,21762970000000.0,18891032000000.0,19663254000000.0
1979-10-16 12:00:00,27574269000000.0,29373420000000.0,22655789000000.0,25899949000000.0,22964783000000.0,25932132000000.0,19508522000000.0,23836678000000.0,21695220000000.0,26009177000000.0,23603530000000.0,27855690000000.0,21958448000000.0,19966785000000.0,20762591000000.0,25458064000000.0,18627607000000.0,27888343000000.0,24927407000000.0,27759565000000.0,25148145000000.0,22190892000000.0,25323430000000.0,21309560000000.0,24057345000000.0,24686495000000.0,24754233000000.0,21479096000000.0,23129800000000.0,19486896000000.0,21813948000000.0,22981443000000.0,21281093000000.0,23589479000000.0,23327041000000.0,24907235000000.0,24376913000000.0,22639339000000.0,20112212000000.0,20676824000000.0
