time,r13i1p1f1,r23i1p1f1,r21i1p1f1,r14i1p1f1,r16i1p1f1,r11i1p1f1,r17i1p1f1,r20i1p1f1,r7i1p1f1,r2i1p1f1,r25i1p1f1,r4i1p1f1,r3i1p1f1,r12i1p1f1,r10i1p1f1,r24i1p1f1,r1i1p1f1,r19i1p1f1,r6i1p1f1,r18i1p1f1,r15i1p1f1
1979-01-16 12:00:00,32457932000000.0,49838398000000.0,31454270000000.0,26995287000000.0,30608710000000.0,50727580000000.0,31042593000000.0,27901846000000.0,47132350000000.0,26756440000000.0,32403637000000.0,34544250000000.0,30159558000000.0,28997317000000.0,50115750000000.0,26313696000000.0,46897247000000.0,45936198000000.0,48517997000000.0,35242860000000.0,31328620000000.0
1979-02-15 00:00:00,35293156000000.0,53187160000000.0,34194269000000.0,29927400000000.0,33519038000000.0,53981456000000.0,34303948000000.0,30914030000000.0,50012320000000.0,29599279000000.0,35329646000000.0,37171558000000.0,32727231000000.0,32221539000000.0,53492513000000.0,29083933000000.0,50067306000000.0,49638833000000.0,51419020000000.0,38162437000000.0,34728994000000.0
1979-03-16 12:00:00,37843733000000.0,55732360000000.0,36568640000000.0,32406396000000.0,36021106000000.0,56522684000000.0,36905937000000.0,33495355000000.0,52252337000000.0,31941353000000.0,37800154000000.0,39762056000000.0,35120765000000.0,34811415000000.0,56194866000000.0,31227130000000.0,52444480000000.0,52483905000000.0,53637447000000.0,40392430000000.0,37541050000000.0
1979-04-16 00:00:00,39688853000000.0,57211435000000.0,38229150000000.0,33752164000000.0,37731330000000.0,58093120000000.0,38675610000000.0,35201003000000.0,53613020000000.0,33478507000000.0,39549854000000.0,41478180000000.0,36613548000000.0,36380193000000.0,58072454000000.0,32675998000000.0,53946593000000.0,54624803000000.0,54915890000000.0,42026180000000.0,39639940000000.0
1979-05-16 12:00:00,39661020000000.0,56647276000000.0,38133157000000.0,33776760000000.0,37941758000000.0,58004494000000.0,38619088000000.0,35283924000000.0,53321130000000.0,33363876000000.0,39736064000000.0,41464935000000.0,36625890000000.0,36269724000000.0,57982990000000.0,32645472000000.0,54090113000000.0,54339553000000.0,54734820000000.0,41844197000000.0,39897864000000.0
1979-06-16 00:00:00,36219690000000.0,52712410000000.0,35071143000000.0,30871190000000.0,35204505000000.0,55164640000000.0,35788040000000.0,32258203000000.0,50244524000000.0,30410688000000.0,36223846000000.0,38194846000000.0,33640264000000.0,33103260000000.0,54610390000000.0,29631700000000.0,51515868000000.0,51167690000000.0,51541410000000.0,38433110000000.0,36844160000000.0
1979-07-16 12:00:00,29747128000000.0,44580990000000.0,28795967000000.0,25166399000000.0,28199635000000.0,48175813000000.0,29578878000000.0,25685830000000.0,43877025000000.0,24290565000000.0,29223486000000.0,31131943000000.0,26881888000000.0,26738394000000.0,46841383000000.0,22712018000000.0,45204002000000.0,44248406000000.0,45140410000000.0,32076607000000.0,29726828000000.0
1979-08-16 12:00:00,24138760000000.0,37022280000000.0,23377396000000.0,19965023000000.0,21838202000000.0,41288024000000.0,23924402000000.0,20589536000000.0,37920930000000.0,19534830000000.0,23412437000000.0,25281213000000.0,21793463000000.0,22174970000000.0,40381517000000.0,17594558000000.0,39430460000000.0,36267534000000.0,39632457000000.0,26493210000000.0,23706707000000.0
1979-09-16 00:00:00,23005646000000.0,35691782000000.0,22049125000000.0,19266135000000.0,20130227000000.0,39627927000000.0,22927802000000.0,19641490000000.0,36705440000000.0,18561741000000.0,22696788000000.0,24597743000000.0,21023513000000.0,21396447000000.0,39033600000000.0,16859554000000.0,38567724000000.0,35289632000000.0,39012670000000.0,25645067000000.0,22438824000000.0
1979-10-16 12:00:00,23490111000000.0,36563860000000.0,22183095000000.0,19435457000000.0,20734441000000.0,40693087000000.0,23149507000000.0,20164108000000.0,37407395000000.0,19120532000000.0,23465285000000.0,25404983000000.0,21310970000000.0,21675802000000.0,39689424000000.0,17211980000000.0,39224340000000.0,36082440000000.0,38973695000000.0,26413657000000.0,22650466000000.0
1979-11-16 00:00:00,25380870000000.0,38571450000000.0,23259957000000.0,21088675000000.0,22856373000000.0,43040750000000.0,24833727000000.0,21942975000000.0,39235977000000.0,20934790000000.0,25537565000000.0,27305930000000.0,22549518000000.0,23188193000000.0,41703190000000.0,18493706000000.0,41443314000000.0,38723460000000.0,40530570000000.0,28752371000000.0,24343092000000.0
1979-12-16 12:00:00,28199694000000.0,41412653000000.0,25501639000000.0,23425364000000.0,25749617000000.0,46787046000000.0,27979530000000.0,25091530000000.0,42212386000000.0,23679969000000.0,28091180000000.0,29797877000000.0,24830187000000.0,25835067000000.0,45056455000000.0,21072435000000.0,44277313000000.0,42227447000000.0,43021410000000.0,31777888000000.0,27346230000000.0
1980-01-16 12:00:00,31782905000000.0,45133697000000.0,28597138000000.0,26262735000000.0,29515066000000.0,51066926000000.0,31532200000000.0,28517505000000.0,45485105000000.0,26373821000000.0,31008570000000.0,32973871000000.0,27940704000000.0,28941593000000.0,48727906000000.0,24191080000000.0,47617015000000.0,45946420000000.0,46622927000000.0,35335065000000.0,30803342000000.0
1980-02-15 12:00:00,35119283000000.0,48133887000000.0,31468909000000.0,29041726000000.0,32726653000000.0,54678423000000.0,34493160000000.0,31701443000000.0,48539795000000.0,28944440000000.0,33845913000000.0,35950416000000.0,31081678000000.0,31773363000000.0,52119240000000.0,27408103000000.0,50552150000000.0,49249200000000.0,49612426000000.0,38213340000000.0,34205090000000.0
1980-03-16 12:00:00,38185573000000.0,50780020000000.0,34130308000000.0,31637730000000.0,35394733000000.0,57743872000000.0,36722140000000.0,34395124000000.0,50877717000000.0,31140392000000.0,36344265000000.0,38429723000000.0,33712062000000.0,34369117000000.0,54846305000000.0,30032007000000.0,52778903000000.0,51836623000000.0,52013463000000.0,40278237000000.0,36645980000000.0
1980-04-16 00:00:00,39918743000000.0,52535604000000.0,35870330000000.0,33408970000000.0,37114016000000.0,59600710000000.0,38090050000000.0,36158800000000.0,52168745000000.0,32515962000000.0,37992420000000.0,39988150000000.0,35084447000000.0,36063170000000.0,56418620000000.0,31811885000000.0,54247080000000.0,53072185000000.0,53318433000000.0,41496657000000.0,38157770000000.0
1980-05-16 12:00:00,39930210000000.0,52631335000000.0,35598200000000.0,33562095000000.0,37041590000000.0,59751367000000.0,37803010000000.0,35978857000000.0,51773914000000.0,32548525000000.0,38167177000000.0,39625234000000.0,34748697000000.0,35948210000000.0,56078633000000.0,31432220000000.0,54069320000000.0,52580590000000.0,52743480000000.0,41350330000000.0,38177370000000.0
1980-06-16 00:00:00,37456030000000.0,49488115000000.0,32078247000000.0,31107080000000.0,33608562000000.0,57177830000000.0,34777214000000.0,33206443000000.0,48593927000000.0,29429888000000.0,35966470000000.0,36657530000000.0,31452704000000.0,32252280000000.0,52781247000000.0,27967017000000.0,50494404000000.0,48633475000000.0,48733930000000.0,37678666000000.0,35678826000000.0
1980-07-16 12:00:00,30810139000000.0,42694500000000.0,25132730000000.0,26029398000000.0,27700140000000.0,50300240000000.0,28361124000000.0,27958159000000.0,41197616000000.0,23040266000000.0,30596198000000.0,29851507000000.0,24473498000000.0,25177715000000.0,45497720000000.0,21075363000000.0,44335260000000.0,40214700000000.0,42562390000000.0,30150924000000.0,30250992000000.0
1980-08-16 12:00:00,23347014000000.0,36680216000000.0,18723810000000.0,21812595000000.0,21502494000000.0,43054320000000.0,23410950000000.0,22861260000000.0,35395903000000.0,17889780000000.0,25885592000000.0,24478698000000.0,18450106000000.0,19650830000000.0,39889542000000.0,15546521000000.0,37903493000000.0,33435935000000.0,37154554000000.0,24766851000000.0,25515138000000.0
1980-09-16 00:00:00,21946000000000.0,35855138000000.0,18352978000000.0,20891952000000.0,20673443000000.0,41542170000000.0,22313997000000.0,21707773000000.0,34686506000000.0,17428292000000.0,24578660000000.0,23183132000000.0,17636629000000.0,18973354000000.0,39253320000000.0,14099579000000.0,37044294000000.0,32117630000000.0,36078174000000.0,23707000000000.0,24349950000000.0
1980-10-16 12:00:00,22238820000000.0,36781740000000.0,18688535000000.0,21323548000000.0,21391770000000.0,41968390000000.0,22877443000000.0,22258486000000.0,35275160000000.0,17966284000000.0,25250690000000.0,24165132000000.0,18394378000000.0,19613295000000.0,39871030000000.0,15033449000000.0,37559334000000.0,33078496000000.0,36549120000000.0,23985494000000.0,25101207000000.0
1980-11-16 00:00:00,24133937000000.0,39146203000000.0,20675260000000.0,22893367000000.0,23530528000000.0,44100710000000.0,24442349000000.0,24160227000000.0,37353746000000.0,19912571000000.0,27188745000000.0,26061440000000.0,20452483000000.0,21451707000000.0,41723530000000.0,17018483000000.0,39503100000000.0,35810860000000.0,38263160000000.0,25470947000000.0,27042217000000.0
1980-12-16 12:00:00,27285906000000.0,42521360000000.0,23537096000000.0,25664044000000.0,26236760000000.0,47646830000000.0,27271937000000.0,26921499000000.0,39982400000000.0,22770470000000.0,30047814000000.0,28795256000000.0,23588474000000.0,24311948000000.0,45104144000000.0,20111602000000.0,42455202000000.0,39436210000000.0,40941054000000.0,28074830000000.0,30204204000000.0
1981-01-16 12:00:00,30952667000000.0,46376190000000.0,26781750000000.0,28925210000000.0,29627620000000.0,51354244000000.0,30512324000000.0,30377654000000.0,43195476000000.0,25919171000000.0,33303218000000.0,31962568000000.0,26672750000000.0,27935306000000.0,48972266000000.0,23767982000000.0,45838777000000.0,43331153000000.0,44589595000000.0,31776035000000.0,34003038000000.0
1981-02-15 00:00:00,34089487000000.0,49488440000000.0,29682120000000.0,31449772000000.0,32563419000000.0,54686783000000.0,33877880000000.0,33549135000000.0,46330215000000.0,28787369000000.0,36290834000000.0,34867375000000.0,29608657000000.0,30784941000000.0,52245974000000.0,26929617000000.0,48871640000000.0,46733770000000.0,47998640000000.0,34937430000000.0,37277665000000.0
1981-03-16 12:00:00,36056636000000.0,51808043000000.0,32090393000000.0,33673794000000.0,34600932000000.0,57630534000000.0,36620238000000.0,36398237000000.0,48712504000000.0,31488773000000.0,38953848000000.0,37515560000000.0,31885476000000.0,32965665000000.0,54926180000000.0,29754309000000.0,51404030000000.0,49904156000000.0,51072316000000.0,37254720000000.0,39937123000000.0
1981-04-16 00:00:00,37379277000000.0,53028015000000.0,33392000000000.0,34984493000000.0,36067307000000.0,59770455000000.0,38234720000000.0,38196038000000.0,50160306000000.0,33019973000000.0,40530365000000.0,39120735000000.0,33604153000000.0,34639285000000.0,56981457000000.0,31601442000000.0,52626503000000.0,51879866000000.0,53103550000000.0,39146085000000.0,41570695000000.0
1981-05-16 12:00:00,37284603000000.0,52643146000000.0,33054588000000.0,34771653000000.0,36221946000000.0,59920557000000.0,38254760000000.0,38313944000000.0,50115985000000.0,32445135000000.0,40756960000000.0,39104746000000.0,33827055000000.0,34678845000000.0,57005356000000.0,31574972000000.0,52183676000000.0,51735666000000.0,52969035000000.0,39021653000000.0,41900690000000.0
1981-06-16 00:00:00,34107287000000.0,49035826000000.0,29889787000000.0,31868347000000.0,33158108000000.0,56664993000000.0,34980021000000.0,35311854000000.0,47584735000000.0,28905837000000.0,38138860000000.0,36095455000000.0,31024620000000.0,31746070000000.0,53620980000000.0,27766896000000.0,48804477000000.0,49203810000000.0,49550770000000.0,35133923000000.0,39206580000000.0
1981-07-16 12:00:00,27257783000000.0,42227997000000.0,23114190000000.0,25507763000000.0,26772102000000.0,49289783000000.0,27578190000000.0,28056601000000.0,41489007000000.0,21686936000000.0,32292091000000.0,28772772000000.0,24592066000000.0,26269853000000.0,47190300000000.0,21516597000000.0,41532290000000.0,44265393000000.0,42769687000000.0,28915335000000.0,33012954000000.0
1981-08-16 12:00:00,21456461000000.0,37294430000000.0,17347237000000.0,21204178000000.0,21675538000000.0,41567486000000.0,21633098000000.0,21753162000000.0,35442968000000.0,15626685000000.0,27990696000000.0,22663483000000.0,18366264000000.0,21444560000000.0,42520956000000.0,16611738000000.0,35595397000000.0,38757680000000.0,37331034000000.0,23745303000000.0,27429860000000.0
1981-09-16 00:00:00,20105270000000.0,36613862000000.0,17177770000000.0,20497748000000.0,20971923000000.0,40061240000000.0,20826401000000.0,21504908000000.0,34795967000000.0,15087278000000.0,26974425000000.0,22045297000000.0,17527265000000.0,20186174000000.0,41645800000000.0,15623768000000.0,34280000000000.0,38041712000000.0,36527254000000.0,22945995000000.0,26310114000000.0
1981-10-16 12:00:00,20626350000000.0,37196420000000.0,17162681000000.0,21099161000000.0,21494302000000.0,40576660000000.0,21381496000000.0,21719540000000.0,35259340000000.0,15654195000000.0,27722982000000.0,22601750000000.0,18523093000000.0,21156824000000.0,42233460000000.0,15961406000000.0,35210582000000.0,38745244000000.0,36712090000000.0,23789291000000.0,26637719000000.0
1981-11-16 00:00:00,22490806000000.0,38837263000000.0,19341639000000.0,23051958000000.0,23323507000000.0,43029950000000.0,23280755000000.0,23835660000000.0,37265267000000.0,17607617000000.0,29513270000000.0,24857627000000.0,20654655000000.0,23001990000000.0,43890070000000.0,17670909000000.0,37072606000000.0,40597910000000.0,38451466000000.0,25967687000000.0,28332840000000.0
1981-12-16 12:00:00,25660340000000.0,41648210000000.0,22086943000000.0,25539641000000.0,26199191000000.0,46528820000000.0,26252170000000.0,26589272000000.0,40333816000000.0,19976845000000.0,32116297000000.0,27860715000000.0,23313233000000.0,25777937000000.0,47122796000000.0,20414730000000.0,40024110000000.0,43563543000000.0,41292797000000.0,29256292000000.0,31048163000000.0
1982-01-16 12:00:00,29656909000000.0,44821016000000.0,25320212000000.0,28815610000000.0,29676870000000.0,50422664000000.0,29982540000000.0,29915366000000.0,43057433000000.0,23458937000000.0,34938666000000.0,31119878000000.0,26215528000000.0,29323803000000.0,50752916000000.0,23436520000000.0,43448570000000.0,47222863000000.0,44627457000000.0,33129293000000.0,34197314000000.0
1982-02-15 00:00:00,33335292000000.0,47790570000000.0,28565857000000.0,31588950000000.0,32742138000000.0,53564300000000.0,33224718000000.0,32875290000000.0,45558106000000.0,26621436000000.0,37597260000000.0,33715552000000.0,28906858000000.0,32519140000000.0,53397533000000.0,26376103000000.0,46446640000000.0,50803800000000.0,47350282000000.0,36001640000000.0,37049480000000.0
1982-03-16 12:00:00,36223788000000.0,50136200000000.0,30963919000000.0,33930530000000.0,34930390000000.0,56387007000000.0,35541550000000.0,35367510000000.0,47594185000000.0,29472570000000.0,40105373000000.0,35835920000000.0,31354930000000.0,35036837000000.0,55485063000000.0,29047183000000.0,48845840000000.0,53815403000000.0,49360910000000.0,38739390000000.0,39098680000000.0
1982-04-16 00:00:00,38127450000000.0,51577870000000.0,32474363000000.0,35362720000000.0,36281912000000.0,58010546000000.0,36897300000000.0,37235910000000.0,49216416000000.0,31307405000000.0,41739595000000.0,37346690000000.0,33052913000000.0,36653335000000.0,56557287000000.0,30933403000000.0,50485480000000.0,55711803000000.0,50572753000000.0,40499530000000.0,40527387000000.0
