time,r8i1p1f1,r20i1p1f1,r2i1p1f1,r1i1p1f1,r12i1p1f1,r5i1p1f1,r14i1p1f1,r17i1p1f1,r11i1p1f1,r23i1p1f1,r31i1p1f1,r30i1p1f1,r21i1p1f1,r15i1p1f1,r9i1p1f1,r16i1p1f1,r6i1p1f1,r24i1p1f1,r29i1p1f1,r7i1p1f1,r32i1p1f1,r18i1p1f1,r27i1p1f1,r4i1p1f1,r22i1p1f1,r25i1p1f1,r19i1p1f1,r26i1p1f1,r28i1p1f1,r13i1p1f1,r10i1p1f1,r3i1p1f1
1979-01-16 12:00:00,24621135000000.0,21454297000000.0,19566722000000.0,19996659000000.0,21045890000000.0,20408823000000.0,22621656000000.0,22795885000000.0,25216447000000.0,21946490000000.0,23761309000000.0,22515871000000.0,24121644000000.0,25492750000000.0,23793867000000.0,28607600000000.0,26907517000000.0,19759391000000.0,24310390000000.0,21327352000000.0,20834624000000.0,22471636000000.0,23409864000000.0,20597862000000.0,21048435000000.0,23505001000000.0,21882277000000.0,20111800000000.0,21454377000000.0,25794160000000.0,21226680000000.0,22282974000000.0
1979-02-15 00:00:00,28846040000000.0,26128115000000.0,23302402000000.0,23890220000000.0,24558573000000.0,24603892000000.0,26431115000000.0,26467370000000.0,29650479000000.0,26046240000000.0,27714342000000.0,26325977000000.0,27786601000000.0,29298178000000.0,27775071000000.0,32616363000000.0,30967620000000.0,23693107000000.0,28481503000000.0,25168378000000.0,24759910000000.0,26078014000000.0,27302797000000.0,24557178000000.0,24511248000000.0,27209027000000.0,25698719000000.0,23728065000000.0,25139810000000.0,29506014000000.0,24985330000000.0,26246218000000.0
1979-03-16 12:00:00,31807360000000.0,29651555000000.0,26340940000000.0,26868235000000.0,26963784000000.0,27861591000000.0,29743947000000.0,29347449000000.0,33028957000000.0,28975552000000.0,30637030000000.0,29715998000000.0,30809168000000.0,32504195000000.0,30630279000000.0,35847517000000.0,33962657000000.0,26655683000000.0,31542385000000.0,28246473000000.0,27876183000000.0,28819986000000.0,30356638000000.0,27802435000000.0,27228476000000.0,30242370000000.0,28641312000000.0,26746217000000.0,28236902000000.0,32741350000000.0,28134420000000.0,29367340000000.0
1979-04-16 00:00:00,33470500000000.0,31992171000000.0,27896337000000.0,28662724000000.0,28347092000000.0,29925927000000.0,31516982000000.0,31033978000000.0,34779762000000.0,30508814000000.0,32265810000000.0,31604144000000.0,32711947000000.0,34510510000000.0,32561271000000.0,37971005000000.0,35908450000000.0,28529220000000.0,33382547000000.0,29808176000000.0,29525778000000.0,30625690000000.0,32425963000000.0,29387878000000.0,28624948000000.0,31822790000000.0,30524324000000.0,28222826000000.0,29947045000000.0,34298153000000.0,29975218000000.0,31210180000000.0
1979-05-16 12:00:00,32414160000000.0,31022087000000.0,26937227000000.0,28138508000000.0,27753915000000.0,29952280000000.0,31116463000000.0,30566649000000.0,34374146000000.0,29686455000000.0,31724914000000.0,31192940000000.0,32090821000000.0,34124782000000.0,31971934000000.0,37641900000000.0,35441063000000.0,28145172000000.0,32433223000000.0,29236000000000.0,29365760000000.0,30338967000000.0,32413686000000.0,29104050000000.0,28184460000000.0,31024067000000.0,30083264000000.0,28003183000000.0,29158548000000.0,33806866000000.0,29776890000000.0,30523043000000.0
1979-06-16 00:00:00,27836442000000.0,26286555000000.0,22995536000000.0,24578735000000.0,23726850000000.0,26702170000000.0,27306940000000.0,26502807000000.0,30394288000000.0,25794200000000.0,28105180000000.0,26763707000000.0,28275768000000.0,30356403000000.0,27971150000000.0,33827401000000.0,31906600000000.0,24458853000000.0,28338914000000.0,25744160000000.0,25838520000000.0,27036647000000.0,28905550000000.0,25347404000000.0,24869933000000.0,26537267000000.0,25955010000000.0,25151080000000.0,25428199000000.0,30218600000000.0,26093497000000.0,26047874000000.0
1979-07-16 12:00:00,20536600000000.0,18676170000000.0,16045747000000.0,18169603000000.0,16242075000000.0,19290456000000.0,19606069000000.0,19136516000000.0,21816440000000.0,18353335000000.0,21135148000000.0,18214564000000.0,20923986000000.0,22822429000000.0,20233570000000.0,25407663000000.0,24920880000000.0,16691889000000.0,20724341000000.0,19048757000000.0,18310846000000.0,20038623000000.0,21925340000000.0,17439612000000.0,18160160000000.0,19789905000000.0,17190305000000.0,18236645000000.0,18177665000000.0,23862142000000.0,18438464000000.0,19352917000000.0
1979-08-16 12:00:00,14894710000000.0,12576084000000.0,10842855000000.0,12837192000000.0,10648369000000.0,12079235000000.0,14036574000000.0,13576991000000.0,14907936000000.0,12288384000000.0,15811401000000.0,11872059000000.0,14836935000000.0,17077853000000.0,14108108000000.0,18014097000000.0,18278114000000.0,10990246000000.0,14571293000000.0,13711446000000.0,12750523000000.0,13954998000000.0,16322023000000.0,10997167000000.0,12718961000000.0,15185798000000.0,10937083000000.0,12222179000000.0,12331432000000.0,18748170000000.0,12577708000000.0,14022498000000.0
1979-09-16 00:00:00,13106549000000.0,11055879000000.0,9410829000000.0,11528537000000.0,9181276000000.0,9701863000000.0,12819238000000.0,11880757000000.0,13125527000000.0,10734929000000.0,14389423000000.0,10210815000000.0,12928204000000.0,15431906000000.0,13023011000000.0,15911795000000.0,16124123000000.0,9691538000000.0,13056855000000.0,11824304000000.0,11603603000000.0,12231446000000.0,14591250000000.0,9323875000000.0,11097047000000.0,13675088000000.0,9349116000000.0,10189430000000.0,10575269000000.0,17600360000000.0,10498671000000.0,12652013000000.0
1979-10-16 12:00:00,13737632000000.0,11650541000000.0,9835960000000.0,11957528000000.0,9390691000000.0,10565642000000.0,13589444000000.0,12343128000000.0,13783955000000.0,11211740000000.0,14907104000000.0,10718862000000.0,13243880000000.0,15960450000000.0,13497148000000.0,16650781000000.0,16978360000000.0,10224142000000.0,13656264000000.0,12362933000000.0,12179685000000.0,12712456000000.0,15142492000000.0,10035489000000.0,11621210000000.0,13926342000000.0,9964249000000.0,10539820000000.0,11231729000000.0,18293493000000.0,11064248000000.0,13002078000000.0
