time,r19i1p1f2,r17i1p1f2,r22i1p1f2,r15i1p1f2,r30i1p1f2,r14i1p1f2,r13i1p1f2,r18i1p1f2,r6i1p1f2,r27i1p1f2,r5i1p1f2,r26i1p1f2,r10i1p1f2,r12i1p1f2,r25i1p1f2,r11i1p1f2,r23i1p1f2,r3i1p1f2,r1i1p1f2,r24i1p1f2,r7i1p1f2,r4i1p1f2,r8i1p1f2,r9i1p1f2,r16i1p1f2,r29i1p1f2,r21i1p1f2,r28i1p1f2,r20i1p1f2,r1i1000p1f2,r2i1p1f2
1979-01-16 12:00:00,33181516000000.0,27224156000000.0,24769928000000.0,29988764000000.0,29118301000000.0,31560259000000.0,26511984000000.0,29869956000000.0,27446565000000.0,27110685000000.0,28573033000000.0,30709108000000.0,26036430000000.0,28048506000000.0,30397723000000.0,29546443000000.0,27615123000000.0,27803676000000.0,29510340000000.0,31007772000000.0,27893330000000.0,24370741000000.0,28381612000000.0,28675910000000.0,23937908000000.0,27362120000000.0,26920782000000.0,24406135000000.0,28598631000000.0,27290587000000.0,27716535000000.0
1979-02-15 00:00:00,36333460000000.0,30256840000000.0,28346665000000.0,33353890000000.0,31963348000000.0,34489139000000.0,29800438000000.0,32860164000000.0,30749607000000.0,30233172000000.0,31319726000000.0,33855487000000.0,28988165000000.0,31525580000000.0,33526473000000.0,32702347000000.0,30614779000000.0,31054799000000.0,32754108000000.0,34018440000000.0,31200900000000.0,27473828000000.0,31378880000000.0,31712206000000.0,27050453000000.0,30343730000000.0,29908036000000.0,27544227000000.0,31648528000000.0,30545920000000.0,30908745000000.0
1979-03-16 12:00:00,39290155000000.0,33048330000000.0,31205542000000.0,36051660000000.0,34237177000000.0,37074938000000.0,32342993000000.0,35308320000000.0,33150902000000.0,32762579000000.0,33407338000000.0,36490768000000.0,31488003000000.0,34125138000000.0,36182688000000.0,35132730000000.0,33351912000000.0,33697936000000.0,35311710000000.0,36490973000000.0,33767874000000.0,30020110000000.0,34145464000000.0,34160249000000.0,29540074000000.0,32733909000000.0,32398092000000.0,30049407000000.0,34009440000000.0,33270850000000.0,33598843000000.0
1979-04-16 00:00:00,41107887000000.0,34834110000000.0,32947919000000.0,37637000000000.0,35680235000000.0,38540306000000.0,33775580000000.0,37016855000000.0,34781583000000.0,34298233000000.0,35036735000000.0,38201770000000.0,33174620000000.0,35531124000000.0,37651776000000.0,36449076000000.0,34874952000000.0,35363520000000.0,36689725000000.0,37988110000000.0,35266866000000.0,31847720000000.0,35758174000000.0,35912705000000.0,30978040000000.0,34369735000000.0,34100060000000.0,31543225000000.0,35597813000000.0,34815674000000.0,35242840000000.0
1979-05-16 12:00:00,40679586000000.0,34590720000000.0,32470276000000.0,37108330000000.0,35292390000000.0,37871675000000.0,32767753000000.0,37033970000000.0,34391588000000.0,34229937000000.0,34786748000000.0,37634605000000.0,32869960000000.0,34941270000000.0,36974960000000.0,35540435000000.0,34335965000000.0,34816047000000.0,36405682000000.0,37024254000000.0,34504534000000.0,31890766000000.0,34804775000000.0,35732690000000.0,30073575000000.0,33971409000000.0,33786373000000.0,31047232000000.0,35230086000000.0,34591054000000.0,34568007000000.0
1979-06-16 00:00:00,36372375000000.0,30423690000000.0,27941189000000.0,32422465000000.0,31103174000000.0,33084260000000.0,27486210000000.0,32893865000000.0,29913365000000.0,29771237000000.0,30156945000000.0,33126720000000.0,28447270000000.0,30220652000000.0,32410503000000.0,30421593000000.0,30160045000000.0,30453220000000.0,32277183000000.0,31780204000000.0,29877944000000.0,28379292000000.0,30316900000000.0,31610477000000.0,25645468000000.0,29997457000000.0,29370305000000.0,26834865000000.0,31451356000000.0,30596938000000.0,30026504000000.0
1979-07-16 12:00:00,29203810000000.0,23600856000000.0,21280020000000.0,24871110000000.0,24396549000000.0,26030855000000.0,20265224000000.0,25365873000000.0,21584926000000.0,22277297000000.0,22706578000000.0,26311300000000.0,20690705000000.0,22930790000000.0,24999906000000.0,23157658000000.0,23601235000000.0,23939825000000.0,25007927000000.0,23815015000000.0,22309738000000.0,21375727000000.0,23101627000000.0,24401106000000.0,18414182000000.0,23084654000000.0,22479611000000.0,20062283000000.0,25018290000000.0,24004149000000.0,23188398000000.0
1979-08-16 12:00:00,23062355000000.0,18336717000000.0,15985002000000.0,19324251000000.0,19048977000000.0,20515991000000.0,14873226000000.0,19997242000000.0,16092397000000.0,16843739000000.0,16649928000000.0,20563169000000.0,14864981000000.0,17151539000000.0,19145354000000.0,17632500000000.0,18227122000000.0,18236813000000.0,19586764000000.0,18168053000000.0,17094772000000.0,15529243000000.0,17683494000000.0,18682024000000.0,12833060000000.0,17833929000000.0,16871304000000.0,14743496000000.0,19138154000000.0,18721133000000.0,17179674000000.0
1979-09-16 00:00:00,22239353000000.0,17442626000000.0,15152758000000.0,18721288000000.0,18610964000000.0,19791717000000.0,14313887000000.0,19304936000000.0,15544076000000.0,16275628000000.0,16281428000000.0,19725828000000.0,14269778000000.0,16474416000000.0,18544608000000.0,16972013000000.0,17563554000000.0,17533750000000.0,18900073000000.0,17120446000000.0,16309134000000.0,14757273000000.0,16847207000000.0,17832073000000.0,11978278000000.0,17222175000000.0,16086839000000.0,13998922000000.0,18340265000000.0,18179265000000.0,16413591000000.0
1979-10-16 12:00:00,24013852000000.0,19176647000000.0,17034828000000.0,20568477000000.0,20376636000000.0,21229602000000.0,15827791000000.0,21191585000000.0,17151151000000.0,18153042000000.0,17980218000000.0,21324860000000.0,15815636000000.0,18093936000000.0,20503507000000.0,18541750000000.0,19457917000000.0,19242831000000.0,20456145000000.0,18513998000000.0,17713808000000.0,16546477000000.0,18405453000000.0,19579230000000.0,13755478000000.0,19002480000000.0,17701813000000.0,15635499000000.0,20036041000000.0,20019476000000.0,18359976000000.0
