time,r7i1p1f1,r31i1p1f1,r12i1p1f1,r18i1p1f1,r13i1p1f1,r30i1p1f1,r44i1p1f1,r41i1p1f1,r40i1p1f1,r17i1p1f1,r10i1p1f1,r33i1p1f1,r35i1p1f1,r1i1p1f1,r19i1p1f1,r5i1p1f1,r36i1p1f1,r15i1p1f1,r25i1p1f1,r45i1p1f1,r23i1p1f1,r46i1p1f1,r4i1p1f1,r22i1p1f1,r27i1p1f1,r28i1p1f1,r43i1p1f1,r9i1p1f1,r47i1p1f1,r8i1p1f1,r38i1p1f1,r42i1p1f1,r32i1p1f1,r11i1p1f1,r24i1p1f1,r16i1p1f1,r3i1p1f1,r2i1p1f1,r37i1p1f1,r20i1p1f1,r34i1p1f1,r26i1p1f1,r50i1p1f1,r48i1p1f1,r14i1p1f1,r6i1p1f1,r21i1p1f1,r49i1p1f1,r29i1p1f1,r39i1p1f1
1979-01-16 12:00:00,24599832000000.0,23018310000000.0,23443390000000.0,25823100000000.0,24439954000000.0,24194625000000.0,24822747000000.0,24866158000000.0,23374728000000.0,27181244000000.0,25495589000000.0,23483602000000.0,23294602000000.0,21806547000000.0,25494485000000.0,24799013000000.0,24003612000000.0,24774393000000.0,19908810000000.0,22691973000000.0,27127920000000.0,23744823000000.0,24205775000000.0,24251596000000.0,23011772000000.0,21705743000000.0,23233856000000.0,22977830000000.0,25690435000000.0,22892850000000.0,24223670000000.0,22416282000000.0,24347874000000.0,22642998000000.0,23844650000000.0,22377539000000.0,23550124000000.0,21116093000000.0,24560122000000.0,24838127000000.0,22387507000000.0,21773741000000.0,23168536000000.0,26461526000000.0,25182358000000.0,24016918000000.0,23141246000000.0,27308222000000.0,24098552000000.0,23244078000000.0
1979-02-15 00:00:00,26736536000000.0,25375753000000.0,25668924000000.0,27944030000000.0,26909551000000.0,26656673000000.0,27089206000000.0,27134324000000.0,25537555000000.0,29414545000000.0,27813944000000.0,25784702000000.0,25643945000000.0,24221191000000.0,27839250000000.0,27080868000000.0,26160042000000.0,27077147000000.0,22073464000000.0,24807878000000.0,29377344000000.0,25920030000000.0,26486757000000.0,26594383000000.0,25386956000000.0,24167087000000.0,25316980000000.0,25068540000000.0,27779383000000.0,25179772000000.0,26309084000000.0,24455246000000.0,26471825000000.0,24879110000000.0,26291260000000.0,24875641000000.0,26107271000000.0,23453990000000.0,26931408000000.0,27097980000000.0,24576283000000.0,24058471000000.0,25388418000000.0,28597392000000.0,27470999000000.0,26329819000000.0,25550790000000.0,29665113000000.0,26551005000000.0,25443212000000.0
1979-03-16 12:00:00,28539865000000.0,27386770000000.0,27510030000000.0,29684755000000.0,28825460000000.0,28609056000000.0,28882726000000.0,28883003000000.0,27398536000000.0,31344290000000.0,29731271000000.0,27680087000000.0,27550194000000.0,26259070000000.0,29826140000000.0,28901078000000.0,27802984000000.0,28741955000000.0,24189617000000.0,26577958000000.0,31190136000000.0,27704628000000.0,28286822000000.0,28367653000000.0,27334946000000.0,25999283000000.0,27106568000000.0,26896224000000.0,29669921000000.0,26779863000000.0,28127036000000.0,26223105000000.0,28179717000000.0,26805410000000.0,28345262000000.0,26772390000000.0,28203358000000.0,25409884000000.0,28878022000000.0,29070574000000.0,26345715000000.0,25653110000000.0,27327174000000.0,30253857000000.0,29064388000000.0,28232787000000.0,27803026000000.0,31502344000000.0,28620152000000.0,27422435000000.0
1979-04-16 00:00:00,29698483000000.0,28660044000000.0,28760074000000.0,30806318000000.0,30062655000000.0,29925830000000.0,29922326000000.0,30182720000000.0,28673537000000.0,32577373000000.0,30910544000000.0,28994196000000.0,28720656000000.0,27533730000000.0,30968442000000.0,29961210000000.0,28830560000000.0,29556623000000.0,25593502000000.0,27808464000000.0,32298188000000.0,28818656000000.0,29391319000000.0,29295170000000.0,28545865000000.0,27276035000000.0,28316747000000.0,28019693000000.0,30744945000000.0,27978617000000.0,29219518000000.0,27532355000000.0,29171795000000.0,28009908000000.0,29621366000000.0,28020970000000.0,29475652000000.0,26632390000000.0,30213150000000.0,30287466000000.0,27363200000000.0,26662415000000.0,28537784000000.0,31329690000000.0,30143077000000.0,29597666000000.0,29220567000000.0,32665780000000.0,29960736000000.0,28742680000000.0
1979-05-16 12:00:00,29389385000000.0,28458659000000.0,28636346000000.0,30841254000000.0,30017174000000.0,29929834000000.0,29448812000000.0,30215036000000.0,28681848000000.0,32486670000000.0,30870940000000.0,28757421000000.0,28537266000000.0,27289110000000.0,30689896000000.0,29818805000000.0,28451057000000.0,29266308000000.0,25527216000000.0,27590400000000.0,32038880000000.0,28687135000000.0,28967290000000.0,29340930000000.0,28364528000000.0,27057630000000.0,27967710000000.0,27700805000000.0,30361107000000.0,27685472000000.0,29097179000000.0,27334139000000.0,29053545000000.0,27869292000000.0,29707001000000.0,27995590000000.0,29367090000000.0,26595826000000.0,30149825000000.0,30012592000000.0,27168248000000.0,26433990000000.0,28248052000000.0,31081470000000.0,30116743000000.0,29631191000000.0,29135322000000.0,32661209000000.0,29784457000000.0,28626780000000.0
1979-06-16 00:00:00,26794038000000.0,26044300000000.0,25682474000000.0,28434910000000.0,27419604000000.0,27270420000000.0,26596988000000.0,27640505000000.0,26054312000000.0,29949002000000.0,28259966000000.0,26549923000000.0,25799592000000.0,24607134000000.0,27850097000000.0,27735792000000.0,25721957000000.0,26595507000000.0,22949187000000.0,24918813000000.0,29487650000000.0,25704897000000.0,25838525000000.0,26708988000000.0,25793512000000.0,24115981000000.0,25264608000000.0,24966972000000.0,27735586000000.0,25219450000000.0,26566308000000.0,24733676000000.0,26834861000000.0,24592672000000.0,27366118000000.0,25558652000000.0,26898837000000.0,24497837000000.0,27631911000000.0,27279845000000.0,24370480000000.0,24229995000000.0,25331646000000.0,28298426000000.0,27582238000000.0,26929388000000.0,26053955000000.0,30294443000000.0,27213697000000.0,26111883000000.0
1979-07-16 12:00:00,21008763000000.0,21339904000000.0,19874180000000.0,22794855000000.0,22482740000000.0,21874994000000.0,21092916000000.0,22329350000000.0,20422213000000.0,24531090000000.0,22961904000000.0,22007828000000.0,20112686000000.0,19155676000000.0,22474173000000.0,22590469000000.0,20888770000000.0,21312475000000.0,17848860000000.0,19705597000000.0,23844805000000.0,19974205000000.0,20465521000000.0,21415814000000.0,20466748000000.0,18020148000000.0,19585867000000.0,19418793000000.0,21814175000000.0,19680597000000.0,21283536000000.0,19733225000000.0,21664453000000.0,18927904000000.0,21955852000000.0,19972034000000.0,21886690000000.0,19560692000000.0,21948110000000.0,21199868000000.0,19486418000000.0,18947110000000.0,19474070000000.0,22843748000000.0,22671107000000.0,21207888000000.0,19801506000000.0,24641786000000.0,21606865000000.0,20999980000000.0
1979-08-16 12:00:00,16758100000000.0,17484931000000.0,15479499000000.0,18479734000000.0,18319474000000.0,17613034000000.0,16736585000000.0,18311081000000.0,16018346000000.0,20522500000000.0,18734006000000.0,17995997000000.0,15673720000000.0,14704605000000.0,18093512000000.0,18571845000000.0,16691034000000.0,16874731000000.0,13894797000000.0,15845363000000.0,19794426000000.0,15796386000000.0,16180564000000.0,17123957000000.0,15929308000000.0,13720792000000.0,15307247000000.0,15471512000000.0,17128338000000.0,14866083000000.0,17070564000000.0,15873823000000.0,17524477000000.0,14664642000000.0,17639028000000.0,15732753000000.0,17662638000000.0,15361649000000.0,17592794000000.0,16444275000000.0,15348798000000.0,14791276000000.0,15281452000000.0,18884917000000.0,18471547000000.0,16845910000000.0,15241277000000.0,20163255000000.0,17496503000000.0,16740570000000.0
1979-09-16 00:00:00,15685669000000.0,16683802000000.0,14207739000000.0,17255420000000.0,17270371000000.0,16414346000000.0,15400301000000.0,17318122000000.0,14976550000000.0,19367903000000.0,17451007000000.0,17071860000000.0,14446417000000.0,13487136000000.0,16721187000000.0,17353152000000.0,15511383000000.0,15621338000000.0,12745695000000.0,14689806000000.0,18890694000000.0,14618731000000.0,15041322000000.0,15740589000000.0,14656242000000.0,12864044000000.0,14176185000000.0,14199086000000.0,15966032000000.0,13624147000000.0,16104924000000.0,14897077000000.0,16387782000000.0,13611009000000.0,16507627000000.0,14846605000000.0,16440727000000.0,14149774000000.0,16460891000000.0,15131217000000.0,14056697000000.0,13825040000000.0,14329031000000.0,17759330000000.0,17305963000000.0,15731594000000.0,13913521000000.0,19009467000000.0,16449460000000.0,15256178000000.0
1979-10-16 12:00:00,16732643000000.0,17900992000000.0,15449899000000.0,18296483000000.0,18183709000000.0,17509200000000.0,16466563000000.0,18377884000000.0,16284068000000.0,20632933000000.0,18550030000000.0,18400873000000.0,15898546000000.0,14738281000000.0,17778052000000.0,18394672000000.0,16591540000000.0,16865538000000.0,14052521000000.0,15857464000000.0,20039320000000.0,15737977000000.0,16332660000000.0,17048636000000.0,15790105000000.0,14176690000000.0,15320696000000.0,15383071000000.0,17006623000000.0,14652572000000.0,17287041000000.0,15975674000000.0,17486438000000.0,14908028000000.0,17668548000000.0,16131568000000.0,17808763000000.0,15499434000000.0,17626678000000.0,16235871000000.0,15106134000000.0,14697726000000.0,15489849000000.0,18770655000000.0,18499617000000.0,16936842000000.0,15031440000000.0,20247235000000.0,17753516000000.0,16400548000000.0
