time,r9i1p1f1,r10i1p1f1,r7i1p1f1,r4i1p1f1,r2i1p1f1,r1i1p1f1,r8i1p1f1,r3i1p1f1,r6i1p1f1,r5i1p1f1
1979-01-16 12:00:00,17611564000000.0,22042169000000.0,25517724000000.0,21480933000000.0,19974643000000.0,22468849000000.0,21288670000000.0,23675533000000.0,20420504000000.0,21005689000000.0
1979-02-15 00:00:00,20986433000000.0,25467506000000.0,28982104000000.0,24977804000000.0,23292059000000.0,26033862000000.0,25141732000000.0,27391695000000.0,24018140000000.0,24330665000000.0
1979-03-16 12:00:00,23591780000000.0,28465129000000.0,31614027000000.0,27547293000000.0,26160826000000.0,28613190000000.0,27501923000000.0,29834776000000.0,27140470000000.0,27018482000000.0
1979-04-16 00:00:00,24810537000000.0,30108247000000.0,33003045000000.0,28918036000000.0,27437704000000.0,29794368000000.0,28987800000000.0,31104346000000.0,28371115000000.0,28107730000000.0
1979-05-16 12:00:00,23864168000000.0,29227064000000.0,31628663000000.0,28216300000000.0,26755950000000.0,28681680000000.0,27914100000000.0,30326378000000.0,27300093000000.0,26960376000000.0
1979-06-16 00:00:00,18749657000000.0,23729659000000.0,26570782000000.0,22913783000000.0,22238401000000.0,22155880000000.0,22282852000000.0,24988434000000.0,21532175000000.0,22464206000000.0
1979-07-16 12:00:00,10946393000000.0,15094404000000.0,18125246000000.0,14476966000000.0,14705074000000.0,12886641000000.0,13387515000000.0,15570731000000.0,13242011000000.0,14842388000000.0
1979-08-16 12:00:00,6568389000000.0,9965244000000.0,12178514000000.0,9508031000000.0,9716100000000.0,7774608600000.0,8495433000000.0,10408352000000.0,8330340700000.0,10149307000000.0
1979-09-16 00:00:00,6019706000000.0,9341024000000.0,11485912000000.0,8873917000000.0,8658191600000.0,6915003000000.0,7927231400000.0,9547078000000.0,7750504000000.0,9498562000000.0
1979-10-16 12:00:00,8004033000000.0,11763539000000.0,13227350000000.0,11230701000000.0,10784618000000.0,8457282400000.0,9963164000000.0,11445021000000.0,9578461000000.0,11221662000000.0
1979-11-16 00:00:00,11338599000000.0,15210488000000.0,16601380000000.0,14307228000000.0,13964816000000.0,12006714000000.0,13198151000000.0,14525299000000.0,12879564000000.0,14458230000000.0
1979-12-16 12:00:00,15197508000000.0,19072203000000.0,20265344000000.0,17972238000000.0,17573455000000.0,15923403000000.0,16910464000000.0,18259594000000.0,16472496000000.0,17900298000000.0
1980-01-16 12:00:00,19425065000000.0,23282665000000.0,23964401000000.0,22112211000000.0,21477550000000.0,19909944000000.0,20833230000000.0,22192136000000.0,20577838000000.0,22052690000000.0
1980-02-15 12:00:00,22881004000000.0,26858645000000.0,27510640000000.0,25798931000000.0,25060670000000.0,23511934000000.0,24313120000000.0,25318770000000.0,24075963000000.0,25607440000000.0
1980-03-16 12:00:00,25366637000000.0,29953570000000.0,30387068000000.0,28470080000000.0,27363113000000.0,26253254000000.0,26857559000000.0,28176120000000.0,26542286000000.0,28216673000000.0
1980-04-16 00:00:00,26610280000000.0,31573733000000.0,31627692000000.0,29678698000000.0,28713170000000.0,27646115000000.0,28450566000000.0,29511230000000.0,27766730000000.0,29600403000000.0
1980-05-16 12:00:00,25319377000000.0,30489547000000.0,30618870000000.0,28247075000000.0,28115598000000.0,26185138000000.0,27791915000000.0,28113702000000.0,26204160000000.0,28937525000000.0
1980-06-16 00:00:00,19656646000000.0,25079698000000.0,25394648000000.0,22646343000000.0,23098170000000.0,21206007000000.0,22766846000000.0,22581359000000.0,20106745000000.0,23996576000000.0
1980-07-16 12:00:00,11438219000000.0,16399969000000.0,15828080000000.0,14826720000000.0,14565218000000.0,12243401000000.0,14668174000000.0,15025277000000.0,11911335000000.0,15138396000000.0
1980-08-16 12:00:00,6640332400000.0,10700864000000.0,10612789000000.0,9514846000000.0,9130527000000.0,7257785400000.0,9246356000000.0,10397544000000.0,7823431000000.0,9812722000000.0
1980-09-16 00:00:00,5921984000000.0,9700574000000.0,9986280000000.0,8737482000000.0,8420650400000.0,6564979700000.0,8545807400000.0,9807455000000.0,7209142500000.0,9212514000000.0
1980-10-16 12:00:00,7767309000000.0,12074917000000.0,11864269000000.0,10790130000000.0,10364954000000.0,8523769000000.0,10963767000000.0,11895802000000.0,8941210000000.0,11766442000000.0
1980-11-16 00:00:00,10821639000000.0,15281075000000.0,15243104000000.0,14263720000000.0,13582450000000.0,11500595000000.0,13922862000000.0,15110456000000.0,12078460000000.0,15369901000000.0
1980-12-16 12:00:00,14910718000000.0,18906748000000.0,19285737000000.0,18101945000000.0,17257006000000.0,15231761000000.0,17473726000000.0,18776492000000.0,15843672000000.0,18605444000000.0
1981-01-16 12:00:00,19036438000000.0,23121753000000.0,23354728000000.0,21887898000000.0,21479777000000.0,19442388000000.0,21249783000000.0,23027088000000.0,20464780000000.0,22369620000000.0
1981-02-15 00:00:00,22267398000000.0,26746722000000.0,26601828000000.0,25590210000000.0,24591527000000.0,23416620000000.0,24804755000000.0,26692395000000.0,23914407000000.0,26002722000000.0
1981-03-16 12:00:00,24633227000000.0,29553567000000.0,29473464000000.0,28303377000000.0,27254613000000.0,26202438000000.0,27158350000000.0,29736623000000.0,26542103000000.0,28659590000000.0
1981-04-16 00:00:00,25835910000000.0,30726911000000.0,30601973000000.0,29587030000000.0,28709734000000.0,27316854000000.0,28230552000000.0,30909791000000.0,28025584000000.0,30080787000000.0
1981-05-16 12:00:00,24354287000000.0,29458300000000.0,29560855000000.0,28355500000000.0,27766650000000.0,26502580000000.0,27540928000000.0,29888570000000.0,26886730000000.0,28622222000000.0
1981-06-16 00:00:00,18264485000000.0,24412082000000.0,24199446000000.0,23188940000000.0,23501415000000.0,21592210000000.0,23128852000000.0,24790780000000.0,21556850000000.0,22804425000000.0
1981-07-16 12:00:00,10527005000000.0,16141720000000.0,16121533000000.0,14586877000000.0,16033960000000.0,13513654000000.0,15473979000000.0,16417064000000.0,13782072000000.0,14984285000000.0
1981-08-16 12:00:00,6246360400000.0,10856598000000.0,10827113000000.0,9579977000000.0,10482355000000.0,7766625000000.0,10509085000000.0,10893145000000.0,9243425000000.0,9859312000000.0
1981-09-16 00:00:00,5831507000000.0,9952845000000.0,9866421000000.0,9178177000000.0,9548794000000.0,6671543300000.0,9660542000000.0,10093950000000.0,8553127000000.0,9427599000000.0
1981-10-16 12:00:00,7540632000000.0,12256656000000.0,11567695000000.0,11423537000000.0,11688594000000.0,8595979000000.0,11892087000000.0,12707965000000.0,10489536000000.0,11464828000000.0
1981-11-16 00:00:00,10731334000000.0,15682531000000.0,15142396000000.0,14470390000000.0,14882245000000.0,11951452000000.0,14951425000000.0,16114434000000.0,13742716000000.0,14699060000000.0
1981-12-16 12:00:00,14243651000000.0,19139340000000.0,19078140000000.0,18062724000000.0,18152377000000.0,15445643000000.0,18627609000000.0,19774203000000.0,17688336000000.0,18428247000000.0
1982-01-16 12:00:00,18056605000000.0,23313928000000.0,23415870000000.0,22361743000000.0,21801768000000.0,19066396000000.0,22820732000000.0,23461716000000.0,21593527000000.0,22227144000000.0
1982-02-15 00:00:00,21349253000000.0,27066884000000.0,26646826000000.0,25676021000000.0,25184279000000.0,22505067000000.0,26253172000000.0,26300834000000.0,25143173000000.0,25241118000000.0
1982-03-16 12:00:00,24001909000000.0,29539567000000.0,28683120000000.0,27965685000000.0,27873832000000.0,25644497000000.0,28265385000000.0,28908076000000.0,27872832000000.0,27524294000000.0
1982-04-16 00:00:00,25126182000000.0,30894040000000.0,29603335000000.0,29441070000000.0,28949667000000.0,27070942000000.0,29681963000000.0,30083534000000.0,29275638000000.0,28507567000000.0
1982-05-16 12:00:00,24037320000000.0,29825285000000.0,28742473000000.0,28289570000000.0,27853622000000.0,26078846000000.0,28471191000000.0,28861455000000.0,28409919000000.0,27177570000000.0
1982-06-16 00:00:00,19329203000000.0,24790400000000.0,23064578000000.0,23118626000000.0,21606724000000.0,21401554000000.0,23278639000000.0,23421988000000.0,23299300000000.0,21865356000000.0
1982-07-16 12:00:00,11956659000000.0,16459101000000.0,15352422000000.0,14916183000000.0,12521247000000.0,13499789000000.0,15163108000000.0,14533649000000.0,16058105000000.0,14453301000000.0
1982-08-16 12:00:00,7509109600000.0,11133451000000.0,10375864000000.0,10164125000000.0,7679123000000.0,8605667000000.0,10559191000000.0,9917051000000.0,11098385000000.0,9617183000000.0
1982-09-16 00:00:00,6965748600000.0,10518309000000.0,9441000000000.0,9581802000000.0,6855441000000.0,7959440500000.0,10003605000000.0,9289147000000.0,10201284000000.0,8879691000000.0
1982-10-16 12:00:00,8573420000000.0,12558273000000.0,11800602000000.0,11434465000000.0,8701123000000.0,9887006000000.0,12159163000000.0,11101005000000.0,12622194000000.0,10735020000000.0
1982-11-16 00:00:00,11843497000000.0,16520289000000.0,15363679000000.0,15123596000000.0,11585307000000.0,13086572000000.0,15819705000000.0,14558470000000.0,16271075000000.0,13436727000000.0
1982-12-16 12:00:00,15674782000000.0,20231513000000.0,19026230000000.0,19095290000000.0,15278019000000.0,16888796000000.0,19261131000000.0,18614650000000.0,20253300000000.0,16923935000000.0
1983-01-16 12:00:00,19370101000000.0,24159623000000.0,22905855000000.0,22803374000000.0,19840903000000.0,21098250000000.0,23196426000000.0,23150192000000.0,24920646000000.0,20754375000000.0
1983-02-15 00:00:00,22258780000000.0,27463172000000.0,26117673000000.0,25853147000000.0,23253754000000.0,24686778000000.0,26746846000000.0,26782250000000.0,28827806000000.0,23890577000000.0
1983-03-16 12:00:00,24667511000000.0,30320047000000.0,28682513000000.0,28082046000000.0,25710001000000.0,27251144000000.0,29455265000000.0,29585872000000.0,31495673000000.0,26528216000000.0
1983-04-16 00:00:00,26116759000000.0,31800542000000.0,30044670000000.0,28951240000000.0,27119755000000.0,28695874000000.0,30839816000000.0,30815405000000.0,32882666000000.0,27828588000000.0
1983-05-16 12:00:00,25179464000000.0,30631673000000.0,28864550000000.0,28038062000000.0,26373037000000.0,27980898000000.0,29778223000000.0,29777455000000.0,31540709000000.0,26632090000000.0
1983-06-16 00:00:00,20460717000000.0,25733896000000.0,22940680000000.0,22453565000000.0,20999777000000.0,22153310000000.0,24931560000000.0,24774768000000.0,25586169000000.0,21643271000000.0
1983-07-16 12:00:00,12824413000000.0,16793250000000.0,14738710000000.0,13884801000000.0,12415803000000.0,12207801000000.0,18149053000000.0,17144630000000.0,15810130000000.0,13709530000000.0
1983-08-16 12:00:00,8017099600000.0,11579754000000.0,10083659000000.0,9413141000000.0,7602118300000.0,7137192300000.0,13300032000000.0,12109655000000.0,10062783000000.0,9212439000000.0
1983-09-16 00:00:00,7376500000000.0,10758324000000.0,9425134000000.0,9029244000000.0,7083015500000.0,6572948300000.0,12553260000000.0,11327125000000.0,9573782000000.0,8719738300000.0
1983-10-16 12:00:00,9143986000000.0,12726858000000.0,11147315000000.0,10605356000000.0,9077879000000.0,8451871000000.0,14952155000000.0,13480064000000.0,11366525000000.0,10569212000000.0
1983-11-16 00:00:00,12373952000000.0,16084082000000.0,14191883000000.0,13529752000000.0,12213704000000.0,11681428000000.0,18166053000000.0,17033520000000.0,14935412000000.0,13637070000000.0
1983-12-16 12:00:00,16104798000000.0,20001136000000.0,17588478000000.0,17314567000000.0,15697712000000.0,15410506000000.0,21944762000000.0,20673565000000.0,18804520000000.0,17160352000000.0
1984-01-16 12:00:00,19975828000000.0,24418596000000.0,21772800000000.0,21591025000000.0,19622087000000.0,19660095000000.0,25745395000000.0,24630633000000.0,22857925000000.0,21439424000000.0
1984-02-15 12:00:00,23562142000000.0,28441690000000.0,25182956000000.0,25009918000000.0,22754345000000.0,23270072000000.0,28683799000000.0,27752418000000.0,26185862000000.0,25087424000000.0
1984-03-16 12:00:00,25758716000000.0,31500418000000.0,27487178000000.0,27468933000000.0,25470780000000.0,26251574000000.0,31012575000000.0,30387720000000.0,28979300000000.0,27986790000000.0
1984-04-16 00:00:00,26855166000000.0,33129207000000.0,28775930000000.0,28543350000000.0,26836713000000.0,27435972000000.0,31896566000000.0,31517070000000.0,30155192000000.0,29453932000000.0
1984-05-16 12:00:00,25878670000000.0,32125440000000.0,27681150000000.0,27353512000000.0,25846130000000.0,26207966000000.0,29918944000000.0,29991073000000.0,29062960000000.0,28583119000000.0
1984-06-16 00:00:00,19949213000000.0,26915121000000.0,21984482000000.0,22087138000000.0,20874445000000.0,20787872000000.0,23612558000000.0,24216668000000.0,23601456000000.0,22226273000000.0
1984-07-16 12:00:00,11002315000000.0,18152625000000.0,13223411000000.0,12663553000000.0,12285879000000.0,12077168000000.0,15400805000000.0,16775070000000.0,15145517000000.0,12811616000000.0
1984-08-16 12:00:00,6366538000000.0,13035472000000.0,8735400000000.0,7839082000000.0,7483044000000.0,7373681000000.0,10601345000000.0,11516086000000.0,10257451000000.0,8393206000000.0
1984-09-16 00:00:00,5563960000000.0,12374157000000.0,8174869400000.0,7207028000000.0,6818092300000.0,6695473400000.0,9993853000000.0,10447912000000.0,9469972000000.0,7772131000000.0
1984-10-16 12:00:00,7478742000000.0,14326969000000.0,10135279000000.0,9400213000000.0,9140846000000.0,8515046000000.0,11968100000000.0,12361289000000.0,11431938000000.0,9930889000000.0
