time,r8i1p1f1,r4i1p1f1,r6i1p1f1,r7i1p1f1,r5i1p1f1,r9i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
1979-01-16 12:00:00,20382485000000.0,24358560000000.0,22272291000000.0,21102554000000.0,23601479000000.0,23280501000000.0,22780133000000.0,23575880000000.0,21279548000000.0,21424603000000.0
1979-02-15 00:00:00,23485944000000.0,27371734000000.0,25287138000000.0,23755200000000.0,26703523000000.0,26485117000000.0,25610764000000.0,26357302000000.0,23947324000000.0,24401643000000.0
1979-03-16 12:00:00,25596405000000.0,29371572000000.0,27291745000000.0,25600470000000.0,29038526000000.0,28832885000000.0,27479442000000.0,28357377000000.0,25997831000000.0,26653204000000.0
1979-04-16 00:00:00,26887175000000.0,30613870000000.0,28183863000000.0,26571532000000.0,29749130000000.0,30150920000000.0,28508716000000.0,29522448000000.0,26797477000000.0,27835205000000.0
1979-05-16 12:00:00,25106064000000.0,29439035000000.0,26804174000000.0,25597005000000.0,28791299000000.0,28900447000000.0,27468105000000.0,28343498000000.0,25222713000000.0,26773027000000.0
1979-06-16 00:00:00,19691012000000.0,25186259000000.0,22352163000000.0,21298957000000.0,24023134000000.0,24414549000000.0,23662610000000.0,23551304000000.0,20114506000000.0,21580892000000.0
1979-07-16 12:00:00,11998534000000.0,17954570000000.0,15583135000000.0,14963643000000.0,16437911000000.0,17347944000000.0,16784504000000.0,16616130000000.0,12965028000000.0,13972688000000.0
1979-08-16 12:00:00,7546088700000.0,13183846000000.0,11203133000000.0,10520205000000.0,11379713000000.0,12337625000000.0,11653926000000.0,11927065000000.0,8515492000000.0,9255695000000.0
1979-09-16 00:00:00,6717908700000.0,12220207000000.0,10205034000000.0,9648040000000.0,10154433000000.0,11295939000000.0,10552823000000.0,10907646000000.0,7550104000000.0,8170300000000.0
1979-10-16 12:00:00,7887041600000.0,13882618000000.0,11880898000000.0,11403222000000.0,11663101000000.0,13316968000000.0,12667614000000.0,12832631000000.0,9378621000000.0,10071816000000.0
1979-11-16 00:00:00,10397680000000.0,16917929000000.0,14837911000000.0,14021684000000.0,14604650000000.0,16442477000000.0,15506783000000.0,15923909000000.0,12282559000000.0,13231209000000.0
1979-12-16 12:00:00,14054171000000.0,19788584000000.0,18228313000000.0,17252006000000.0,18475664000000.0,19742790000000.0,18631973000000.0,19059830000000.0,15937354000000.0,16961550000000.0
1980-01-16 12:00:00,18116747000000.0,23380693000000.0,21936663000000.0,20974351000000.0,22191284000000.0,23583506000000.0,22377096000000.0,22623692000000.0,19597840000000.0,20442010000000.0
