time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r9i1p1f1,r4i1p1f1,r6i1p1f1,r8i1p1f1,r7i1p1f1,r5i1p1f1,r10i1p1f1,r19i1p1f1,r18i1p1f1,r17i1p1f1,r20i1p1f1,r16i1p1f1,r15i1p1f1,r14i1p1f1,r13i1p1f1,r11i1p1f1,r12i1p1f1,r29i1p1f1,r28i1p1f1,r30i1p1f1,r26i1p1f1,r25i1p1f1,r24i1p1f1,r22i1p1f1,r21i1p1f1,r23i1p1f1,r27i1p1f1
2000-01-16 12:00:00,7.1635375,5.957812,5.277986,5.8303022,6.402936,5.3126187,6.164187,5.480773,6.5092335,5.4869103,6.122584,6.0187254,6.4031296,6.8156095,6.037497,6.336188,7.0838623,5.5005417,5.770413,5.669402,5.6943617,5.936699,5.808881,6.246079,5.684384,6.284648,6.655442,6.050986,6.021389,5.488352
2000-02-15 12:00:00,6.3343706,6.085205,6.378261,5.581087,6.08009,6.3531065,6.014257,6.5617948,6.0343266,6.819835,6.2078347,6.835324,5.533333,6.34534,5.9267893,5.836918,5.4223757,6.0022397,6.378976,6.7397256,5.138572,5.9585824,5.206981,6.12269,6.2706323,5.5262356,5.6386075,5.7668285,6.207516,5.5341916
2000-03-16 12:00:00,6.1565113,5.6701856,5.924044,6.2201424,5.593383,5.601478,6.3244023,6.1712403,6.193768,5.873046,5.8643293,6.1822658,6.520035,5.5354214,5.7672744,5.9371424,5.6557207,6.5745273,5.73249,7.106566,5.767015,6.1968083,5.739429,5.962224,5.986089,6.2282434,5.5668783,5.553481,5.90493,5.731047
2000-04-16 00:00:00,6.4912963,5.7940845,5.240366,5.2730823,5.5042562,5.3408194,5.459486,6.2277126,5.365127,5.396412,5.005847,4.911764,5.1538267,5.0212207,5.396703,4.938204,6.399276,5.0280848,5.7773213,5.932998,4.6158423,5.3262753,5.627922,6.2784057,5.6730566,4.805904,4.9238906,5.4336014,6.2320924,6.2510624
2000-05-16 12:00:00,5.8460855,5.3269725,4.9581027,5.76051,5.387563,4.7360168,6.2724943,4.837229,5.4275126,5.991388,4.6443048,5.6361656,4.3585854,5.7696567,5.0311136,4.6985264,4.97887,4.9914236,4.433599,5.0404525,4.9173136,4.5423117,6.3103447,5.3267336,5.8120093,5.2300854,4.8236537,4.646854,5.498714,6.181593
2000-06-16 00:00:00,5.0821447,4.9010706,4.6149707,4.901593,4.614973,4.765208,4.6216116,5.212606,5.105166,5.3366513,4.465867,4.463389,4.654797,5.2654476,4.296045,4.5506325,4.2062855,4.592581,4.7267604,5.1709714,5.265789,4.964562,4.3691883,4.7953506,5.6769357,5.0554395,5.035303,4.8815966,5.2755713,5.380985
2000-07-16 12:00:00,4.8543105,4.448061,4.8167124,4.6092577,4.595923,4.8916173,5.1745877,5.2360888,5.107046,5.217435,4.482179,5.60627,5.0153956,4.9554615,4.773699,4.710921,4.4652576,4.2565064,4.5767064,4.8363657,5.234511,4.701656,4.2552137,4.9726367,4.9049582,4.302282,4.595923,4.66958,4.4230714,4.7169065
2000-08-16 12:00:00,4.889004,4.083814,4.670527,4.868282,5.170569,4.5264993,5.0072618,5.322412,4.8941636,5.874795,4.989327,4.7615037,4.814332,4.8341355,4.7880535,4.8649826,5.201768,5.0637617,4.9247727,4.9170914,4.9932194,5.3645263,5.290565,5.28941,4.917606,4.5304723,5.4135575,5.294827,5.2112074,4.9477224
2000-09-16 00:00:00,5.511301,4.769893,6.1865044,5.347158,5.5924973,5.1956778,5.5915384,5.497351,5.306035,5.153496,5.1860914,5.5719357,5.691972,5.4183526,5.7231736,5.3161263,5.858389,5.9886274,5.703155,5.300962,4.90997,5.8035107,5.9821954,5.580684,5.024453,5.690736,5.358964,5.2821994,5.4200535,5.7688646
2000-10-16 12:00:00,5.5249515,6.4641194,5.568757,5.369746,5.8516746,5.797278,5.3784494,6.13813,5.2221274,5.3279123,6.1857004,6.199017,6.1349425,5.519467,6.12518,5.2583838,5.9127746,5.338555,5.9327054,6.546478,5.233358,5.8560934,5.61425,6.2548447,5.342109,5.61146,5.5049543,5.763512,5.677347,5.798529
2000-11-16 00:00:00,5.9998918,5.6436353,5.4797277,6.6154337,5.6813254,6.4696093,5.8015504,6.017823,6.000276,5.3600154,6.2330966,6.306221,6.6286826,5.965825,5.889323,5.585421,5.8878617,5.8728538,6.068088,5.942153,5.545847,5.781922,5.6698046,6.0027337,5.3382664,5.2516775,6.0179024,5.5963893,5.558956,6.059834
2000-12-16 12:00:00,5.9312363,6.0425315,5.9819503,6.9481544,5.812367,5.601744,5.634414,5.199344,5.6846743,5.618614,5.477139,6.395435,6.651586,6.7861624,5.9726415,5.8164744,5.5203586,5.215262,5.177329,5.6584826,6.0749755,5.130639,5.764002,5.634127,6.2586384,6.246316,6.381394,6.147064,5.8753996,6.6922336
2001-01-16 12:00:00,7.2470345,6.046537,5.3112736,5.7553678,6.046113,5.303661,6.4637146,5.5276194,6.871615,5.452227,6.143946,6.019475,6.323919,5.892628,6.190751,6.139924,5.804365,5.4854064,5.6942787,5.296927,6.6254067,6.4803042,5.90375,5.2782507,5.7430663,6.555659,6.659785,6.688475,6.4196744,5.0708103
2001-02-15 00:00:00,6.099993,5.900104,5.238304,6.054451,6.276125,5.6023545,5.669252,6.313507,5.6428146,7.326787,7.0719056,6.0680833,5.949286,5.6287537,4.9014974,6.223765,5.94259,5.902162,6.8028893,6.399871,5.8477902,5.2212057,5.5856485,6.2964005,5.9588943,6.5271854,5.186787,6.205473,5.9962354,6.8568726
2001-03-16 12:00:00,6.434833,5.945248,6.4607143,6.0203185,6.684071,5.4326086,5.4747167,5.5894666,5.961551,5.97249,6.0297365,5.3808923,5.5171595,5.622295,5.2522926,5.364574,5.7040358,5.9439235,5.620945,5.8778415,6.35848,5.932651,5.868747,5.4132943,5.9419374,5.4501023,6.516394,6.2118344,5.0092273,6.2147765
2001-04-16 00:00:00,5.034817,6.898021,6.723107,5.8189063,5.7323084,5.650824,5.826113,6.211801,5.611593,5.5606594,5.2222886,6.7416224,5.3194113,5.7911215,4.881896,6.0391726,5.2152147,5.5716577,5.7487416,7.023602,6.0845294,4.62905,5.4158454,5.709844,4.9927244,5.762657,5.3368874,6.571881,5.9502006,7.484929
2001-05-16 12:00:00,5.857966,5.562748,6.2518587,5.653816,4.6777687,5.0860353,5.0135937,5.711921,5.324108,5.2178664,5.822452,5.5946503,4.5149536,4.9007683,4.22925,4.8840747,4.753497,5.8369923,4.861678,5.2558703,5.8096275,5.2275,5.6854057,5.5026717,5.1087203,4.724247,4.9908133,5.061539,5.117406,4.814889
2001-06-16 00:00:00,5.3668895,5.773152,5.613838,5.156588,3.9774287,4.5606346,4.5917325,5.04605,4.583231,4.985769,5.0404677,5.355138,5.3017797,4.940557,4.9501243,4.1914825,4.7944336,5.175028,4.710072,4.6639338,4.9128165,4.6711464,5.1744094,4.882019,4.208764,4.5477858,4.7488,4.3868933,4.9732876,5.075826
2001-07-16 12:00:00,4.8526664,4.9741187,4.269772,4.321059,5.048683,5.182561,4.809405,4.962957,4.7759576,5.2389274,4.7413816,4.167539,4.3696384,5.09025,4.4554677,4.970956,4.8884244,5.4527597,4.617058,4.4871874,4.879498,5.0069785,4.871153,5.0709105,4.382747,5.108242,4.824253,5.0998764,5.2766724,4.739959
2001-08-16 12:00:00,4.457863,4.2532263,4.4669476,4.8117404,5.2252464,4.767931,4.852877,5.762836,5.3439484,4.6445985,4.4356103,4.683414,5.110142,5.085662,5.0208006,4.7789993,5.258703,5.4656143,4.3659506,5.1199355,5.938132,5.4824624,4.8000026,5.6261,4.75148,5.053043,4.829883,4.967079,4.8254557,4.9081974
2001-09-16 00:00:00,5.918346,5.2478027,5.4382925,5.712638,6.2294235,5.609496,5.5838747,6.571493,5.2703013,5.653958,5.1253037,5.209358,4.894856,5.7303386,5.2076416,5.597091,6.2878366,5.235121,4.9776406,5.4759192,6.0647073,4.986315,5.1352067,5.863602,6.3942766,6.234663,5.4891386,5.114603,6.1901956,5.4573593
2001-10-16 12:00:00,6.154717,6.108323,5.494325,5.7052865,5.818922,5.6150827,6.3325453,5.747317,5.644418,5.8995585,5.4830985,5.9691763,5.4128914,5.980441,6.3524404,6.15056,5.428826,6.0655894,5.7957954,6.788618,6.564061,5.630967,5.909244,5.1714883,5.5414467,6.2487607,5.9684525,6.0154743,5.7075706,6.292264
2001-11-16 00:00:00,6.3312206,5.452824,5.9805384,5.8623514,5.487522,5.5099344,5.2876945,5.660737,6.226553,5.5378466,5.8414807,5.350211,5.4265366,5.5413694,5.7987185,5.355729,5.187861,5.595697,5.7277284,5.877212,6.0240784,6.170038,6.690433,5.7389317,5.253399,6.024277,6.3790445,5.4937596,5.1983104,5.8607006
2001-12-16 12:00:00,6.040552,6.224336,4.8636146,6.40033,5.3687344,5.7919445,5.480968,5.6709976,6.6821313,5.320695,5.464962,5.5974803,5.880537,5.862688,5.673055,6.108903,4.998,5.8512845,5.9035215,5.4451456,5.3438244,5.8798823,5.6467996,5.868901,6.0389323,6.236089,5.415604,6.0210752,5.713043,5.6876736
