time,r1i1p1f1,r4i1p1f1,r5i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r8i1p1f1,r7i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1
2000-01-15 12:00:00,5.73437,4.356989,4.5801086,5.763758,5.2390866,5.9258213,5.7728477,5.8371296,5.458106,5.1098146,6.0932226
2000-02-14 00:00:00,6.8396463,5.258825,5.8487434,6.9420953,5.9689384,5.781271,4.9208207,5.924153,5.5125146,5.3474,5.501781
2000-03-15 12:00:00,5.7208834,6.1375012,5.5497684,6.2325954,5.911909,5.8156734,5.8547854,5.983599,5.3730884,5.9652033,5.7787533
2000-04-15 00:00:00,5.6041446,5.4264474,5.72687,5.6347694,5.399025,5.8947678,5.706023,5.1920924,6.93552,5.522047,5.505221
2000-05-15 12:00:00,5.0790486,4.9736648,5.0265307,5.9247246,5.475915,5.5892415,6.2691674,4.4035244,5.654169,6.364766,4.9508386
2000-06-15 00:00:00,4.96286,4.5398507,4.976956,4.4578757,4.918484,4.6926193,4.7002554,4.9088345,5.1862426,5.4694705,4.3526263
2000-07-15 12:00:00,4.549757,4.322463,5.3081336,4.5271163,5.093504,5.0575438,5.2016644,5.096682,4.9610696,4.273657,4.474194
2000-08-15 12:00:00,5.554701,4.6402297,4.9639807,4.666016,4.912556,4.923127,4.3285885,5.1093993,4.9654236,5.2286267,5.655039
2000-09-15 00:00:00,5.6839523,6.171842,6.405292,6.327389,5.9904256,5.6371603,5.7611847,6.2701893,6.35072,5.495155,6.100486
2000-10-15 12:00:00,5.792063,5.64815,5.8774824,5.674747,5.530362,6.261919,6.2189054,6.604463,6.3016376,5.604639,5.5404563
2000-11-15 00:00:00,5.4134297,5.504062,6.585421,5.3833127,5.7957654,5.553093,5.736752,5.5229206,6.260141,5.899473,5.606466
2000-12-15 12:00:00,5.221177,5.579871,5.4076214,4.756187,4.8018456,5.364577,5.2538533,5.9883633,5.8018045,5.7493877,6.2686486
2001-01-15 12:00:00,5.067597,6.420298,5.3905845,5.8257637,6.103958,5.961913,5.914756,5.936655,6.2486687,5.919874,5.260161
2001-02-14 00:00:00,5.592085,5.6369944,5.707794,5.009076,6.000773,5.016296,4.6750937,5.425137,5.509741,6.041405,5.886331
2001-03-15 12:00:00,6.4377575,6.582462,6.226858,6.0853863,5.6782694,6.2206283,5.6186185,6.206068,6.9000254,6.0980773,5.627998
2001-04-15 00:00:00,5.1929593,6.1967306,5.7495174,5.3630786,6.531214,5.2256994,6.1382337,5.197237,5.214048,6.743671,5.7667747
2001-05-15 12:00:00,4.8295765,4.8589807,5.4290104,5.3113394,5.292561,6.510347,5.5568175,5.018112,5.218046,5.5411663,5.521746
2001-06-15 00:00:00,4.607726,4.7036953,4.8124256,4.995943,5.3565097,4.122373,5.3065457,5.125919,4.1150675,4.7965455,5.304315
2001-07-15 12:00:00,4.4198413,4.7764673,4.4321814,4.708721,5.140626,4.907518,4.888883,4.8524213,5.518452,4.3754926,4.8707128
2001-08-15 12:00:00,4.5999374,5.107462,5.3498516,4.569804,5.344303,5.1017513,4.6993766,4.17261,5.349471,5.1783805,5.0158257
2001-09-15 00:00:00,6.1370716,5.90051,6.132713,6.0991125,6.4522104,6.1188703,6.105135,5.6898727,6.3318834,5.6610627,5.3223376
2001-10-15 12:00:00,5.889502,6.4689345,6.0269856,6.04337,5.2121735,5.838378,5.8232274,5.958753,5.960288,5.949201,5.3861814
2001-11-15 00:00:00,4.9541974,4.685572,5.494363,5.4997687,5.497125,5.251585,5.4706273,5.458723,5.6921535,5.6869984,5.8180532
2001-12-15 12:00:00,5.824045,5.498182,5.834693,5.3204727,5.5804415,5.590526,6.1228743,5.099826,5.5497155,5.530221,5.976609
2002-01-15 12:00:00,5.4783425,6.278524,5.0132804,5.067331,6.040862,6.8171525,5.602423,6.9066477,5.512739,5.400876,6.0376244
2002-02-14 00:00:00,5.873965,6.3172097,5.539749,5.736383,5.176277,6.6627407,6.329195,5.63505,5.9437757,5.6281195,5.2437296
2002-03-15 12:00:00,6.2678647,5.55101,4.8254952,5.070139,5.27585,5.7127695,5.113005,4.987049,5.437521,6.4685993,5.63164
2002-04-15 00:00:00,5.760198,6.229823,5.343967,5.0930524,5.6856027,6.197691,5.0704465,5.3479133,6.871449,5.9986835,5.2721505
2002-05-15 12:00:00,4.7411966,4.7276034,5.751275,5.6180234,5.3439693,4.772876,5.576592,5.396659,5.700855,5.835542,5.2260666
2002-06-15 00:00:00,4.5506234,4.7767143,5.0424447,4.6472387,5.228979,4.182869,4.54684,4.673465,4.91019,4.876128,5.0525584
2002-07-15 12:00:00,4.322064,4.973435,4.881029,4.680494,4.8984594,4.7377067,4.137919,5.0952353,5.046822,4.571957,4.221211
2002-08-15 12:00:00,5.3726788,5.2797422,5.5482917,5.06014,4.9250693,4.699384,5.1539345,5.136137,5.4939556,5.3570805,4.5413623
2002-09-15 00:00:00,5.209592,6.2458444,5.074595,5.2023163,5.852599,6.517243,5.3837194,6.0083456,5.3329444,5.4817996,5.678256
2002-10-15 12:00:00,6.3495092,6.0643177,5.2298145,5.3018894,5.0939937,5.5234904,6.269456,6.423442,6.0169916,6.117096,5.900259
2002-11-15 00:00:00,5.7504425,5.512646,5.3970857,5.6368084,5.2317,6.335567,6.0999074,6.0893054,6.123809,5.3125687,5.6753135
2002-12-15 12:00:00,5.6498733,5.774774,5.2234387,5.2695227,5.262145,6.1489873,5.5703135,5.555435,5.7173862,6.2015905,5.1266804
2003-01-15 12:00:00,6.167322,5.071657,5.9846907,5.1376843,4.930048,5.3095126,5.2903705,5.4556484,5.9436626,5.762643,5.003806
2003-02-14 00:00:00,5.6753135,6.0092196,4.908181,6.166024,5.0182223,6.639674,5.1673512,6.0072722,5.4406376,5.403441,5.2501884
2003-03-15 12:00:00,6.249683,6.5560374,6.367122,5.71274,4.518915,6.09233,5.5001926,6.461273,5.571982,5.845179,5.134067
2003-04-15 00:00:00,6.665701,6.557899,5.484212,6.0956964,6.1235924,5.654867,5.8011646,6.022643,6.5445013,6.306026,5.1952724
2003-05-15 12:00:00,5.6575108,5.625159,5.2745113,4.925075,5.6348486,4.8540754,4.912467,5.2015967,5.212019,5.3949,5.3424764
2003-06-15 00:00:00,4.626481,6.0610895,4.8330274,5.1171227,5.0634995,4.515574,4.9943247,4.7359443,4.551495,4.870972,4.667742
2003-07-15 12:00:00,4.5341544,4.544696,4.8448834,5.298912,4.5181003,4.9864836,4.2235622,4.2860785,4.7697196,4.8965573,4.6975203
2003-08-15 12:00:00,5.123987,4.4978375,5.449229,4.9930058,5.2340503,5.572804,5.6449203,5.168374,5.0533657,6.249308,5.5948987
2003-09-15 00:00:00,5.254328,5.446554,5.8585258,6.0684953,6.1020017,5.6445003,5.6322565,5.804635,6.098537,6.5661902,5.9884777
2003-10-15 12:00:00,6.3496222,5.6679683,4.571211,5.8773384,6.063891,6.3769217,5.5532174,5.742495,5.813757,5.5225806,4.904531
2003-11-15 00:00:00,5.8096204,5.9612336,5.687033,5.652032,5.190243,6.007496,5.473828,5.8727136,6.246619,6.15278,5.526406
2003-12-15 12:00:00,6.010564,5.045322,5.486947,5.6642094,5.053565,5.6790085,5.369206,5.533261,6.0239286,6.2403917,5.1088147
2004-01-15 12:00:00,5.793992,5.463947,5.6241183,5.4633737,5.071531,5.0825357,5.2637153,6.4781694,5.707655,5.659841,5.386564
2004-02-14 00:00:00,5.043803,6.588955,5.536977,5.535403,5.635974,5.6451864,5.4979773,6.1051803,5.4231315,6.344141,5.640253
2004-03-15 12:00:00,5.8506966,5.6960397,5.5109997,5.3562655,5.496155,5.2129326,6.4458346,6.637866,6.165243,5.659729,5.8388433
2004-04-15 00:00:00,6.500679,6.0155516,6.0462027,5.413471,6.7196345,5.852383,6.1570983,5.870332,6.064948,5.5392447,5.0870795
2004-05-15 12:00:00,5.317703,4.377138,4.858395,4.64372,5.253384,5.537166,5.8155875,5.2155743,5.139897,5.0187235,4.6500964
2004-06-15 00:00:00,4.5374303,5.4400883,4.5833464,4.7164154,4.758204,4.894582,5.1882877,5.0016446,4.826339,5.342959,4.347007
2004-07-15 12:00:00,4.3057156,4.842058,5.155203,5.2540555,4.7855716,4.9234066,4.902186,5.0557766,4.599802,4.786198,4.6388755
2004-08-15 12:00:00,4.9567122,4.921873,5.1774073,5.194376,4.65212,4.7761,6.17928,5.5860324,5.2205486,5.2570834,4.437195
2004-09-15 00:00:00,5.8855243,5.903266,5.9197135,6.063326,6.168468,6.6925716,6.3960385,5.9993954,5.449394,6.279035,5.743406
2004-10-15 12:00:00,6.0987353,5.7250943,5.8456187,6.1985493,5.7609005,5.4105496,6.0097995,5.8616247,6.201334,6.0634437,5.522367
2004-11-15 00:00:00,5.2906113,5.943705,5.235016,5.4158792,5.2521453,5.698023,6.1456337,5.754279,5.490034,5.0659122,5.533094
2004-12-15 12:00:00,6.2283564,6.044091,5.4966474,6.074115,5.3357143,5.1750016,5.2701163,5.401486,6.101631,5.9259286,5.400615
2005-01-15 12:00:00,5.7261853,5.780493,5.6090307,5.8451824,4.777311,5.76574,5.9177165,5.112031,4.9490266,6.121584,5.5491824
2005-02-14 00:00:00,5.014349,5.150856,5.7170057,6.577985,5.1283154,5.7659783,5.569332,6.2234735,6.8203745,5.9543757,6.697968
2005-03-15 12:00:00,5.782001,6.081847,5.0248,6.2198853,6.2403927,6.2810636,5.4405875,5.5347195,5.812004,5.9024925,5.702483
2005-04-15 00:00:00,6.0654883,6.1944566,5.3625975,6.793968,5.6841297,5.4711404,5.524816,5.4979377,5.711076,5.7332163,4.8079023
2005-05-15 12:00:00,5.870496,5.4777656,5.070742,6.748955,5.382626,5.5076866,5.6631045,5.4481673,6.7722034,5.897631,4.907338
2005-06-15 00:00:00,5.6121383,5.7115054,4.039145,4.693221,4.7579455,5.692352,4.8546968,4.851363,4.811992,4.4565806,5.1796765
2005-07-15 12:00:00,4.737511,5.160104,4.8406544,4.4799213,5.1935782,4.872881,4.9106107,4.39702,4.771892,4.807946,5.0986276
2005-08-15 12:00:00,5.209085,5.112731,5.5677524,5.381997,5.527188,5.0452695,5.2642612,4.606039,4.641885,5.990112,4.6317673
2005-09-15 00:00:00,5.998898,6.4454246,5.7748837,5.951197,5.541143,5.219605,6.5449557,5.973467,5.776303,5.6990314,7.033176
2005-10-15 12:00:00,5.6643066,5.395207,5.950369,5.418097,5.7441506,5.9593906,6.633384,6.2316737,6.245592,5.6936,5.4772053
2005-11-15 00:00:00,5.905627,5.756401,5.3889,5.210722,5.99853,5.039449,6.146837,5.358328,5.808511,6.1128745,6.4131513
