time,r1i1p1f2,r2i1p1f2,r7i1p1f2,r9i1p1f2,r6i1p1f2,r5i1p1f2,r4i1p1f2,r8i1p1f2,r3i1p1f2,r10i1p1f2,r22i1p1f2,r14i1p1f2,r18i1p1f2,r21i1p1f2,r23i1p1f2,r26i1p1f2,r17i1p1f2,r16i1p1f2,r15i1p1f2,r13i1p1f2,r30i1p1f2,r19i1p1f2,r27i1p1f2,r20i1p1f2,r25i1p1f2,r28i1p1f2,r12i1p1f2,r11i1p1f2,r24i1p1f2,r29i1p1f2
2000-01-16 12:00:00,5.7939425,6.5391693,5.5904107,5.273364,5.6673207,6.265587,6.6652536,6.049479,5.1944838,5.441143,6.616046,5.230378,5.05196,5.5805616,4.754546,6.003395,5.9152517,5.7834167,6.6018476,5.6795835,6.505572,5.3784027,5.934708,5.9892874,5.694588,5.854627,5.366039,5.7874904,5.806529,5.955146
2000-02-15 12:00:00,6.086718,5.9953966,5.997899,5.7237244,5.3533287,6.0193205,6.145331,5.907735,5.283032,5.52087,6.853827,5.5194616,4.889432,5.5882177,5.2748914,5.222519,4.900428,6.264172,5.334497,4.7819953,5.4294724,5.9041815,6.3701925,6.5737696,6.1789374,6.7694674,5.4040613,4.9365897,5.6088243,5.9513335
2000-03-16 12:00:00,4.56499,6.246314,6.219482,5.3793364,5.5764017,5.670705,6.1422205,5.520433,5.340491,5.7763968,5.170511,6.490252,5.4321275,5.459684,5.5643854,6.918485,6.6505938,4.401777,5.772555,5.192977,6.6831255,6.3172445,5.579043,4.985147,5.6970863,5.2093916,5.0807104,5.217019,5.4212327,5.4432306
2000-04-16 00:00:00,5.8409743,5.196435,4.8071365,5.519458,5.797699,6.4153686,4.8134236,5.245394,4.5489955,5.535553,5.114276,6.5327697,4.440236,6.0802407,5.9871826,5.592327,5.780092,5.2341604,5.2826014,5.614109,5.5606437,5.058524,4.786763,5.4189606,6.14729,5.505118,5.0181117,4.726219,4.7096815,4.6381264
2000-05-16 12:00:00,4.8689275,4.481389,5.7999654,4.750942,4.915288,4.609124,4.9930096,5.131943,4.469632,5.3270407,4.5660467,6.1119866,4.4713964,6.2014337,5.4577374,5.2853174,6.1489625,4.9302034,4.5501547,5.1355133,4.962924,4.7196264,5.762438,5.2102265,5.0167904,4.8179474,4.9260564,4.5729737,5.1894846,5.390985
2000-06-16 00:00:00,4.0675774,4.1760926,5.522785,5.285336,4.7328043,4.366765,5.002777,4.4793344,4.481305,5.138255,4.9707565,4.9697695,4.12811,5.127685,4.517888,5.1552324,4.682059,4.424526,4.246043,5.5110545,5.077544,5.2259064,5.2297544,4.8189154,4.6950607,4.8491817,4.0413027,4.648533,4.673118,4.7201514
2000-07-16 12:00:00,5.184708,4.754674,4.679483,4.9823813,4.518444,4.935555,4.894841,6.073278,4.976081,5.629263,4.337643,4.3361297,3.7873428,4.9724975,4.3543844,4.5870533,4.3733687,5.0299134,4.7320085,5.6763897,4.9035387,4.913414,5.5034666,4.5372243,4.8099823,4.520883,4.905578,4.54152,5.8867235,4.3807597
2000-08-16 12:00:00,5.74535,4.9755754,5.2484355,5.146483,4.7734942,4.7651854,4.9841866,5.5497203,4.5180273,5.9550543,5.4827547,5.605544,4.614608,6.105571,5.3099165,5.2707705,4.684661,4.875539,5.1878786,4.8423066,5.013121,5.701213,5.5031204,5.565589,4.535937,4.962176,5.0343494,5.7702436,6.488223,5.0642786
2000-09-16 00:00:00,5.602767,5.9077334,5.941224,5.059026,5.487872,6.124059,5.6528807,6.193,4.9422674,5.202792,5.099002,5.5472803,5.380828,5.1472216,6.272018,6.154662,5.4137564,5.3607287,6.079937,5.3403883,5.8844995,5.828369,5.8850245,5.2800927,5.605426,5.8843613,5.5002418,5.516618,5.903614,6.209399
2000-10-16 12:00:00,6.1749496,5.9395814,6.240959,5.367246,5.389913,6.0550013,5.410836,6.076603,5.115298,5.266195,5.7050276,5.696387,5.688098,5.4615602,5.6566634,6.5826187,5.4803953,6.012347,6.1045,5.2503395,6.044307,5.8648787,6.266874,5.4038057,5.983509,5.8320527,5.159758,5.2569947,6.4536843,6.005536
2000-11-16 00:00:00,5.228976,5.860635,5.2883806,5.173777,4.829713,6.014263,5.1819916,5.9176235,5.032748,6.1533713,5.173677,5.5340276,5.753064,5.285306,5.3660626,5.743165,5.4453015,5.5667834,5.304782,5.4451265,5.522233,5.223407,5.808217,5.7147293,6.2529564,6.2830696,5.7688093,5.165575,6.208751,5.504171
2000-12-16 12:00:00,6.584531,5.3383794,6.1562905,5.518743,5.530017,4.7269807,6.8871217,5.6515055,5.6114607,5.501474,5.7360067,6.105593,5.1681066,5.4905705,5.658564,5.458066,5.6053457,5.1415606,6.5218925,5.7573624,4.8521276,5.455525,6.601842,5.837119,4.9763155,5.5647326,4.8114834,5.7901325,5.8564453,5.455409
2001-01-16 12:00:00,5.8203325,6.3693304,5.4917808,5.084918,6.521356,6.380691,6.4818444,4.9266057,6.8670363,5.6627865,5.269573,5.838857,5.279354,6.601268,5.2748046,5.03909,5.626469,6.497346,5.269623,5.220643,6.6101484,4.8068147,5.2901583,5.4780602,6.6128197,5.829625,5.2140026,5.331606,5.450743,6.2935905
2001-02-15 00:00:00,4.7287226,5.3537674,5.7089095,5.6161175,5.2196627,5.5661073,5.973943,4.9950247,5.583588,5.7545595,4.834013,5.820706,5.577053,5.396756,5.7365413,5.450179,5.9551806,5.5843554,4.9447794,7.1856003,4.959272,5.576872,4.938669,4.3250084,5.2162576,5.726267,4.837208,6.146094,4.978575,5.9744534
2001-03-16 12:00:00,5.5030313,4.97088,5.0565467,5.1849313,5.730194,4.8050284,5.6845603,5.6873307,5.3490353,6.3213596,5.127575,5.5382957,5.33654,5.5434647,6.0753546,4.95719,5.828368,5.8962603,5.179145,6.098008,5.1146545,5.1498694,5.1647515,5.010742,6.2588115,5.9497795,4.9577193,5.662907,5.66886,6.2566347
2001-04-16 00:00:00,4.97872,6.513429,4.936448,5.0599413,5.539456,5.2447853,6.309375,5.2122993,4.231705,5.9952803,5.404067,5.609,4.3879485,5.4351516,5.8714905,5.9693985,5.0058537,4.964796,5.2613535,5.4480777,5.639206,5.052479,4.6977534,5.4090767,5.5471177,6.654319,5.1883745,6.2775307,6.167836,5.3686385
2001-05-16 12:00:00,5.859221,6.720823,5.4550333,4.5220833,4.9171267,4.897544,5.7757425,4.6056037,4.6556215,4.414332,4.933363,4.5354896,5.3648157,4.564056,5.6360326,4.675836,5.003235,5.313833,4.4168234,4.5436006,4.513475,5.324299,4.627848,4.8158445,5.08332,5.233287,5.664228,5.42558,5.2950993,4.818427
2001-06-16 00:00:00,4.3400474,5.2526145,5.2796974,4.482577,5.1770835,4.825095,5.228305,5.092452,4.508257,4.91241,4.8956814,4.550035,4.7150526,5.289642,4.1584487,4.607163,5.4753733,4.108996,4.734382,4.2761064,4.5195475,4.5342836,5.090599,4.567998,4.808692,4.8392625,4.663226,4.6680384,5.832676,4.3572817
2001-07-16 12:00:00,5.036151,5.2329187,4.4856744,4.1366234,4.6851053,4.9029746,5.1795807,4.7986984,4.734837,4.572613,5.672709,4.264529,5.5915184,5.3084207,4.5251646,4.96515,4.4619856,4.8270135,4.9400144,4.7895737,4.5161295,4.8175774,4.7023764,4.426749,4.957299,5.150335,4.3988037,5.0150065,4.532933,4.8067627
2001-08-16 12:00:00,5.76607,5.248717,5.159372,5.129187,5.176757,5.6882415,6.3731866,4.7748146,5.065818,4.7705016,5.124543,5.0460167,4.793166,4.91207,6.172227,4.9004908,5.1177483,5.802555,6.1518965,4.949164,5.7396917,4.988051,4.880805,5.636487,4.4992533,4.565544,5.3087416,5.843009,4.8472986,5.0840354
2001-09-16 00:00:00,5.391716,5.561007,5.9431033,5.2502985,6.356974,5.3800035,5.6330447,5.0571837,5.3131266,5.8500547,5.558609,5.05892,5.502507,5.7100286,6.0225,5.3487654,5.294254,5.5689716,6.0070524,5.430847,5.3608885,5.9540763,5.6641927,5.5417395,5.9768286,6.084176,5.7369127,5.893363,6.3388734,5.6156793
2001-10-16 12:00:00,6.21033,6.0175424,5.5986323,6.4290285,5.917799,5.7587404,5.4313745,5.5528603,5.0599675,5.7574596,5.612765,5.975693,5.675241,5.3429947,5.8677855,4.7124996,6.18867,6.252406,7.092322,6.178126,5.633586,5.9636254,6.0758405,5.632554,6.161497,5.2578874,6.099929,5.978354,6.0795374,5.997723
2001-11-16 00:00:00,5.979834,5.889443,5.3008375,5.3713493,6.232986,5.7884912,5.9214354,5.592704,5.591498,5.735394,5.4648333,5.168873,5.0811577,5.1031327,5.9728026,5.9898543,5.0605745,6.330088,5.655197,5.546444,5.485148,5.47547,5.5985193,4.7088323,5.4914136,6.0113087,5.8873887,5.9114003,5.551629,4.940343
2001-12-16 12:00:00,6.2758117,5.0846505,5.491825,5.7017317,5.7493467,5.7448034,5.4665155,5.224402,5.935375,5.5681944,5.241038,5.8641253,5.2120247,5.8057823,5.402109,5.8101897,6.079286,5.865749,5.569075,5.32702,5.6341715,5.7591414,6.190538,6.541317,5.8646073,5.2043314,5.5572195,5.9376903,5.141662,5.5105186
2002-01-16 12:00:00,6.0456185,5.8684607,5.5888023,5.2132864,5.2354445,5.790372,5.9157467,5.688775,5.5790396,6.0936456,5.561113,5.7390504,4.942201,4.7728505,5.575489,6.545775,5.527659,5.913143,5.5701346,5.7324767,5.817163,5.5271773,6.0372458,5.5350013,6.1504474,5.780717,5.1043878,6.099557,5.310453,5.34918
