time,r11i1p1f1,r10i1p2f1,r11i1p2f1,r13i1p1f1,r13i1p2f1,r14i1p1f1,r10i1p1f1,r12i1p1f1,r12i1p2f1,r25i1p2f1,r9i1p2f1,r8i1p2f1,r9i1p1f1,r4i1p1f1,r4i1p2f1,r5i1p2f1,r6i1p1f1,r7i1p1f1,r7i1p2f1,r8i1p1f1,r5i1p1f1,r1i1p2f1,r19i1p1f1,r20i1p1f1,r21i1p1f1,r22i1p1f1,r20i1p2f1,r21i1p2f1,r1i1p1f1,r19i1p2f1,r24i1p1f1,r39i1p2f1,r3i1p1f1,r38i1p2f1,r24i1p2f1,r40i1p2f1,r3i1p2f1,r36i1p2f1,r37i1p2f1,r29i1p2f1,r27i1p2f1,r2i1p1f1,r25i1p1f1,r26i1p2f1,r22i1p2f1,r23i1p2f1,r23i1p1f1,r28i1p2f1,r18i1p1f1,r18i1p2f1,r17i1p1f1,r16i1p1f1,r15i1p2f1,r15i1p1f1,r14i1p2f1,r2i1p2f1,r35i1p2f1,r34i1p2f1,r30i1p2f1,r17i1p2f1,r16i1p2f1,r32i1p2f1,r31i1p2f1,r33i1p2f1,r6i1p2f1
2000-01-16 12:00:00,4.959941,6.2414117,5.0177364,5.546487,5.3883367,5.231504,5.8373666,5.7257953,4.7060113,5.3790474,4.988566,4.6593947,5.0503645,4.9011188,5.468745,5.9831557,3.916636,5.2243776,5.4597425,5.469495,5.86123,5.485841,5.3705893,4.5128236,5.20194,5.4334908,4.686784,5.510649,5.1963854,5.775871,5.281535,5.5394125,5.052584,5.549728,5.604864,4.8405695,4.8569617,5.1154957,6.0727983,5.734889,4.797606,5.9887495,6.060341,5.471591,4.6137137,5.348661,5.114245,5.5670676,5.6766744,5.579301,5.0288286,4.915992,4.95019,5.387542,4.806964,5.380672,4.6059613,5.8978777,4.8598533,5.022847,5.3279924,6.0748377,5.5404577,4.9039655,6.3371596
2000-02-15 00:00:00,4.8116846,5.1093163,4.732917,4.9297957,6.178447,4.9245224,6.2027564,5.179055,6.228665,5.600581,5.7142305,4.6797705,5.28695,5.257562,5.1168733,5.5131483,5.788667,5.040115,5.1397448,5.5535545,6.437416,6.178,6.660309,4.918707,4.8878546,4.9590063,4.974366,5.401328,5.53294,4.3048754,4.2869864,5.974454,5.5144362,5.9529915,4.859109,6.216246,5.167343,4.2077336,5.9433317,5.4355135,6.6256323,6.958598,6.0284424,6.0223794,4.9208236,5.9033456,4.298193,5.157343,5.7923603,6.399958,6.1136913,5.126628,6.486181,6.0142508,5.233896,5.7006645,5.5848417,6.1428175,4.8354917,5.623254,5.7221146,5.7167273,5.856291,5.4504724,5.170526
2000-03-16 12:00:00,6.1680055,4.9285097,5.1400657,4.8041472,5.6042223,5.1913376,5.613837,4.827375,5.4392366,4.64054,6.7337203,4.838187,5.5146255,5.4932885,6.0240912,4.942983,5.3173394,5.012522,5.4564133,5.4456854,5.8488913,5.1706715,5.5212536,5.7730293,6.2356124,5.295822,4.769624,5.4254065,5.2132998,5.006147,6.3160534,4.479201,5.1993756,4.5790153,5.2457986,5.887484,5.4079475,5.2819595,5.820245,5.4785466,5.878131,6.1092896,5.8073387,4.8473983,4.8184686,5.1314344,5.406989,5.3196397,4.986771,5.8896194,5.698395,4.7718067,5.862685,5.993982,6.285723,5.1480184,5.7436967,5.226558,4.701051,5.527936,5.126175,5.7224646,6.013939,5.283055,5.1857233
2000-04-16 00:00:00,5.119637,4.490137,4.353572,4.4464426,6.103181,5.3309402,6.3661056,4.743675,6.0005856,5.285519,5.2620935,5.4398394,5.108231,5.292371,5.4817514,5.149442,5.9773817,4.934659,5.229644,5.1113524,5.7960954,5.5596957,4.993109,5.3490043,5.6961164,4.699524,4.609456,4.810825,4.8288755,5.0925493,6.2235785,4.3919907,4.596965,5.1267295,4.8330817,6.094483,5.364591,5.173083,5.019226,5.0688195,5.5556903,6.03105,5.6548147,5.5472035,4.9529986,5.0488577,5.6669436,5.7563653,4.717506,4.9894767,4.965835,4.8554,4.7216196,4.4889326,4.9985805,4.3739023,5.2832565,5.090651,4.780426,4.921624,5.2514944,5.6143126,5.0738015,5.8644347,4.966906
2000-05-16 12:00:00,4.322614,4.3087363,4.5066657,4.579685,4.5818143,4.294444,4.0520873,3.4911644,4.5769386,3.9085603,4.4587793,4.609582,4.9206524,5.77624,4.972435,4.812928,4.772062,4.171702,5.456035,4.6966796,4.147964,4.505931,4.924618,5.2512393,4.95231,4.302538,4.771945,4.966615,5.0397873,4.799061,4.440994,4.3575864,4.7696295,4.207125,5.2077694,5.41096,3.957051,4.9890714,4.8052344,4.2452154,4.611198,5.0285664,5.3206244,4.6271095,4.3433905,3.9267712,4.7502675,4.9872904,4.6251183,4.392964,4.6077642,4.229677,4.3951173,4.7614913,4.361928,4.4257317,4.9249086,4.6882315,4.759019,5.071656,4.9148684,4.8564043,5.7142434,4.6148047,4.3840156
2000-06-16 00:00:00,4.50935,4.509132,4.6593947,4.4955645,4.819949,4.46102,4.35516,3.9890087,3.9799423,3.641447,3.9988923,4.302298,5.5679917,4.3799124,4.094236,3.9592042,4.671791,4.919118,4.144912,4.6449027,4.378515,4.533622,4.5918164,4.0082655,3.9217095,4.5565376,4.266079,5.018083,4.2038274,4.5757103,4.0683293,4.561837,4.4578753,4.0964775,5.2873063,4.1381044,4.8955407,4.8615565,4.5013437,4.1828036,4.220927,5.3149652,4.8210807,4.220679,4.3179197,4.0227585,4.594187,4.2874537,4.328214,5.365574,3.8995152,3.8893123,4.634119,4.3017697,4.4700007,3.9093342,4.2608576,4.0255747,4.465018,4.825404,4.209525,4.1305113,3.8080125,4.167062,4.1738114
2000-07-16 12:00:00,4.14651,4.4062023,3.8886867,5.374914,4.374995,4.810853,4.414996,4.0972567,4.8260765,4.155505,4.962263,4.568372,4.3519554,4.460252,5.1411996,4.4638047,4.683048,4.315464,3.650879,4.112672,4.5342383,4.698428,4.1763215,4.4271398,4.6323023,5.504733,4.6075125,4.6549177,4.469817,4.929307,4.3344646,3.962735,4.882609,3.925178,5.7292128,4.6342225,5.3689365,4.2369194,4.5667324,4.3880615,4.2279587,4.923587,4.5530233,4.137245,4.8740206,4.197053,4.9096017,4.6353617,4.655746,4.454401,5.02593,4.12674,4.039171,4.9707017,4.084905,4.2935004,3.8401024,4.1553087,4.519613,3.98523,4.914304,4.846455,3.9608834,4.358724,4.746924
2000-08-16 12:00:00,5.1183968,4.613311,4.532824,5.387252,5.678913,4.357213,4.4818583,5.003978,4.7498918,5.071128,4.8179865,5.3012567,5.009905,4.8367486,5.0706224,4.2369843,4.7321215,5.052386,4.5325546,5.316249,4.940819,4.78582,4.8081846,5.33994,4.8437467,5.4459004,4.6494775,4.9568677,4.700673,4.501895,5.137604,5.139534,4.940296,4.9174204,4.7453833,4.789963,5.204782,4.221344,4.915738,4.5825553,4.8463497,4.885848,5.032586,4.3683124,5.31417,4.420685,4.5122285,4.319751,5.101774,4.8354673,5.056938,4.629242,4.409812,4.486575,4.5935736,4.570143,4.449164,4.4026155,4.705247,4.395381,4.505451,4.4856553,4.5537896,4.16477,4.5934896
2000-09-16 00:00:00,4.6518354,4.991727,5.2416167,5.3205347,4.820541,5.6059036,5.0980034,4.8715725,4.3027167,5.02677,5.06258,5.1763725,4.50895,5.051066,4.604364,4.0995584,5.158351,5.586504,4.8042145,4.898385,4.905648,4.957828,4.859352,4.802001,4.5936594,4.6126924,4.44423,5.2605247,4.8317094,4.6954565,4.8540993,4.9763107,5.5372763,4.748137,4.964914,5.165784,4.608836,4.9802065,4.9606547,4.5681067,4.270864,4.8056254,5.6708474,4.9942484,5.5579762,5.1429586,4.999681,4.349038,5.8399973,4.9555817,5.4896092,4.7066126,4.6483946,5.1176143,5.156363,4.924741,4.471507,5.0586257,5.094709,4.621746,5.127629,5.087592,4.8324757,4.90724,5.194195
2000-10-16 12:00:00,4.679948,5.3797197,5.1536775,5.255752,5.5884027,4.8479257,4.827174,5.2144737,4.937678,5.2891574,5.7195015,4.9830346,5.253289,5.5582423,4.954274,4.65615,5.4373665,4.90606,5.094794,6.1263914,4.575593,5.65574,4.932587,5.198233,4.5962095,5.1594543,5.237632,4.922246,5.3335123,5.0940924,4.7853904,5.160632,4.6574736,4.929161,4.699727,5.4839826,5.037764,5.2491846,4.9250345,4.9876275,5.3743105,4.677126,5.120098,5.1384783,5.021634,4.708073,5.0485725,4.978632,4.954404,5.721248,5.3341837,5.430549,4.4804726,5.3554163,4.857932,5.582494,4.642633,5.424826,4.84599,5.6711435,4.855784,4.9992995,5.0797377,4.522376,5.0310416
2000-11-16 00:00:00,5.3095984,5.620589,4.8217673,6.0518417,5.2721434,5.5397882,5.69187,5.23371,5.5215354,5.098262,5.3509974,5.6344604,4.9051094,5.395443,5.012889,4.7315154,5.753106,5.2520385,5.6001368,5.1131797,4.904023,5.738446,4.9540052,5.514724,5.5128794,4.767398,5.3357177,5.5800314,4.8973565,5.2767267,5.250216,4.60003,5.357661,5.384088,4.577567,6.09464,4.740298,5.698034,5.106986,5.1590757,5.314225,5.947683,4.6393113,5.981173,5.1863546,5.7331734,4.416433,5.975315,4.8888884,5.4519134,4.8983054,5.1419516,5.226533,5.690819,5.8839254,5.25488,4.915043,5.885461,5.390914,5.237822,4.9501944,6.500309,5.317018,5.719359,5.9418173
2000-12-16 12:00:00,4.7267003,5.4871254,5.285599,5.498248,4.5677447,5.5068307,4.801426,5.4563513,5.6773286,5.48239,5.279419,5.719136,4.9473457,6.3468494,5.1566515,4.607106,5.2031326,5.2163997,5.0356765,6.007135,5.424708,5.039592,6.074361,4.615538,5.42694,5.4686193,4.6033583,5.0413833,6.0065675,5.012764,5.2575874,5.46897,4.365643,5.6281533,4.651826,4.677363,4.9330087,5.0184107,4.641317,5.3014708,4.8441896,5.6605134,6.3972945,5.4554434,4.9967275,4.92496,5.5476665,5.237859,6.037416,5.623029,5.422236,4.8336234,5.1467695,4.990926,5.2672243,5.83107,5.585103,4.4148555,5.906297,5.256701,4.9101167,6.330286,5.5275383,5.367054,4.9814124
2001-01-16 12:00:00,5.6719217,4.765792,5.2299986,5.0657687,5.86034,5.2217155,4.942846,6.3045263,6.0126424,4.887252,5.822225,4.4875264,4.647255,5.17015,5.8890905,6.432669,5.3185196,5.4815836,4.8262563,5.1032057,6.190417,6.5160227,5.4983926,4.6725183,4.6184883,5.7048044,5.7470202,5.027696,5.744768,6.199012,5.2808657,5.363944,4.5239205,5.300042,5.0934067,5.424678,5.41575,5.744307,6.5186005,4.3512707,4.6818748,5.103617,6.8034987,4.7474566,5.4860992,4.3814993,6.0652514,5.234147,4.8570027,4.9839716,5.703823,5.1413107,5.159597,4.6815853,6.5567846,5.642536,4.827387,5.312668,5.807159,5.239329,5.4533324,5.7822113,5.9862604,6.185466,5.851165
2001-02-15 00:00:00,5.7188215,5.682741,4.445634,5.1777086,5.479782,4.946233,5.0046663,6.65005,6.5347757,5.12366,4.908554,4.8433547,4.4098573,6.2255363,4.93303,5.3484,6.0169725,5.340636,4.5763884,5.2997637,5.1497254,5.386878,4.8606286,4.8442984,5.408203,5.0089054,4.685437,4.813572,5.463112,5.170392,5.4472146,5.5698633,4.650735,6.332164,5.518617,5.5225296,5.627843,5.572669,5.5370693,5.9640374,5.2975416,5.2131896,5.7261496,5.7976937,4.3858323,4.625994,5.327933,4.5115104,5.591742,5.9287195,6.1556892,5.803016,6.1477814,5.5965333,4.7340155,5.8300924,5.20267,5.986412,5.628244,6.214934,6.2423067,5.4352984,5.91912,6.1288424,5.796767
2001-03-16 12:00:00,6.023458,5.431273,5.0338554,5.2278223,6.1224213,5.54177,4.705334,7.2376223,5.949348,4.907998,5.7017374,5.0301175,5.164331,4.9758444,5.448935,5.312812,5.21568,4.2824836,5.021895,5.4795623,6.398359,5.387433,4.6327443,5.621199,5.6249685,5.1537905,6.022252,5.469878,5.4319367,5.5562234,5.889032,5.827526,5.169534,5.7154794,5.553091,5.0305314,5.9211564,4.2569056,5.1435137,5.412407,4.985695,4.8999953,5.4020624,7.148591,5.9859,5.6493783,5.039052,5.389298,5.062214,5.1740313,5.072827,4.5070047,5.4759374,5.3805285,5.4441147,5.7632456,5.754669,5.690323,5.522237,4.4987235,5.668796,5.794589,5.071994,5.2780905,5.55322
2001-04-16 00:00:00,5.2501783,4.901175,4.674346,5.047233,5.8530602,5.772397,4.6254196,6.180219,5.7200446,4.5002484,4.6627975,5.6903405,5.149108,5.635583,4.921085,5.2852716,5.3765426,4.5083437,4.160947,5.699722,6.3746185,4.7003365,5.3726373,5.0062175,4.766734,5.7001925,5.663298,5.107564,5.0872965,6.7145677,5.739314,4.893018,4.6743674,5.9664526,4.4791975,5.0182767,5.473048,5.4133024,5.246787,4.620402,5.1854486,5.5369,5.0892787,5.278984,5.058471,5.9635925,4.902326,6.047265,5.091291,6.7030134,4.9794426,5.1639657,5.2643924,4.9157753,5.3212857,5.3866606,4.900868,5.326318,4.969066,6.344648,5.3661966,4.8104463,4.029153,5.408437,5.223443
2001-05-16 12:00:00,4.449438,4.432056,4.393111,4.9151263,4.397602,5.768495,4.0058827,4.436501,4.7654386,4.731281,4.5609064,4.987839,4.6780376,4.8627863,4.539698,4.6616898,5.1334076,4.2476735,4.445417,4.861869,5.2032447,4.991716,4.7183676,4.583407,4.6114197,4.478988,4.2757483,5.008577,5.376277,4.61908,4.7104216,5.112165,3.9011455,5.5616555,4.1490793,4.519454,5.009919,5.0713487,6.019255,4.3443213,4.570643,4.724031,4.394994,5.117266,5.291512,4.8997426,4.8629746,4.3509507,5.44066,4.0478134,4.132206,4.643197,4.942309,4.5808372,4.260366,4.18298,4.0629835,4.880643,4.9371176,5.255356,5.4710493,4.2803016,4.588346,5.6862173,5.8661184
2001-06-16 00:00:00,4.223411,4.580014,4.782277,4.551427,4.4532127,4.0551357,4.649746,4.3260956,4.676558,4.2630033,4.5321646,4.640717,4.506933,3.9330916,4.010985,4.337776,4.4674416,4.4075346,4.3492513,4.0780663,5.2333364,4.2149444,4.4726944,4.790333,4.289653,4.2778788,4.6434937,5.015305,3.7950187,4.38864,4.1359825,4.6817064,4.456282,3.957541,4.405587,4.734391,5.1875334,4.8930664,4.097975,3.9013915,4.2848024,4.388415,4.2925463,4.542448,4.1134515,4.1354766,4.2962594,4.8751116,4.338103,3.9435112,4.3974724,4.285018,4.665606,4.8022513,4.4984183,5.1809616,3.766327,4.8229074,4.0517197,4.7354918,4.5052137,4.6456347,5.1506233,4.374752,5.1148477
