time,r9i1p1f1,r11i1p1f1,r13i1p1f1,r15i1p1f1,r6i1p1f1,r22i1p1f1,r25i1p1f1,r23i1p1f1,r1i1p1f1,r12i1p1f1,r20i1p1f1,r21i1p1f1,r24i1p1f1,r119i1p1f1,r118i1p1f1,r127i1p1f1,r117i1p1f1,r125i1p1f1,r126i1p1f1,r120i1p1f1,r121i1p1f1,r122i1p1f1,r106i1p1f1,r149i1p1f1,r105i1p1f1,r103i1p1f1,r101i1p1f1,r150i1p1f1,r104i1p1f1,r102i1p1f1,r136i1p1f1,r129i1p1f1,r128i1p1f1,r130i1p1f1,r137i1p1f1,r133i1p1f1,r131i1p1f1,r145i1p1f1,r132i1p1f1,r135i1p1f1,r134i1p1f1,r108i1p1f1,r109i1p1f1,r107i1p1f1,r116i1p1f1,r115i1p1f1,r124i1p1f1,r123i1p1f1,r111i1p1f1,r110i1p1f1,r143i1p1f1,r138i1p1f1,r139i1p1f1,r140i1p1f1,r147i1p1f1,r144i1p1f1,r146i1p1f1,r148i1p1f1,r112i1p1f1,r113i1p1f1,r114i1p1f1,r142i1p1f1,r141i1p1f1,r4i1p1f1,r3i1p1f1,r2i1p1f1,r7i1p1f1,r14i1p1f1,r10i1p1f1,r16i1p1f1,r17i1p1f1,r18i1p1f1,r19i1p1f1
2000-01-16 12:00:00,6.4551115,6.115983,6.3407383,6.3618126,6.0771637,6.5838175,6.292134,5.7968183,6.255927,6.783604,5.906197,5.466197,6.9129953,5.9371176,6.3628364,6.3951635,6.669313,6.070467,6.356935,6.448815,5.0926185,6.504704,6.442444,6.186035,6.4004464,6.5176225,6.180754,5.6227765,6.47714,5.8968163,6.668705,6.002865,6.477124,6.381201,6.547372,5.899232,6.0702796,5.957747,6.1796627,5.3334165,5.8908744,6.654656,6.3140492,6.6717014,6.2310357,6.1285315,6.071082,5.9263906,6.5274405,6.002454,5.7931657,5.49027,6.2565846,6.4390926,6.1910954,6.358677,6.6075706,6.3747115,5.889232,6.301848,6.4007316,5.6118965,6.3285217,5.91484,6.1238656,5.989791,5.3941455,7.1013446,5.364533,6.2809143,6.018281,5.9922366,5.665255
2000-02-15 12:00:00,6.4824624,6.8963065,5.4426827,5.9463205,5.912796,6.4251156,5.597372,5.9267397,6.33189,7.3057747,5.985299,6.375205,5.592881,6.5120544,5.4433765,5.9661613,5.967593,6.291064,6.652314,6.1979065,6.630317,6.3966537,6.226256,5.7668543,6.695862,6.991325,6.075143,6.2217627,6.286634,6.0103292,6.2562647,5.8290567,6.6352854,5.9044914,6.2140646,6.4374933,5.7648826,6.1378455,5.9795685,6.487987,6.35015,6.426035,7.1693935,7.221197,6.266114,6.514782,5.919706,5.512332,5.677041,6.71751,5.39371,6.8321085,6.0958295,5.5809336,5.773669,6.637751,5.7818155,6.382827,5.060118,6.2716575,6.453853,5.574019,5.9478498,6.127631,6.3993936,6.412756,6.470055,6.662538,6.607075,6.5055985,5.504557,5.845095,5.8317313
2000-03-16 12:00:00,5.787382,5.756363,6.076421,5.683439,5.6630197,5.705494,5.9785504,5.4437957,6.202967,6.5950556,7.033737,5.073046,6.2369666,6.521319,6.0523047,7.1048074,5.900189,5.7275214,6.219924,5.7835975,5.618408,5.3158298,6.629952,5.8948374,5.3116493,6.178456,5.794445,6.029957,5.946576,5.5858636,6.337774,5.499322,6.6802635,6.1306343,5.607008,5.325661,6.0377417,6.603184,6.516911,6.2588487,6.3960404,6.4781566,5.806377,5.560293,5.986503,6.6404853,5.2735095,6.327508,5.521018,6.093095,5.9780827,6.4426894,6.1457376,5.8862786,4.923097,6.7455025,5.7370095,6.0086756,5.5587063,5.5237904,6.191434,5.684771,5.7953553,5.8634424,5.548246,6.589213,5.057384,5.936024,6.24188,5.961097,5.8984013,5.738015,6.38998
2000-04-16 00:00:00,5.2083015,5.6026525,5.518377,5.626626,5.348627,5.947911,5.63953,5.9023175,5.2423897,5.9906216,6.862803,6.9888754,5.608842,5.3590117,5.402166,6.241111,6.593919,6.2418256,5.0007873,5.3422728,5.72472,5.7324843,5.5276756,5.6691217,5.9536066,6.012773,5.483964,6.133928,5.948526,4.829915,7.305167,5.4369216,5.1769466,5.471874,5.5871115,6.000667,5.4919925,5.5045524,6.105473,5.628966,5.8133044,7.2831826,5.714805,4.9140525,7.5567484,6.3268723,5.814172,4.8098216,5.668325,5.3219843,5.707768,5.4946375,5.7070394,5.878956,5.3206453,5.844241,6.17985,6.424816,5.0495706,5.8341737,5.646182,5.986765,5.265096,5.247753,5.457635,5.532493,5.276719,5.8545275,4.3899755,5.964905,6.3499646,5.3439145,5.428522
2000-05-16 12:00:00,5.3154855,4.8571095,4.8004794,4.9303813,4.86838,5.2563815,5.771768,5.6236053,5.409276,5.1913896,5.17183,5.4198675,4.8781214,4.4248786,5.141034,5.278245,4.3015676,4.713249,5.183293,5.4457436,5.054355,4.803286,5.026645,5.3814654,4.969253,5.1783895,5.155999,5.1193686,5.7887397,4.790533,5.3191376,4.9030113,6.146487,4.494967,5.721124,5.01236,5.2258706,5.017548,4.670044,4.9078183,5.216836,5.190642,5.1129827,4.6626153,5.017072,5.205953,4.9225254,4.9620137,5.397204,5.5991373,5.177974,5.129859,5.901585,5.0856133,4.6248064,4.7902665,5.3464956,5.151333,4.9134054,5.0621543,4.9407916,4.977101,4.5003824,4.8122115,4.9387927,4.9323235,4.9903526,5.1260376,4.9975023,5.404939,4.6494975,4.839355,5.0929723
2000-06-16 00:00:00,4.6279426,5.4806075,4.78889,4.7136106,5.371146,4.9082823,5.3272486,5.1846676,4.3378716,4.532656,4.763492,4.9066935,4.3107815,5.109648,5.963132,4.936771,4.955453,4.372689,4.7758484,4.8476934,4.785427,4.862455,4.5814943,4.762447,4.940413,5.8650455,4.6748996,5.0250006,4.4830527,5.0620894,4.7608695,4.933147,5.337137,5.0858955,4.6785045,4.4245543,4.4557843,4.2183595,5.018012,4.958932,4.50165,5.3136206,4.935473,5.2994146,5.136907,5.1079226,5.7877374,4.9960246,5.3844614,4.6221623,4.8400507,4.9737563,4.900144,5.244134,4.695633,5.33088,5.0825205,4.7918296,5.3379602,4.9202957,4.48101,4.703182,4.478179,4.832935,5.067276,4.4995494,4.7653327,5.706579,4.783428,5.506517,4.9774084,5.637505,5.513007
2000-07-16 12:00:00,5.4549613,5.2653875,5.017292,4.938131,4.806009,4.6847177,5.298071,5.0123343,4.6115627,4.4012327,5.484992,4.482591,4.7899137,5.0718393,5.119852,4.942104,4.355894,4.7115836,4.887762,4.6272554,4.509573,5.314892,4.739039,4.775877,5.5571613,4.5131984,4.753567,4.8281217,5.1996455,4.972834,4.859812,4.951554,4.7380853,5.214312,4.953579,4.5362372,4.994409,4.985448,4.8031893,5.2206683,5.0042963,4.767438,5.105599,5.550497,5.3149333,5.207959,5.1627345,4.6332455,5.2041564,4.9543037,4.9430585,5.705291,5.287109,5.1924033,4.9189463,5.5155916,4.7279053,4.784979,4.61996,4.722988,4.5739317,5.511341,5.6496983,5.3014474,5.548185,5.2698817,4.571508,5.187167,5.3265395,4.9689636,5.1108,4.701071,4.5921593
2000-08-16 12:00:00,5.5952606,4.697069,5.3679147,5.582289,5.5257306,4.7701635,4.865263,4.99476,5.1838984,5.4957104,5.4011497,4.9968395,5.2342305,4.5220118,5.2391825,5.141158,4.6005974,4.7811074,5.438335,4.7449274,5.096685,5.631046,5.3261886,4.8973255,5.724163,5.248536,5.0885563,4.9568176,4.587196,4.591846,4.914742,5.277488,5.832957,5.560897,5.04545,4.8882685,5.7994866,5.5636525,4.706084,5.681607,5.3125706,5.1356535,5.9520535,5.0051327,4.7771163,5.288766,5.1223884,4.8361506,4.87746,5.4393225,5.1519213,5.7757607,5.237705,5.5594707,5.2865267,5.1025114,4.797877,4.6201053,5.041932,5.2310567,5.1948915,6.1619253,5.229692,5.0847588,5.280304,5.1820974,4.8745656,5.097914,4.95012,5.1993446,4.9271264,4.9201255,4.7423224
2000-09-16 00:00:00,5.408024,6.0450983,5.8118553,5.098075,5.040243,6.11851,6.2059064,5.9365187,6.185251,5.897898,5.8855705,5.442132,5.3106623,5.5209427,5.65023,5.489395,5.4171867,5.4571276,6.0228314,5.6432257,5.859342,5.640343,4.929873,5.6336703,5.8188343,5.219018,5.5911913,5.7067986,4.908865,5.5372043,5.0489945,5.680378,5.7476974,6.5115633,5.448104,5.3827252,5.922401,5.106045,5.8339844,6.202226,5.823988,5.120654,5.66319,5.53386,5.349656,5.695812,5.3398843,5.642143,5.5031667,6.260165,5.6782846,6.044819,5.3913507,5.5682316,5.459577,6.0244293,5.4157586,5.1716113,5.687266,5.3273764,5.5388765,6.38964,5.99226,5.431544,5.253665,5.9584107,5.139289,5.77342,5.8394566,5.5483856,5.7892485,5.3107157,5.4635553
2000-10-16 12:00:00,6.347735,5.4816036,5.8498487,5.861207,5.7025743,6.0194116,5.8886485,6.131614,6.091388,5.553215,5.2038774,5.749037,5.699142,5.4096684,5.9330773,5.6372695,4.9286246,5.2651596,5.7963204,5.4006567,5.4620695,5.650494,5.796641,5.642211,5.705868,5.356179,5.8864326,6.2022715,5.400558,5.938152,6.2490788,5.962121,5.9391637,5.108229,5.3958974,5.446719,5.6685266,6.0983553,5.4133363,5.9488106,5.7726746,5.552149,5.6229873,5.3396554,5.812245,6.0083785,5.6573844,6.1786304,5.9108024,5.956399,5.7918196,5.614065,6.5256705,5.466689,5.010362,5.642564,5.3801646,5.923871,5.235345,5.1024766,5.9023495,5.739144,5.976937,5.6624327,4.903802,5.551526,5.985734,5.80949,5.649671,5.5543237,5.9194727,5.871658,5.965176
