time,r1i1p1f1,r2i1p1f1,r5i1p1f1,r4i1p1f1,r3i1p1f1,r7i1p1f1,r6i1p1f1,r9i1p1f1,r10i1p1f1,r8i1p1f1,r1i1p3f1,r10i1p3f1,r2i1p3f1,r3i1p3f1,r9i1p3f1,r8i1p3f1,r4i1p3f1,r5i1p3f1,r6i1p3f1,r102i1p1f1,r101i1p1f1,r3i1p1f3,r5i1p1f2,r10i1p1f2,r11i1p1f2,r4i1p1f2,r9i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r3i1p1f2,r2i1p1f3,r4i1p1f3,r5i1p1f3,r1i1p1f2,r2i1p1f2,r1i1p1f3,r3i1p5f1,r6i1p5f1,r10i1p5f1,r7i1p5f1,r8i1p5f1,r2i1p5f1,r4i1p5f1,r1i1p5f1,r9i1p5f1
2000-01-16 12:00:00,5.266599,5.87774,5.661197,5.881546,6.5404224,5.6406155,5.1696754,5.373569,5.1212506,5.6410336,5.193384,5.525713,5.900613,6.538671,5.3924856,5.632261,5.799122,4.8342953,5.900181,5.764925,5.9620385,5.8349433,5.487682,5.2208185,5.5695744,4.8424807,5.0261593,5.3978705,5.994378,5.6707587,5.7455273,5.5842996,6.2432795,6.2130084,5.8005657,5.463974,6.1977787,6.055274,6.346872,5.5485516,6.0539494,6.013745,5.908826,5.858881,5.721365,5.5131245
2000-02-15 00:00:00,5.3736954,5.710091,5.1742816,5.862533,5.696881,5.878788,4.6688647,4.918401,5.4299283,5.3447204,5.8961487,6.0508776,6.284672,5.8601475,5.3722577,5.50827,5.294674,5.6572614,5.80074,5.265653,6.033002,5.520479,5.553819,5.3655133,5.502364,5.3368845,5.2739277,5.1184716,6.0720096,5.711042,6.2314005,6.2666574,5.218407,6.276166,5.15111,5.3128643,5.248303,6.0065928,5.2109814,6.183075,5.336056,5.2314067,5.395724,6.3519797,6.027722,5.621598
2000-03-16 12:00:00,5.290205,4.9038424,5.218705,5.6444716,5.6956177,5.401764,5.2911587,6.82113,5.9204764,5.7827992,5.595324,5.5348597,4.904232,6.092186,5.020653,5.0201893,5.8993487,5.5028777,5.0150623,5.7691784,5.4024353,6.146292,5.7431283,5.162286,5.1798553,5.694016,5.5008016,5.395669,5.369084,5.3544736,6.608427,5.7152395,5.099334,5.3545184,4.8539104,5.886394,5.661169,6.2408667,6.0679607,4.748438,6.2405367,5.2696743,5.0983615,5.597207,5.459301,5.6598697
2000-04-16 00:00:00,5.3524384,5.212539,5.260808,6.601245,5.528216,5.44885,5.4080877,5.506098,4.9584737,5.2894983,5.665034,6.3088493,5.773673,5.429959,5.6157913,5.4137435,5.5489883,6.13597,5.801893,5.332758,5.5571647,5.847701,6.046402,5.208797,5.1735907,5.179139,5.335952,5.4579983,4.9138565,5.9675975,5.46739,5.7465854,5.594755,5.7024765,5.315857,5.29109,5.3748875,6.0051355,5.038012,5.3629227,5.3566933,5.2271457,5.6478114,5.354761,5.352512,5.598016
2000-05-16 12:00:00,4.9167876,4.5315714,5.3278666,5.5740576,5.2040796,5.2340198,5.063563,5.3012214,5.6447973,5.2241898,4.8958707,4.908112,5.064455,5.792735,5.3255825,5.668931,5.373405,5.380162,5.074518,4.9498425,5.910093,4.8463736,5.0097485,5.5371747,5.252458,4.830243,5.4950824,5.8755913,5.4933224,5.739662,5.678032,5.3884954,5.4694586,4.924735,6.037281,5.294367,5.563784,5.30381,4.998269,5.512125,5.5429263,5.698512,5.808546,5.346285,4.588518,6.008198
2000-06-16 00:00:00,4.5563893,4.6999283,5.804888,4.755563,5.2664814,4.1102085,4.908459,4.9073553,5.1442814,5.89715,4.8459973,4.9970627,4.4922647,5.3372536,4.8236837,4.637669,5.7353654,4.8970575,4.7759686,5.1051884,4.5136547,4.634338,4.963071,4.8734217,5.3303614,5.075746,5.4734316,4.6724854,5.6369686,5.033978,4.489323,4.6965766,4.9685874,5.029986,5.5790453,4.7117105,5.4509683,5.631714,4.6597304,4.3875675,5.0392737,5.003464,5.360807,5.0105195,4.627234,5.193384
2000-07-16 12:00:00,4.0887885,4.963017,5.132036,4.5586753,5.1307664,4.4981904,4.9205265,4.5245905,4.273532,4.645651,4.5014744,4.029042,5.0185623,5.0006275,4.9128027,4.671775,5.130756,5.0400515,5.353112,5.114416,5.5634108,4.7014675,5.086379,5.339413,4.521971,5.2136993,5.006574,5.044112,5.1167755,5.0605907,5.359001,4.7996926,4.852547,4.7026157,4.8069406,4.835818,4.6560006,5.263136,5.2385387,4.4862566,5.0108194,5.529268,4.7518344,4.6856112,4.473742,5.5665183
2000-08-16 12:00:00,4.756656,4.5123334,5.191398,4.7134686,4.6824417,4.874064,5.1008735,4.803377,5.3868365,5.725512,4.7649546,5.0588803,4.596807,5.316823,5.2175536,4.9978085,4.829883,4.9315333,4.6976833,5.3888803,4.732622,4.535105,4.799313,4.87518,5.352813,5.9406753,4.9923606,4.829496,4.9255204,5.110676,5.2959347,4.8833933,4.7646503,4.642893,5.218566,5.5571256,5.234476,5.063675,4.717581,5.287441,4.8704376,4.850746,4.7631664,4.954817,5.1732755,5.1344876
2000-09-16 00:00:00,5.871364,5.866139,5.265497,5.569131,5.9284377,5.3768287,5.8684254,6.036861,4.9607224,6.3147893,5.2992654,5.1651382,5.3305545,5.3858976,5.3876166,5.3331475,5.3318634,5.3512964,5.0466,5.354586,4.8250723,5.2589283,5.0881033,5.091709,5.870987,5.3185434,5.278391,5.659085,6.0418367,5.428495,5.888786,5.964228,5.37142,5.9368954,5.3016534,5.634732,5.859603,5.1933813,5.6249986,5.9457493,5.2964144,5.295591,5.3632374,5.5000935,4.8950377,5.420844
2000-10-16 12:00:00,5.4882326,6.2886486,6.107755,5.484426,5.774241,5.375012,5.95731,5.4577026,6.1088657,5.604087,5.8327866,5.52482,5.7321014,6.2675757,6.017953,5.1921396,5.5578437,5.538605,5.347117,6.0180655,6.0463157,6.279222,5.6627893,5.0899906,5.941989,6.2910275,6.1654873,6.0315495,5.095907,5.825288,5.3808994,6.182785,5.95699,5.64589,5.9257116,5.8584585,5.5966797,5.81934,5.3515406,5.5766897,5.756377,6.3877287,5.332395,6.1494274,6.6658506,5.5624485
2000-11-16 00:00:00,6.128551,6.224014,6.0208273,5.7541018,5.2650623,6.378076,6.3017263,5.449357,5.903691,6.0455036,6.2290583,6.7179136,5.6417418,5.5658264,6.4814672,5.4401846,5.85298,6.704461,5.7824435,5.3688025,5.91482,6.4089637,5.3327928,5.7652936,5.7340183,5.8531027,5.6959743,5.791615,5.6764965,5.9656663,5.0719585,5.893076,5.724583,5.7700553,5.6782093,5.359168,5.674313,6.9668865,7.355716,6.1270843,6.313383,5.8295,4.954095,6.550825,5.3540354,6.462592
2000-12-16 12:00:00,6.521257,5.1784906,5.7727304,5.2310367,5.17408,6.2981286,6.187772,6.0714593,5.655086,5.7211456,5.9317102,6.1755576,5.426166,5.512928,5.166197,5.892756,6.0200453,5.365435,5.359434,5.4205465,5.89892,5.1341767,5.379031,5.8626604,5.3024917,5.2637515,6.1486645,5.8911915,6.278349,5.112215,5.6910477,5.7131414,5.774961,5.625342,5.641427,5.519078,4.9043937,5.8986077,7.0262265,5.668224,6.166653,5.8520613,6.21756,6.1949377,5.629179,6.070818
2001-01-16 12:00:00,5.1620607,5.6446233,5.9486823,5.718161,5.5695863,5.4608927,6.385351,5.722728,5.5931244,5.457758,5.953247,5.485929,6.2992563,6.354236,5.5881033,4.754185,5.0907354,6.1793156,5.924478,5.7270374,5.7614117,5.871276,5.5068326,6.1891656,5.540814,5.2370834,5.88493,6.094509,5.5206137,6.089097,6.0232415,5.8848276,5.5024896,5.1616116,5.3916974,5.445209,5.4701376,6.2548227,6.0813904,6.316752,5.449295,5.4966335,5.2487545,5.8769903,6.1454096,5.7862577
2001-02-15 00:00:00,6.1642303,6.1071405,5.3594785,5.885886,5.481139,6.2524853,5.5331016,5.4377766,5.843409,5.894487,6.3469334,5.9265943,5.481943,6.5991836,5.6348147,6.196527,5.839469,5.9796042,5.785847,5.664298,5.7236347,5.989009,5.6749253,4.786905,5.595767,5.1364155,6.2471256,5.191524,5.480845,4.97445,5.2853518,5.810198,5.8270993,5.261978,5.985502,5.297965,5.36757,5.528233,5.723528,6.3068614,5.7365932,5.7516007,5.46753,5.9045434,5.400229,5.5421305
2001-03-16 12:00:00,5.964893,5.196879,5.838437,5.5929956,5.9196153,5.834028,5.6173725,5.067912,5.5316963,5.1765203,6.1244082,5.188502,5.124705,5.4348545,5.8879538,5.5008125,5.3882236,5.188199,5.915871,5.521409,5.752767,5.3422937,5.4892673,5.1024213,5.5664163,5.387737,5.700312,5.551557,5.3268757,4.955718,5.5905704,5.3016677,4.970383,5.377633,5.022522,5.943228,5.3732862,5.2846503,5.6717234,5.2938747,5.859588,6.0967,5.7355595,4.9248905,5.3805747,5.3130026
2001-04-16 00:00:00,5.364479,5.0482373,5.291502,5.6241984,5.734182,4.9986906,6.000572,5.089352,4.8719134,4.8660836,5.360415,5.460668,5.4338155,6.626083,4.935747,5.556199,5.504601,5.6854486,5.451499,5.566907,5.692596,5.2668405,4.749094,5.9006915,5.2882547,5.56091,6.513345,4.94199,5.6074924,4.9894094,5.027416,5.4313126,5.3432064,5.419958,5.194676,5.094469,4.906189,5.1673326,5.511321,5.2526145,5.5201163,5.563036,5.2698417,5.4791484,4.9033074,5.4466457
2001-05-16 12:00:00,5.1642737,5.386671,4.9892426,5.4700775,4.987022,4.810953,4.9702187,5.7297277,5.32233,5.252222,5.320282,5.186093,5.4831643,4.668923,5.1632757,5.149035,4.8547063,5.8232856,5.2867346,5.663332,5.2015514,5.353214,4.7369285,5.2718716,4.6629305,5.6355724,5.5207934,5.141814,6.0351973,4.921151,5.6554785,6.0970335,4.94159,5.1197457,5.35128,5.3364444,5.2347436,5.234324,4.9992557,5.826167,5.2755427,5.432497,5.6303234,5.7678685,5.3353415,5.7343893
2001-06-16 00:00:00,4.6260395,5.4364605,5.3478484,4.810679,5.666736,4.699979,5.8104,4.7281246,4.667692,4.7079926,4.6573157,5.3982306,4.772584,5.597557,4.790424,4.1975727,4.870883,4.7739654,4.8821673,5.984609,5.178194,4.480854,5.2462387,4.8980255,4.8830447,5.101905,4.873628,5.1949973,5.4388046,5.137064,4.767786,4.983623,4.503324,4.8381586,5.3444934,4.9893513,4.354292,5.261678,4.508684,5.340256,4.8569098,5.3501334,5.581806,5.709816,5.1927633,5.2677884
2001-07-16 12:00:00,5.4462337,5.002323,4.7558136,4.4282703,5.416411,4.551488,5.5806003,5.313795,4.250362,4.6081214,5.306795,4.7113886,5.4383774,5.486778,4.6018624,4.7756834,5.061977,5.112357,4.8591423,5.0302367,4.5780463,5.4576902,5.48776,5.212421,5.282789,4.2875504,4.902363,5.0456653,4.6292925,4.5580606,4.5310783,4.9932795,4.6295896,4.382966,5.0250072,4.3670263,4.7101874,4.5361633,4.9473677,5.5877905,4.541479,5.3005443,4.603226,4.390215,4.829108,4.75593
2001-08-16 12:00:00,4.9457746,5.1836014,4.9596477,5.0324535,5.3018436,4.605665,5.6267414,5.9291897,5.3606434,5.2739096,5.5373497,5.3640656,5.4234543,5.098438,5.525454,4.8646827,4.9922886,5.124203,4.7986507,5.2932086,5.740964,4.872196,5.15827,5.5589795,4.870592,4.5915203,5.1101856,4.8388376,4.841673,4.945681,4.892931,4.9580555,4.7318306,4.2481456,5.07626,4.6488786,5.4947453,4.7987146,4.6203156,5.3351574,4.8561535,4.5821924,5.1479526,4.790916,4.917682,5.1063333
2001-09-16 00:00:00,5.229335,4.736541,5.236092,4.993661,4.949692,4.939395,5.3394227,5.223839,5.7858753,5.408119,5.3817134,5.5281644,5.4441886,5.3030944,5.356577,5.1316366,5.185684,5.5261006,5.3467054,5.458314,5.326088,5.926672,5.345274,5.261227,5.3702884,6.275239,5.11025,5.585924,5.615316,5.6871824,5.551932,6.045019,5.6160607,5.346551,5.2925196,5.63433,5.6624303,5.0135865,5.0217586,4.9328556,5.3660135,5.7603397,5.0312333,6.065212,5.5780606,5.5846667
2001-10-16 12:00:00,6.202085,5.489003,6.4329596,5.672415,5.763853,6.235502,6.2058854,6.2995815,5.779153,5.5541096,5.8231564,6.0768986,5.3155427,6.580816,5.6860843,5.6819715,5.7957497,6.160177,5.3663716,5.689472,5.687039,5.8586326,5.9835353,5.7858624,5.5618753,6.0561347,5.702262,5.217513,5.3023825,5.664904,5.5848556,6.0576954,6.063236,5.64589,5.8536205,5.8130245,5.9273705,5.847184,5.6176553,5.892429,5.706517,6.067967,5.995545,6.6789985,5.915914,5.923882
2001-11-16 00:00:00,5.4495325,5.1712856,5.456092,6.028428,5.829237,5.7375617,5.449235,6.0375085,6.416563,6.7959347,5.942336,6.200953,5.648841,5.571872,5.831421,6.3176923,6.205149,5.672093,5.25664,5.7297845,6.122561,6.296049,5.4114532,5.298756,6.0196533,5.7747293,5.421418,6.1450553,5.7672358,6.022566,5.7156744,5.43888,5.6443653,5.5264096,5.3669086,5.920557,5.2417808,5.3688383,6.623308,6.0920033,6.0939,5.7135143,6.1264153,5.870154,6.1833444,6.3757343
2001-12-16 12:00:00,5.124403,5.560568,5.6978216,6.0728993,5.9425235,6.157264,5.5330133,5.6209927,5.651351,6.1028314,4.9601398,5.5125613,5.5161414,5.8010383,6.7369685,6.394799,5.644538,6.1226516,5.88969,5.760511,5.822933,5.3792977,5.462647,5.8527184,6.1673546,5.7749853,6.0356903,5.650033,5.500506,5.5382075,5.753659,6.443518,6.1773257,5.876601,5.832179,5.3324385,5.873531,6.046883,5.7576165,5.9313774,5.741914,5.6167912,6.0624304,5.637432,5.828152,5.6944795
2002-01-16 12:00:00,5.3377666,5.528055,4.950516,5.654576,5.777682,5.579793,6.3351808,5.7387295,5.3944483,5.585071,6.448286,5.305169,5.781945,5.5032673,5.6777263,5.686902,5.6977057,6.5361576,5.9464626,5.7805996,5.3122597,5.543314,5.4519854,5.458473,5.3085,5.788891,5.8336997,5.78436,5.0521207,5.223831,5.145826,5.125593,5.578938,5.7339945,6.0263987,5.5330224,5.1329184,6.581251,6.5160136,5.71144,5.557312,5.8318095,5.4313736,5.694563,5.7622385,5.93422
2002-02-15 00:00:00,5.485612,5.692636,5.1067243,5.1633782,5.40674,5.463814,5.9513745,5.786421,5.494473,5.9234076,5.3574204,5.961175,6.3348455,6.655201,5.9648676,4.8700695,5.986362,6.2867403,4.838801,5.845866,6.8503704,5.6566854,5.2947745,6.159178,5.3780823,6.101862,5.3678074,5.767969,6.0129905,5.6029754,5.8998775,6.0705643,5.435642,5.2030306,5.801664,5.398725,4.948321,6.1134787,6.118885,5.5620084,5.629097,5.924685,5.709861,5.7226334,5.042921,5.407483
2002-03-16 12:00:00,5.191274,5.8443623,5.377785,5.309255,5.6371264,5.9101915,5.720189,5.535314,5.9827323,5.658104,5.338933,5.3560224,5.6978583,4.8377056,5.3175907,4.8191743,5.6435494,5.378184,5.126692,5.564503,5.8380136,5.4579654,5.1626887,5.156439,5.1108403,5.4963555,6.284807,5.247751,5.44999,5.8508606,5.0967946,6.0689282,4.728866,6.0094213,5.276684,5.872852,5.9605126,5.561086,5.368201,5.481676,6.010681,5.502912,5.403769,5.8907623,5.3638363,5.5187964
2002-04-16 00:00:00,5.7718215,5.362258,5.1053457,5.732931,5.217658,5.42811,7.052512,5.4116,5.4973497,5.407557,5.5999002,4.963892,5.172157,5.458804,5.6204734,5.3313994,5.4147425,5.7462277,5.032186,5.0137277,5.183096,4.856129,5.2069964,5.6979804,5.838308,6.2610097,5.859245,5.4801803,6.015295,5.425752,5.536582,5.814192,5.7443385,6.4324164,4.964508,5.0692167,4.822911,6.1019983,5.765843,5.6721253,5.455235,6.2657423,4.82773,6.141744,5.4608893,5.6229486
2002-05-16 12:00:00,5.696165,5.783167,5.484487,5.8757224,5.235979,6.249161,5.6707196,4.9857206,4.6248646,4.6291065,5.0452337,5.2317653,5.52275,5.0753536,5.4064765,5.513272,5.108944,6.0948205,4.5054483,5.9811516,4.935019,5.4209814,5.507471,5.5798244,5.366091,5.7240925,5.5807486,5.07029,5.474955,5.1789017,5.421906,5.527433,4.9567366,5.08968,5.2844787,5.281502,5.194565,5.498096,5.6618485,4.9351435,5.0858846,5.8418503,5.1502705,5.259701,5.0595126,5.233551
2002-06-16 00:00:00,4.3866076,4.948893,4.823492,4.984461,5.5582995,5.93465,5.0607677,4.4022427,5.0689445,4.6163507,4.827309,4.9227543,4.352952,5.081363,4.3568635,4.9197354,4.662527,5.022505,4.455484,4.716496,5.25885,5.181257,5.6362133,5.766923,5.2800956,5.162985,5.0699487,5.3247056,4.870222,4.918685,4.841436,4.457861,5.1203876,5.2237635,4.762729,5.249685,5.184348,4.923913,5.6345906,4.7065377,5.4445047,5.628856,4.921634,4.991943,5.639017,5.1006413
2002-07-16 12:00:00,5.2906876,5.164955,4.4501133,5.132594,4.706777,4.5188622,4.6163096,5.3257318,4.4335775,5.119166,4.6719546,4.8519807,4.3263116,5.42409,5.0118246,4.7977448,4.8425927,5.3016195,4.8370943,4.6933985,4.9799824,4.71551,4.503357,5.056196,5.4152255,4.935244,4.1797886,4.8400764,4.7333508,6.064438,5.585968,5.1756444,5.154094,4.451376,4.898852,4.90876,5.0898075,5.293713,4.6450644,4.7142835,4.562066,4.4928207,4.992922,4.960266,5.013561,4.334593
2002-08-16 12:00:00,4.9951763,5.5640078,5.3943667,5.23948,4.927277,5.373539,5.443867,5.4294543,4.5859966,5.27933,4.4355936,4.7719183,4.770479,5.2947774,5.3163095,5.2174973,4.6001053,4.730448,4.141448,5.436103,5.120096,5.100399,5.505804,5.18883,5.3486414,4.958904,4.5046673,5.648613,4.7789154,5.5737753,5.4378104,4.553683,5.154379,4.950978,4.5887113,4.6094494,4.913243,4.9855475,5.569998,5.068472,4.7377925,4.282709,4.714051,4.699551,5.0742693,4.8799253
2002-09-16 00:00:00,5.871624,6.2405434,5.521526,5.391279,4.947002,5.3682904,5.6990356,5.9465833,5.799985,5.3213153,5.2385936,5.4389052,5.403417,5.8650417,5.213589,5.721369,5.327321,5.260321,5.3474226,6.013823,5.4210534,6.31821,5.662495,5.1552877,4.9075894,5.328121,5.8248205,5.293844,5.818115,5.170459,5.7327266,5.553924,5.2727637,5.7978263,5.3567433,5.65547,5.238059,5.347965,5.108061,5.318117,5.28076,5.313524,5.5140457,5.3142943,6.132192,6.5536003
2002-10-16 12:00:00,5.7651453,5.9346366,5.6404853,6.011251,6.0173383,6.913168,5.6198993,5.3231277,6.095999,5.677636,5.7452197,6.3240466,5.274606,5.569174,6.9898953,5.3105607,5.66146,5.698583,5.7722135,6.0984244,5.082244,5.1554117,5.67569,5.260313,6.504713,5.2803645,5.953886,5.620352,5.2668357,5.95351,5.035963,5.5942097,5.2488856,5.3924704,5.7385817,6.0930333,5.7787504,5.5563827,6.3773036,5.2753544,6.013477,6.5616603,6.019911,5.68282,5.7920556,5.7006564
2002-11-16 00:00:00,5.619097,5.5654664,6.3227367,5.693502,5.7144313,5.7417264,5.4118624,6.1191144,5.731153,5.5495477,6.291158,6.1373234,5.3184457,5.7756968,6.3359203,5.703819,5.7842956,5.3116326,5.6696415,6.209771,6.8918543,5.642089,5.660143,5.81993,5.942846,6.2017775,5.4550977,6.0259457,5.293218,5.9692154,5.5055933,6.090313,6.17589,6.1473913,5.4374547,5.9844556,5.39956,5.6362104,6.005474,5.272725,5.8424397,5.813366,5.8669405,6.0326405,5.941541,6.3002768
2002-12-16 12:00:00,5.7527323,5.2018237,5.980924,5.3597164,5.5996723,5.840704,5.550445,5.2033978,5.1320834,5.5575957,5.563344,5.332372,5.5975113,5.7979383,5.989645,5.343112,5.5388803,6.433428,6.089518,5.6497445,5.628704,5.5477276,6.18003,6.1119366,5.439853,6.1078625,5.5726933,5.3088994,5.521662,6.2385955,5.607893,5.8240237,5.7449827,5.759523,5.9824896,5.3639812,6.2162395,6.821034,5.9963512,6.0630813,5.8443646,5.220717,5.851185,5.5532336,6.5531874,6.342758
2003-01-16 12:00:00,6.427451,5.86737,5.561447,5.4294543,5.3161383,5.9394407,5.1628246,6.13096,5.511688,5.4981666,5.697053,6.024214,5.021916,5.1842303,6.723302,5.175577,5.2771096,5.83152,5.4015965,5.429896,5.543898,5.627498,5.3033743,5.683376,5.1601467,6.021092,5.888216,5.2819653,4.9704914,4.8680477,5.4521875,6.008896,5.5554166,5.5864773,5.323337,5.7701254,5.9407597,5.45629,5.7296753,6.088905,5.9738812,5.8919086,5.7606874,5.9546833,5.718897,5.460819
2003-02-15 00:00:00,5.362781,5.3596864,5.635453,5.262425,5.4931154,5.6720676,5.6051354,5.6268735,5.195325,5.7595696,5.150808,6.0586348,5.3546705,6.2027225,6.205028,5.5924487,5.252473,5.536074,5.84816,5.8257747,5.6879926,5.8582797,5.6922326,5.502479,5.837148,5.531431,4.824525,4.9218683,5.331686,5.131798,5.442565,5.696452,5.8599167,5.7571,5.3017554,5.1761723,5.426066,5.973973,5.689674,5.423886,5.321577,6.0134897,5.502284,5.992613,6.433899,5.648069
2003-03-16 12:00:00,5.8708673,6.1142187,5.6012506,5.0774336,4.8877583,5.300636,4.96658,6.422578,4.949546,5.232931,5.3062263,5.438666,5.466039,5.61377,5.5947475,5.283439,5.1810355,5.80842,5.883961,5.2276897,5.526872,5.79894,5.728627,5.283002,5.695279,6.6145134,5.4213314,5.5527506,5.351866,5.7630625,5.8604975,5.9690533,5.4687576,5.0612817,5.264077,5.473758,4.9153237,5.8868484,5.2810636,5.361521,6.2517285,5.060399,6.1326075,5.366022,5.8206844,5.653342
2003-04-16 00:00:00,5.0985827,5.7608185,5.3688984,5.3092465,6.6415477,5.546937,5.276933,5.327141,5.6411796,5.1127014,5.385496,5.281378,5.563474,5.754099,5.915775,5.2771444,5.0712533,5.397263,5.7965727,5.3700533,5.096094,5.468352,5.4592004,5.615761,5.562681,5.9973936,5.1709137,5.25907,5.18607,6.097934,5.0817337,6.142163,6.134893,5.6052723,6.148122,5.675882,5.3422947,5.2085323,5.510237,6.351672,6.2232504,5.3941555,5.7204003,5.652745,5.5383563,6.238312
2003-05-16 12:00:00,5.351554,5.0799036,5.2185407,5.5657425,5.167815,5.006468,4.879854,5.9550915,6.612964,5.442676,5.493532,5.3001537,5.9099813,4.6735306,5.6586285,4.8498297,4.774156,5.439499,5.352519,5.136005,5.3161716,6.146792,5.108446,5.1953487,5.7375927,5.416674,5.6781807,5.5777,5.4742403,4.7457123,5.9014173,4.956538,5.564136,5.6030326,5.74132,5.2269464,4.935822,5.2422976,5.335545,5.5562196,5.315368,4.9834347,5.3996606,4.930662,5.571458,5.763871
2003-06-16 00:00:00,4.487168,4.4955106,5.1204324,5.818897,5.331732,4.7818975,5.231768,4.9521585,5.599175,4.98899,5.0178943,5.183294,5.61733,5.1466317,4.898012,4.334993,4.701339,4.884723,4.6007676,5.9343934,5.288568,5.547238,4.792618,4.8136086,5.1687617,5.078294,4.22731,4.177415,4.927593,4.4266,4.4362674,4.8265815,5.4184628,5.406458,4.9109554,4.8574924,4.8954773,4.9478893,5.146143,4.3856945,5.21954,5.0872703,4.6367373,4.7069983,4.878458,6.389089
2003-07-16 12:00:00,5.2297897,3.995479,5.4035325,5.4456058,4.8825583,4.7937427,5.2045016,5.271874,5.0867987,4.434279,4.514813,4.906745,4.637314,4.8573346,4.9530954,4.867899,4.395393,4.609571,5.1587524,5.3173766,4.5554385,5.594772,4.635042,5.1857176,5.1097784,5.343748,4.727992,4.2922344,4.5393276,4.914081,4.593626,4.391283,4.7454896,5.4559956,4.5492563,4.6333,4.7942624,4.811735,4.819859,4.3575096,5.246783,4.8068027,4.2478695,5.153797,4.3684287,5.1803293
2003-08-16 12:00:00,4.9624853,4.996267,6.1025953,4.999422,5.011004,5.81336,4.865559,5.067442,4.9758787,5.3426676,5.378017,5.119794,5.175521,5.2172036,5.436337,5.2152443,4.0199256,5.218751,4.288598,5.242037,4.5159235,5.537969,4.1359406,5.2178946,5.3396964,5.1322236,5.2832203,5.1328692,4.4975204,4.680859,4.7165155,4.698608,4.3848767,5.373307,4.865124,5.4223175,5.478998,5.100547,4.861006,4.8404813,5.006702,4.7711773,5.56408,5.136317,5.1625104,4.7522388
2003-09-16 00:00:00,5.059337,6.081385,5.667211,5.9668355,5.8827066,5.83733,5.6996274,6.0819297,5.454727,5.3547916,5.4775968,5.240144,6.106053,5.4599495,5.270693,5.498419,5.307698,5.5033436,5.324795,4.7793317,5.236215,5.4868755,4.949296,6.169245,5.320524,5.489513,5.893499,5.5677958,6.021916,4.705738,5.6092453,5.1684594,5.971555,5.066669,5.297396,5.440808,5.807287,5.0987535,5.378029,5.2231326,5.953859,5.3610535,5.451146,5.313215,5.518399,6.256714
2003-10-16 12:00:00,5.9290714,5.1947727,5.4856167,5.8254023,5.396213,5.4918523,5.6276374,6.344473,5.5221705,5.599647,5.7868457,6.017873,6.5544534,5.2246532,5.674697,6.401948,5.3842587,5.9895267,6.0501623,5.737147,5.570906,6.0357614,5.496557,5.4724193,6.017611,6.124125,5.667102,6.2301693,5.4787564,5.605326,5.586841,5.428232,5.48743,5.464713,5.6196113,5.7354484,6.262113,5.460518,5.7805114,5.425494,6.0751038,6.143015,5.733203,5.275817,5.8776617,5.4156528
