time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2000-01-16 12:00:00,6.2288876,5.8166213,6.209304,5.8468204,6.240392,4.9232183,6.301839,5.9401975,5.8767557,6.1045313,5.3588433,5.746538,6.1174254,6.0644755,6.096916,6.4883156,6.143708,5.686518,5.7564487,6.7591696,6.457321,6.187002,6.3894277,5.4436398,6.3894167
2000-02-15 00:00:00,6.5674624,5.614017,5.574562,5.359972,5.7557316,5.87993,4.94489,6.1403728,5.5048056,5.6626015,5.2765474,5.573169,5.9937415,7.0303483,5.462583,5.761773,5.549364,5.883533,6.140916,5.3885326,6.1965394,6.227922,5.5934873,5.254564,6.4556665
2000-03-16 12:00:00,6.1073604,5.9581127,5.7388477,5.7333813,6.031698,6.1321335,5.6946845,5.646978,5.460461,5.891242,5.987741,5.3473783,6.035152,5.799821,5.5326343,6.0444202,5.856792,6.4215384,6.084869,5.757164,6.479912,6.214388,6.330912,5.779356,5.9543753
2000-04-16 00:00:00,6.131207,6.4044476,5.8363714,5.8830776,5.88254,5.0619526,6.0527916,5.1688833,6.0080104,5.623907,5.6832232,5.8458743,6.3958225,5.918833,4.876124,5.756102,6.198615,6.799157,5.701762,5.3147645,5.3645344,5.5089664,6.295527,7.080084,6.324331
2000-05-16 12:00:00,5.9795094,5.711137,4.9176354,5.5382147,5.7205234,5.2734275,5.9021955,5.625409,5.868052,5.642748,5.6367135,4.4355016,5.7564526,5.5442433,5.0934277,5.823779,6.3298078,5.8666806,5.486781,5.334905,5.5315895,4.9681106,5.590066,5.1562686,6.285349
2000-06-16 00:00:00,5.2564993,6.1383395,5.1089497,5.5904584,4.409545,5.143327,5.083588,5.2343106,5.0782647,5.2198434,5.455406,4.794112,5.2285414,6.0368595,4.7423806,5.6640263,5.508636,5.0247827,5.075353,5.6822076,5.286111,4.683985,5.3278036,4.946641,5.0327783
2000-07-16 12:00:00,4.552355,5.296179,5.5080676,4.9686713,5.006486,5.9152126,5.585672,5.550474,5.1120405,5.1363916,5.462289,5.791891,5.0196953,5.9923534,4.818758,4.5308533,4.821644,5.151227,4.9772286,5.6879406,5.403133,4.6532187,4.4858418,5.343261,4.6747494
2000-08-16 12:00:00,5.0183134,4.764023,5.7685733,4.748121,4.7793856,5.0671377,6.0282745,5.4756255,5.2927856,5.16908,5.168739,4.9855647,5.4795,5.451292,4.7296505,5.5941944,4.863774,5.8575473,5.159915,5.852494,4.485349,5.3978357,5.6079173,5.0479045,5.2288823
2000-09-16 00:00:00,5.763335,5.4412856,5.7846823,6.188838,5.53056,5.1416397,5.8043694,5.67441,5.901049,5.4129224,5.5873322,5.4410195,5.247882,5.106293,5.2026496,5.1940084,4.916142,5.5099764,5.5450344,5.397704,5.610773,5.680164,5.2157235,5.7595234,5.069236
2000-10-16 12:00:00,5.8118663,5.9599705,5.629801,6.5983562,5.5409956,6.434824,5.767442,6.212503,6.022294,6.3251624,5.841013,5.4519715,5.7016883,5.254497,5.532137,5.3556232,5.466775,5.7679715,4.808464,6.0440297,5.459953,5.508044,5.570393,5.9008994,5.651034
