time,r1i1p1f1,r3i1p1f1,r4i1p1f1,r2i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1
2000-01-16 12:00:00,4.9208617,4.315047,4.315047,4.3903604,4.4965954,4.5706816,5.439619,4.529498,4.725178,4.4969277
2000-02-15 00:00:00,5.1176453,5.388978,5.388978,6.4357257,5.7460775,4.5613923,4.350057,4.8526244,5.6917453,4.895751
2000-03-16 12:00:00,4.330834,4.1562867,4.1562867,4.6344333,5.3571944,4.0966578,4.857284,4.2751718,5.1205306,4.898893
2000-04-16 00:00:00,3.9975767,4.2326317,4.2326317,4.8071537,4.320483,4.5522685,4.500341,4.692886,4.3552794,4.4111843
2000-05-16 12:00:00,3.3946025,4.145901,4.145901,3.9063282,4.2826743,4.244247,3.5443923,4.266776,4.971433,3.5879433
2000-06-16 00:00:00,4.1206055,4.648738,4.648738,3.9719734,3.583228,4.9529667,3.5211058,4.2044587,4.2301135,4.3110204
2000-07-16 12:00:00,4.750435,4.056887,4.056887,3.514917,3.5718462,4.053357,4.0490317,3.8153265,3.389928,3.7643762
2000-08-16 12:00:00,3.2471302,4.302598,4.302598,4.1567483,4.09292,3.5746145,3.4444292,3.979437,3.953643,4.109754
2000-09-16 00:00:00,3.2692394,3.7745404,3.7745404,4.419978,4.3125916,4.7038193,3.98807,3.8004422,4.1240563,3.9845333
2000-10-16 12:00:00,3.299292,4.5408406,4.5408406,4.0464706,3.91621,3.4104385,5.0389996,3.6444428,4.2261386,3.4842107
2000-11-16 00:00:00,4.2192926,4.8451123,4.8451123,3.6482992,4.619953,4.56352,4.1335025,3.7597387,4.283491,4.6683946
2000-12-16 12:00:00,4.6239758,4.1067014,4.1067014,4.187964,4.0714865,4.7708898,5.3226476,4.336855,4.316556,4.2683463
2001-01-16 12:00:00,5.2291994,4.416637,4.416637,3.7926412,4.288778,4.455551,4.627995,4.208666,5.188763,5.766034
2001-02-15 00:00:00,5.448129,4.8502135,4.8502135,4.0101156,5.773877,4.189342,5.2249784,3.9991539,5.503065,4.712075
2001-03-16 12:00:00,4.7136908,4.989182,4.989182,4.2407236,5.250895,4.0897346,4.9119997,5.003576,5.1711435,4.7223754
2001-04-16 00:00:00,4.511159,4.378304,4.378304,4.6999035,4.490763,4.1889744,4.682405,3.933405,4.379088,4.1506624
2001-05-16 12:00:00,4.3861494,3.936694,3.936694,3.607417,3.772577,2.7899127,3.5442762,3.9638157,3.6965466,3.4431696
2001-06-16 00:00:00,4.006251,3.7736468,3.7736468,4.3350735,3.93854,4.3164997,3.8832395,3.7761998,4.1558805,4.572009
2001-07-16 12:00:00,4.2358346,3.4761286,3.4761286,3.7207525,3.572576,4.5347905,4.55144,4.182038,3.5576332,4.2738867
2001-08-16 12:00:00,4.187223,3.5727248,3.5727248,3.8520525,3.5159974,3.834222,4.4781103,3.224184,4.0015144,3.3891919
2001-09-16 00:00:00,3.8514128,4.9714746,4.9714746,3.685937,3.8851118,3.5290794,3.8157258,4.346732,3.7882705,3.7151701
2001-10-16 12:00:00,4.3723764,4.339151,4.339151,4.0631194,3.8060412,3.97278,4.151978,5.3422375,3.6293545,3.7292795
2001-11-16 00:00:00,4.3429723,4.483108,4.483108,3.8051996,3.6629553,4.583717,4.38737,4.004746,4.362575,4.9675317
2001-12-16 12:00:00,4.239375,5.093509,5.093509,4.955957,3.892633,4.4460363,4.2750683,5.46482,4.3646784,4.5315914
2002-01-16 12:00:00,5.19932,3.8697,3.8697,5.2074203,4.0895863,5.078998,4.567742,4.379274,4.4847145,5.219349
2002-02-15 00:00:00,5.4582233,4.5927253,4.5927253,4.51248,5.1596007,4.5961685,4.9769444,5.063623,4.7013097,4.6589746
2002-03-16 12:00:00,5.4533443,5.196361,5.196361,4.89603,4.9400296,4.0273857,4.035984,5.340306,4.0941195,4.401585
2002-04-16 00:00:00,3.5932992,4.0829678,4.0829678,3.7543507,5.2153683,3.5791235,3.6952891,4.068405,3.8109858,4.3519883
2002-05-16 12:00:00,4.169564,3.7448025,3.7448025,3.1750684,3.6649225,3.6912239,4.0658293,4.0352807,4.286443,3.2830215
2002-06-16 00:00:00,4.0479164,4.190116,4.190116,4.369041,4.0146766,4.214467,3.9880984,3.9686155,3.8072884,4.309673
2002-07-16 12:00:00,3.7313037,4.3138833,4.3138833,3.9841032,4.167209,4.178367,3.491544,3.426679,3.8664494,3.841102
2002-08-16 12:00:00,3.641561,4.134844,4.134844,4.024722,4.128977,4.3707795,3.1404634,3.729506,3.51403,3.2361882
2002-09-16 00:00:00,4.323254,3.9279242,3.9279242,3.942259,4.359024,3.625971,3.7174761,3.6813407,3.7010043,3.8475327
2002-10-16 12:00:00,4.219722,3.521969,3.521969,4.451523,3.772116,4.456314,4.1476197,4.6446085,4.6901865,4.2280912
2002-11-16 00:00:00,4.802608,4.820693,4.820693,4.2515697,3.9555345,4.769281,4.1475167,4.2016673,4.036115,3.9134722
2002-12-16 12:00:00,4.402409,4.3191695,4.3191695,4.928676,4.475198,6.0082235,4.840024,4.6158776,3.767866,4.2106905
2003-01-16 12:00:00,4.679378,5.8313336,5.8313336,4.966963,4.811396,5.4692163,4.713709,4.9447246,4.942905,3.9370725
2003-02-15 00:00:00,4.2705803,5.3577485,5.3577485,4.723317,5.0475993,5.159768,6.1853366,4.3690553,5.053993,4.142484
2003-03-16 12:00:00,5.2032127,4.6598334,4.6598334,3.8775826,5.5683722,5.055789,3.5417795,5.063305,4.9768815,3.8991103
2003-04-16 00:00:00,4.0046372,4.5138307,4.5138307,4.3474994,5.4183483,4.3548856,2.9384995,4.579791,4.191811,5.103565
2003-05-16 12:00:00,4.0339,3.470044,3.470044,3.2943115,3.9456706,4.4034185,3.8809772,4.5034547,3.7059815,4.723831
2003-06-16 00:00:00,3.9643576,4.262017,4.262017,4.1230373,3.4321835,4.0812826,4.1973686,4.035012,3.886002,4.41184
2003-07-16 12:00:00,3.949376,3.7510402,3.7510402,3.9382093,3.6081703,3.5643525,3.5147614,3.5327303,4.139841,4.8575945
2003-08-16 12:00:00,3.398569,3.448679,3.448679,3.4437268,3.664242,3.7068377,4.113838,3.478212,3.5133939,4.0326934
2003-09-16 00:00:00,3.5297601,4.0877714,4.0877714,4.290116,3.7789073,4.185928,3.7591038,3.956868,3.0397305,3.568305
2003-10-16 12:00:00,4.338819,4.2390676,4.2390676,3.7893777,3.7927012,4.4017577,3.9411206,3.9682932,3.408331,3.8936036
2003-11-16 00:00:00,4.3989835,4.346081,4.346081,4.6770587,4.509922,4.645522,3.8836133,4.459356,4.819962,3.8430128
2003-12-16 12:00:00,4.34315,4.247436,4.247436,4.7837534,3.661343,4.1994004,4.5825577,4.1528406,4.4067535,4.1766443
2004-01-16 12:00:00,4.3460717,4.6578817,4.6578817,5.2361403,4.585621,5.537948,4.9670887,4.039282,4.6425056,5.392676
2004-02-15 00:00:00,4.387819,4.4173827,4.4173827,4.3366146,4.9442873,4.647701,3.9572082,5.091439,4.7850738,4.752246
2004-03-16 12:00:00,5.2818117,4.457962,4.457962,4.484845,4.479996,5.0166397,4.8768744,4.0635114,4.723124,4.927155
