time,r8i1p1f1,r2i1p1f1,r30i1p1f1,r31i1p1f1,r29i1p1f1,r3i1p1f1,r6i1p1f1,r27i1p1f1,r7i1p1f1,r9i1p1f1,r26i1p1f1,r20i1p1f1,r23i1p1f1,r25i1p1f1,r24i1p1f1,r22i1p1f1,r21i1p1f1,r19i1p1f1,r18i1p1f1,r11i1p1f1,r12i1p1f1,r17i1p1f1,r16i1p1f1,r1i1p1f1,r5i1p1f1,r4i1p1f1,r28i1p1f1,r14i1p1f1,r13i1p1f1,r10i1p1f1,r15i1p1f1,r32i1p1f1
2000-01-16 12:00:00,5.5981507,5.3903832,5.530456,4.510339,5.7687693,5.7655964,6.3076577,5.3476086,5.8996053,4.7708325,5.032496,4.7747035,5.3863378,5.4022207,5.6064277,5.5355396,5.0119324,5.9049716,4.82718,4.8424277,5.165575,5.152901,4.425961,4.9236474,4.9576926,5.072241,5.7963653,5.3236628,5.301357,4.8307047,5.320004,5.4544735
2000-02-15 12:00:00,4.849995,4.970499,4.765241,4.6888785,5.071243,5.0597687,4.8501287,4.75039,5.8277035,5.4048657,4.913476,5.5327444,5.3677588,5.284738,5.5750895,5.556145,4.9621015,5.546,6.155371,5.1019998,5.330328,5.215254,5.3557887,4.725514,4.9924736,5.0932994,5.6036944,5.1986694,5.572649,6.305725,5.1932654,5.4626746
2000-03-16 12:00:00,4.6298027,4.6135645,4.2613063,4.8802915,4.904373,5.0786023,5.9721456,5.244756,5.2361507,5.3052554,5.2716866,5.7498293,5.4932675,5.2722316,4.447657,5.0939093,4.532412,4.681946,4.535269,5.5473056,4.759779,5.340854,4.8599854,4.660853,4.688627,4.2869015,5.4150662,5.435355,4.767493,5.1306643,4.663121,4.9027925
2000-04-16 00:00:00,4.409807,5.072173,4.7428455,4.1942716,5.0093565,4.5725656,5.024973,5.0645933,5.049299,4.787601,4.3361073,5.2365303,4.6559205,4.600768,4.4602013,4.9707904,4.314822,4.914401,4.9127593,4.5261116,5.066385,5.092017,4.9135313,4.37931,4.589294,4.470997,4.606954,4.842846,4.466912,4.0651336,4.538551,4.2866116
2000-05-16 12:00:00,4.7526064,4.937042,4.047265,4.4526715,4.6037197,4.153786,4.619818,4.458134,4.8676586,4.371463,4.8537183,4.580187,4.20124,4.1288943,5.142394,5.4451823,4.8644104,4.304932,4.242165,4.773886,5.527032,4.550163,5.0714836,4.064605,4.5848656,4.83902,4.651914,5.0280957,4.0417833,5.0162754,4.0471187,4.198586
2000-06-16 00:00:00,4.643673,4.9389334,4.5528736,4.5602508,4.435317,5.527087,4.2418146,4.6654415,5.58851,3.9934163,5.114008,4.2771106,4.4500265,4.259899,4.9927707,4.241183,4.4870005,4.274196,4.631228,4.5303197,4.2485814,4.419522,5.1196175,4.432567,4.4707656,4.4722533,4.0423717,5.0092654,4.747929,4.624294,4.5118475,4.1474614
2000-07-16 12:00:00,4.1796765,4.5273986,5.0046425,4.4834805,4.393959,4.3040185,4.6101165,4.567554,4.9059277,4.812734,4.38247,4.961862,4.7159224,4.417847,4.202523,4.5648336,4.1773515,4.405405,4.6959467,5.164649,4.869051,4.201852,4.60882,5.0092235,4.4264865,5.11383,4.3009787,4.8098655,4.539606,4.2014403,4.462534,4.5290074
2000-08-16 12:00:00,4.7389407,4.720761,4.99574,4.5126133,4.9172735,5.0239406,4.986759,5.0792685,5.171952,4.3415833,4.721521,5.292379,5.2214985,4.9266233,4.840166,5.144331,4.840969,4.8417606,5.321307,4.923391,5.0682263,5.0220757,5.1840305,5.7690363,5.467338,5.3354516,4.738334,5.453101,5.0970197,4.906765,5.1031165,4.9834743
2000-09-16 00:00:00,5.2210345,5.7365894,5.564864,5.6934633,5.382815,5.5804653,6.194776,5.295281,6.125013,5.0723724,5.409861,5.309388,5.4300985,5.312464,5.9574456,5.3669405,5.3704414,5.6527944,5.6754804,5.949696,5.8001866,5.505305,5.8822927,5.4843016,5.726071,5.7554317,5.056921,4.9717164,5.367913,5.7117424,5.06589,5.878471
2000-10-16 12:00:00,5.756403,5.2838507,5.3333683,5.6381407,5.2246704,5.674664,5.563876,5.0576105,6.11603,5.0019865,5.6465344,5.698438,5.6795874,5.1031337,5.658186,5.379639,5.7424183,5.331082,5.8088737,5.994638,5.593252,5.4349465,6.7569647,5.510459,4.8528237,5.0177546,4.8421893,6.029351,5.380492,5.3949494,5.289103,5.063296
