time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r8i1p1f2,r9i1p1f2,r10i1p1f2,r6i1p1f2,r7i1p1f2,r5i1p1f2,r4i1p1f2,r1i1000p1f2,r15i1p1f2,r23i1p1f2,r22i1p1f2,r17i1p1f2,r14i1p1f2,r13i1p1f2,r12i1p1f2,r16i1p1f2,r11i1p1f2,r20i1p1f2,r18i1p1f2,r29i1p1f2,r30i1p1f2,r19i1p1f2,r27i1p1f2,r26i1p1f2,r28i1p1f2,r21i1p1f2,r24i1p1f2,r25i1p1f2
2000-01-16 12:00:00,6.6333857,6.5711737,6.5965433,5.6091537,5.5108347,6.733716,6.220015,6.4968705,5.9518714,7.2905335,6.111057,6.817192,7.412178,6.9997344,5.774297,6.7095504,7.0191627,5.842304,7.7547655,6.21838,6.3112955,7.889819,6.3794503,5.975088,6.9900236,7.842218,6.824334,6.7517424,6.949385,5.866801,6.264987
2000-02-15 12:00:00,5.9951377,7.4565496,7.669394,6.0338454,6.8299804,6.6809235,6.332409,7.0430727,6.2082496,6.505809,5.915194,6.7311506,5.691199,6.110057,6.412956,5.865752,6.6255174,5.767156,6.4406786,7.896983,6.382995,6.5046816,6.694032,6.287875,6.461299,6.791375,6.991301,6.645781,6.334592,7.6961427,6.4392724
2000-03-16 12:00:00,7.1931825,6.650467,5.5069914,6.3241787,5.7466593,7.153763,6.028192,6.8541946,5.971043,6.0592184,7.1176863,6.3718615,5.9765387,6.4070425,6.418762,6.3236747,6.019805,6.727669,6.811937,6.790188,6.4327154,6.07812,6.634259,5.33469,6.2306533,6.758714,5.9964533,6.0117545,6.0338836,5.905257,6.547728
2000-04-16 00:00:00,5.666194,6.2332397,6.4240594,5.6693354,6.4755945,5.4841094,5.619662,5.6781974,5.3088593,5.3443174,4.8806987,7.1500473,5.1736345,5.8106523,5.033935,5.918103,5.446094,5.3296256,6.616141,6.059847,5.5703535,6.4058404,6.19671,5.22398,5.262147,5.3749375,5.6178384,6.024602,4.90038,5.9611344,5.8074207
2000-05-16 12:00:00,5.0758195,4.459201,5.2619047,4.7466326,5.257148,4.7375746,4.945314,4.544339,4.930696,4.7472215,5.109498,4.748166,4.6486373,4.9343987,4.2687583,5.149038,5.1235147,4.7184753,4.956315,4.329425,5.0799456,4.801444,4.9973803,4.672348,4.7731266,4.8056793,5.2170587,5.3362594,5.087853,4.6658945,4.9016604
2000-06-16 00:00:00,4.712883,4.148065,4.7780166,4.522901,4.4536934,4.7905116,4.760849,4.881363,4.3306327,4.8222,5.1251984,4.4741607,4.5023017,4.7752113,4.3765364,4.577179,4.358241,4.5917864,4.5902786,4.6355376,4.7691145,5.138505,4.4681673,4.56433,4.6083603,4.69267,4.962072,4.991769,4.48069,5.0233445,4.8637714
2000-07-16 12:00:00,4.6663566,4.4568605,4.6763706,4.907431,5.3465366,4.6928897,4.696576,4.2493653,4.763765,4.9710298,4.772803,5.1425457,4.603716,5.136098,4.208855,4.897769,4.5840178,4.9607453,4.8600554,4.726136,4.8765388,5.270549,4.5305862,4.6874146,4.8398337,4.591963,4.2251434,4.5813966,5.0613604,4.408503,4.326234
2000-08-16 12:00:00,5.2300878,4.7969794,4.979824,5.179021,4.9348307,4.8998194,5.030281,4.868332,5.0720477,5.149553,5.2990656,4.8528543,5.029725,4.6063995,4.902257,5.368367,4.66602,4.5141106,4.4584036,4.743523,4.9428153,5.4049335,5.1061316,4.8608904,5.4317865,5.17427,5.0647144,4.7753716,5.3717294,5.232499,4.8395877
2000-09-16 00:00:00,5.4207935,5.147542,5.312943,5.22577,5.482412,5.814657,5.122842,5.9376,5.4472322,5.464157,5.1030016,5.2152033,6.0958815,5.597982,5.623669,5.301141,5.760333,5.4176736,5.480893,5.804902,5.8415623,5.067977,5.128398,5.354818,5.692178,5.29162,5.2453556,5.649175,5.484887,5.4361506,5.6504393
2000-10-16 12:00:00,6.123972,5.7779603,5.4079766,6.0656905,5.7104363,5.8413405,5.683868,5.9609084,5.5679727,5.6451206,5.587052,5.7088766,5.955511,5.7628975,5.9764338,5.6807184,5.842435,5.5461574,5.62379,5.8728456,5.8391604,5.7652206,6.5310874,6.024906,6.2078085,5.6492076,5.515245,5.469987,6.4872603,5.9250174,5.401375
2000-11-16 00:00:00,5.66496,6.4222045,6.755732,6.488431,5.6553407,5.77964,5.9200897,6.203859,6.748764,5.5857134,5.2100286,6.1910653,6.0392323,5.727587,6.0536604,5.4128838,5.391906,6.1467233,6.1045732,5.441568,5.5882173,6.264882,5.893518,5.7493916,5.6803303,6.3269086,6.4256487,5.9033294,5.894103,6.0348372,5.503064
